source_file,group_number,line_number,statement
raw_statements/email_statements_ar.csv,1,2958,إن التسريح يجبر الناس على البحث عن عمل أثناء عدم اليقين الاقتصادي.
raw_statements/email_statements_ar.csv,1,3260,إن التسريح يجبر الناس على البحث عن عمل أثناء عدم اليقين الاقتصادي.
raw_statements/email_statements_ar.csv,2,3760,ابق في المنزل إذا كنت مريضًا
raw_statements/email_statements_ar.csv,2,3996,ابق في المنزل إذا كنت مريضًا
raw_statements/email_statements_ar.csv,3,738,الإعلانات التلفزيونية هي طريقة شائعة تستخدم في الحملات السياسية.
raw_statements/email_statements_ar.csv,3,2465,الإعلانات التلفزيونية هي طريقة شائعة تستخدم في الحملات السياسية.
raw_statements/email_statements_ar.csv,4,365,الانتخابات لها مواعيد نهائية لجمع التبرعات.
raw_statements/email_statements_ar.csv,4,762,الانتخابات لها مواعيد نهائية لجمع التبرعات.
raw_statements/email_statements_ar.csv,5,243,البريد الإلكتروني هو طريقة شائعة للحملات السياسية للتواصل مع المؤيدين.
raw_statements/email_statements_ar.csv,5,636,البريد الإلكتروني هو طريقة شائعة للحملات السياسية للتواصل مع المؤيدين.
raw_statements/email_statements_ar.csv,6,598,التشرد مشكلة تواجهها المجتمعات.
raw_statements/email_statements_ar.csv,6,760,التشرد مشكلة تواجهها المجتمعات.
raw_statements/email_statements_ar.csv,7,2334,الحملات السياسية لها مواعيد نهائية لجمع التبرعات.
raw_statements/email_statements_ar.csv,7,2535,الحملات السياسية لها مواعيد نهائية لجمع التبرعات.
raw_statements/email_statements_ar.csv,8,3532,الرعاية الصحية بأسعار معقولة مهمة للمجتمع.
raw_statements/email_statements_ar.csv,8,3563,الرعاية الصحية بأسعار معقولة مهمة للمجتمع.
raw_statements/email_statements_ar.csv,9,210,الضمان الاجتماعي والرعاية الطبية هي برامج تهدف إلى حماية رفاهية الأفراد.
raw_statements/email_statements_ar.csv,9,321,الضمان الاجتماعي والرعاية الطبية هي برامج تهدف إلى حماية رفاهية الأفراد.
raw_statements/email_statements_ar.csv,10,426,المتطوعون مهمون للحملات السياسية.
raw_statements/email_statements_ar.csv,10,2051,المتطوعون مهمون للحملات السياسية.
raw_statements/email_statements_ar.csv,11,3634,تجنب الاتصال الوثيق مع الأشخاص المرضى.
raw_statements/email_statements_ar.csv,11,3836,تجنب الاتصال الوثيق مع الأشخاص المرضى.
raw_statements/email_statements_ar.csv,12,1990,تحتاج الأسر العاملة إلى الدعم.
raw_statements/email_statements_ar.csv,12,2044,تحتاج الأسر العاملة إلى الدعم.
raw_statements/email_statements_ar.csv,13,2459,تستخدم الحملات السياسية الإعلانات التلفزيونية والإعلانات الرقمية والبريد للوصول إلى الناخبين.
raw_statements/email_statements_ar.csv,13,2689,تستخدم الحملات السياسية الإعلانات التلفزيونية والإعلانات الرقمية والبريد للوصول إلى الناخبين.
raw_statements/email_statements_ar.csv,14,357,تغير المناخ هو قضية مهمة تحتاج إلى معالجة.
raw_statements/email_statements_ar.csv,14,493,تغير المناخ هو قضية مهمة تحتاج إلى معالجة.
raw_statements/email_statements_ar.csv,15,367,تغير المناخ هو موضوع يتناوله السياسيون.
raw_statements/email_statements_ar.csv,15,3024,تغير المناخ هو موضوع يتناوله السياسيون.
raw_statements/email_statements_ar.csv,16,208,تغير المناخ هو موضوع يهدف بعض السياسيين إلى معالجته.
raw_statements/email_statements_ar.csv,16,612,تغير المناخ هو موضوع يهدف بعض السياسيين إلى معالجته.
raw_statements/email_statements_ar.csv,16,2910,تغير المناخ هو موضوع يهدف بعض السياسيين إلى معالجته.
raw_statements/email_statements_ar.csv,17,2802,تقدم الحملات السياسية أحيانًا البضائع مقابل التبرعات.
