source_file,group_number,line_number,statement
raw_statements/observable_gpt4o_ar.csv,1,90,الشرق أو الغرب ، المنزل هو الأفضل ، مما يسلط الضوء على راحة المنزل.
raw_statements/observable_gpt4o_ar.csv,1,91,الشرق أو الغرب ، المنزل هو الأفضل ، مما يسلط الضوء على راحة المنزل.
raw_statements/observable_gpt4o_ar.csv,2,169,دع ضميرك يكون دليلك ، مع التأكيد على دور البوصلة الأخلاقية الداخلية في صنع القرار.
raw_statements/observable_gpt4o_ar.csv,2,170,دع ضميرك يكون دليلك ، مع التأكيد على دور البوصلة الأخلاقية الداخلية في صنع القرار.
raw_statements/observable_gpt4o_ar.csv,3,279,كلما عملت بجد ، كلما كنت أكثر حظا ، مع التركيز على العلاقة بين الجهد والنجاح.
raw_statements/observable_gpt4o_ar.csv,3,280,كلما عملت بجد ، كلما كنت أكثر حظا ، مع التركيز على العلاقة بين الجهد والنجاح.
raw_statements/observable_gpt4o_ar.csv,4,363,ما لا يقتلك يجعلك أقوى ، مع التركيز على المرونة من خلال الشدائد.
raw_statements/observable_gpt4o_ar.csv,4,364,ما لا يقتلك يجعلك أقوى ، مع التركيز على المرونة من خلال الشدائد.
raw_statements/observable_gpt4o_bn.csv,1,169,"আপনার বিবেককে আপনার পথপ্রদর্শক হতে দিন, সিদ্ধান্ত নেওয়ার ক্ষেত্রে অভ্যন্তরীণ নৈতিক কম্পাসের ভূমিকার উপর জোর দিন।"
raw_statements/observable_gpt4o_bn.csv,1,170,"আপনার বিবেককে আপনার পথপ্রদর্শক হতে দিন, সিদ্ধান্ত নেওয়ার ক্ষেত্রে অভ্যন্তরীণ নৈতিক কম্পাসের ভূমিকার উপর জোর দিন।"
raw_statements/observable_gpt4o_bn.csv,2,90,"পূর্ব বা পাশ্চাত্য, বাড়ি সর্বোত্তম, নিজের বাড়ির স্বাচ্ছন্দ্যকে হাইলাইট করে।"
raw_statements/observable_gpt4o_bn.csv,2,91,"পূর্ব বা পাশ্চাত্য, বাড়ি সর্বোত্তম, নিজের বাড়ির স্বাচ্ছন্দ্যকে হাইলাইট করে।"
raw_statements/observable_gpt4o_bn.csv,3,125,"বড় বড় ঘটনা তাদের সামনে ছায়া ফেলে, সামনে উল্লেখযোগ্য পরিবর্তনের ইঙ্গিত দেয়।"
raw_statements/observable_gpt4o_bn.csv,3,126,"বড় বড় ঘটনা তাদের সামনে ছায়া ফেলে, সামনে উল্লেখযোগ্য পরিবর্তনের ইঙ্গিত দেয়।"
raw_statements/observable_gpt4o_bn.csv,4,378,"মহান শক্তির সাথে মহান দায়িত্ব আসে, প্রযুক্তিগত অগ্রগতিতে নৈতিক বিবেচনার উপর জোর দেয়।"
raw_statements/observable_gpt4o_bn.csv,4,379,"মহান শক্তির সাথে মহান দায়িত্ব আসে, প্রযুক্তিগত অগ্রগতিতে নৈতিক বিবেচনার উপর জোর দেয়।"
raw_statements/observable_gpt4o_bn.csv,5,363,"যা আপনাকে হত্যা করে না তা আপনাকে আরও শক্তিশালী করে তোলে, প্রতিকূলতার মধ্য দিয়ে স্থিতিস্থাপকতার উপর জোর দেয়।"
