id,name,available,createdAt,updatedAt,statementId
1,behavior,0,2023-04-08 12:23:26,2023-04-08 12:23:26,1
2,everyday,1,2023-04-08 12:23:26,2023-04-08 12:23:26,1
3,figure_of_speech,0,2023-04-08 12:23:26,2023-04-08 12:23:26,1
4,judgment,0,2023-04-08 12:23:26,2023-04-08 12:23:26,1
5,opinion,0,2023-04-08 12:23:26,2023-04-08 12:23:26,1
6,reasoning,1,2023-04-08 12:23:26,2023-04-08 12:23:26,1
7,behavior,0,2023-04-08 12:23:26,2023-04-08 12:23:26,2
8,everyday,0,2023-04-08 12:23:26,2023-04-08 12:23:26,2
9,figure_of_speech,0,2023-04-08 12:23:26,2023-04-08 12:23:26,2
10,judgment,0,2023-04-08 12:23:26,2023-04-08 12:23:26,2
11,opinion,0,2023-04-08 12:23:26,2023-04-08 12:23:26,2
12,reasoning,0,2023-04-08 12:23:26,2023-04-08 12:23:26,2
13,behavior,1,2023-04-08 12:23:26,2023-04-08 12:23:26,3
14,everyday,1,2023-04-08 12:23:26,2023-04-08 12:23:26,3
15,figure_of_speech,0,2023-04-08 12:23:26,2023-04-08 12:23:26,3
16,judgment,1,2023-04-08 12:23:26,2023-04-08 12:23:26,3
17,opinion,0,2023-04-08 12:23:26,2023-04-08 12:23:26,3
18,reasoning,1,2023-04-08 12:23:26,2023-04-08 12:23:26,3
19,behavior,0,2023-04-08 12:23:26,2023-04-08 12:23:26,4
20,everyday,1,2023-04-08 12:23:26,2023-04-08 12:23:26,4
21,figure_of_speech,0,2023-04-08 12:23:26,2023-04-08 12:23:26,4
22,judgment,0,2023-04-08 12:23:26,2023-04-08 12:23:26,4
23,opinion,0,2023-04-08 12:23:26,2023-04-08 12:23:26,4
24,reasoning,0,2023-04-08 12:23:26,2023-04-08 12:23:26,4
25,behavior,0,2023-04-08 12:23:26,2023-04-08 12:23:26,5
26,everyday,1,2023-04-08 12:23:26,2023-04-08 12:23:26,5
27,figure_of_speech,0,2023-04-08 12:23:26,2023-04-08 12:23:26,5
28,judgment,1,2023-04-08 12:23:26,2023-04-08 12:23:26,5
29,opinion,1,2023-04-08 12:23:26,2023-04-08 12:23:26,5
30,reasoning,0,2023-04-08 12:23:26,2023-04-08 12:23:26,5
31,behavior,0,2023-04-08 12:23:26,2023-04-08 12:23:26,6
32,everyday,1,2023-04-08 12:23:26,2023-04-08 12:23:26,6
33,figure_of_speech,0,2023-04-08 12:23:26,2023-04-08 12:23:26,6
34,judgment,0,2023-04-08 12:23:26,2023-04-08 12:23:26,6
35,opinion,1,2023-04-08 12:23:26,2023-04-08 12:23:26,6
36,reasoning,1,2023-04-08 12:23:26,2023-04-08 12:23:26,6
37,behavior,1,2023-04-08 12:23:26,2023-04-08 12:23:26,7
38,everyday,0,2023-04-08 12:23:26,2023-04-08 12:23:26,7
39,figure_of_speech,0,2023-04-08 12:23:26,2023-04-08 12:23:26,7
40,judgment,1,2023-04-08 12:23:26,2023-04-08 12:23:26,7
41,opinion,1,2023-04-08 12:23:26,2023-04-08 12:23:26,7
42,reasoning,1,2023-04-08 12:23:26,2023-04-08 12:23:26,7
43,behavior,1,2023-04-08 12:23:26,2023-04-08 12:23:26,8
44,everyday,1,2023-04-08 12:23:26,2023-04-08 12:23:26,8
45,figure_of_speech,0,2023-04-08 12:23:26,2023-04-08 12:23:26,8
46,judgment,1,2023-04-08 12:23:26,2023-04-08 12:23:26,8
