statement,category,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,x_tsne,x_pca,y_tsne,y_pca
1 plus 1 is 2,Mathematics and logic,0,1,0,0,0,1,82.95679,-0.06537533846717743,7.17876,-0.07219062325236329
5 is alot bigger than 1,Mathematics and logic,0,0,0,0,0,0,79.236496,-0.07738358684326435,7.589503,-0.04069852316093789
a balanced diet and regular exercise is needed to remain healthy,Health and fitness,1,1,0,1,0,1,-57.26363,-0.1754083201540073,21.79075,-0.04873714799137663
a ball is round,Natural and physical sciences,0,1,0,0,0,0,69.85402,-0.07638521039232526,18.935064,-0.08422157376487473
a baton twirler doesn't want a broken finger,Human activities,0,1,0,1,1,0,-0.88148856,-0.025281099119708647,5.305612,-0.06183056337338166
a battery can't provide power forever,General reference,0,1,0,0,1,1,-46.475616,-0.08672782082469709,10.54351,-0.07013588315048369
a bill is not wanted,General reference,1,0,0,1,1,1,-24.369738,-0.09696339629594675,63.380238,0.03238309420854993
a birthday would make you want to bake a cake,Human activities,1,1,0,1,1,0,-2.2846973,0.002242952055604427,-10.611434,-0.08504474054674611
a birthday would make you want to buy something for a loved one,Human activities,1,1,0,1,1,0,-2.3306956,-0.006457698229992347,-10.481089,-0.058760883489342504
a building where christians worship is called a church,Religion and belief systems,1,1,0,0,0,0,59.478928,-0.10543440567117546,46.94132,-0.04683994748198332
a cat doesn't want a bath,General reference,0,1,0,1,1,0,-17.629387,-0.02258572930388738,-31.494196,-0.17170429044248503
a cat doesn't want its tail pulled,General reference,0,1,0,1,0,1,-18.034937,-0.010177078752150223,-31.925478,-0.11945909517537463
a cat doesn't want to be wet,Natural and physical sciences,0,1,0,1,0,1,-17.634947,-0.01081180124396986,-31.485794,-0.15947173618354393
a cat doesn't want to get wet,Natural and physical sciences,0,1,0,0,0,0,-17.606554,-0.0028948401305342363,-31.432156,-0.13736700671659752
a cat is a feline,Natural and physical sciences,0,0,0,0,0,1,-16.106287,-0.07104213004899598,-31.871078,-0.08311573932307469
a celebrity is a person who works hard all his life to become well known then wears dark glasses to avoid being recognized,Human activities,1,0,0,1,1,0,37.198288,-0.062138761753882284,1.0030999,-0.07173045274942529
a child does not laugh at the ugliness of its mother,People and self,1,1,0,1,1,0,36.676888,-0.014808754294195495,-11.765027,-0.0922230086153211
a circle is round,General reference,0,1,0,0,0,0,69.31746,-0.09464575833382613,19.471125,-0.08241368045559946
a computer can be turned on by pressing its power button,Technology and applied sciences,0,1,0,0,0,0,-45.342564,-0.07755525505649404,13.162969,-0.06719587903869903
a computer virus is not living,Technology and applied sciences,0,1,0,0,0,0,-5.9675303,-0.11901998722994858,11.499299,-0.07715558500942926
