statement,committer,elicitation
बिल्लियों को आमतौर पर घरेलू पालतू जानवरों के रूप में रखा जाता है।,Amir,Amazon Translate
प्रकाश ध्वनि से भी तेज गति से यात्रा करता है।,Amir,Amazon Translate
चीनी पानी में घुल जाती है।,Amir,Amazon Translate
सर्दियों के दिन आमतौर पर गर्मी के दिनों की तुलना में ठंडे होते हैं।,Amir,Amazon Translate
प्रकाश संश्लेषण के लिए पौधों को सूर्य के प्रकाश की आवश्यकता होती है।,Amir,Amazon Translate
अधिकांश वयस्कों के 32 दांत होते हैं।,Amir,Amazon Translate
किताबें कागज से बनाई जा सकती हैं।,Amir,Amazon Translate
संघनित जल वाष्प से वर्षा होती है।,Amir,Amazon Translate
कारों को चलाने के लिए ईंधन की आवश्यकता होती है।,Amir,Amazon Translate
शतरंज एक चौकोर बोर्ड पर खेला जाता है।,Amir,Amazon Translate
बिना ढके रहने पर ब्रेड बासी हो जाती है।,Amir,Amazon Translate
चंद्रमा पृथ्वी की परिक्रमा करता है।,Amir,Amazon Translate
नमी के संपर्क में आने पर आयरन में जंग लग जाता है।,Amir,Amazon Translate
मकड़ियों के आठ पैर होते हैं।,Amir,Amazon Translate
हाथी भूमि पर रहने वाले सबसे बड़े जानवर हैं।,Amir,Amazon Translate
एक त्रिभुज की तीन भुजाएँ होती हैं।,Amir,Amazon Translate
दूध का इस्तेमाल अक्सर पनीर बनाने के लिए किया जाता है।,Amir,Amazon Translate
सिक्के आम तौर पर धातु के बने होते हैं।,Amir,Amazon Translate
रेफ्रिजरेटर भोजन को ठंडा रखते हैं।,Amir,Amazon Translate
गुरुत्वाकर्षण वस्तुओं को पृथ्वी की ओर खींचता है।,Amir,Amazon Translate
पैरों में मोज़े पहने जाते हैं।,Amir,Amazon Translate
मधुमक्खियां फूलों से अमृत इकट्ठा करती हैं।,Amir,Amazon Translate
मछलियां पानी के भीतर सांस लेने के लिए गलफड़ों का इस्तेमाल करती हैं।,Amir,Amazon Translate
आग से गर्मी और रोशनी पैदा होती है।,Amir,Amazon Translate
बादल पानी की बूंदों के जमाव दिखाई देते हैं।,Amir,Amazon Translate
हीरे को मूल्यवान रत्न माना जाता है।,Amir,Amazon Translate
पिघले हुए लावा से ज्वालामुखी फट सकते हैं।,Amir,Amazon Translate
चावल कई देशों का मुख्य भोजन है।,Amir,Amazon Translate
अमेज़ॅन एक बड़ा वर्षावन है।,Amir,Amazon Translate
पक्षी अंडे देने के लिए घोंसले बनाते हैं।,Amir,Amazon Translate
एक सप्ताह में सात दिन होते हैं।,Amir,Amazon Translate
टेलीफोन कॉल दूरियों पर आवाज़ें प्रसारित करती हैं।,Amir,Amazon Translate
प्लास्टिक को कुछ सुविधाओं में पुनर्नवीनीकरण किया जा सकता है।,Amir,Amazon Translate
पेड़ों पर सेब उगते हैं।,Amir,Amazon Translate
कंगारू ऑस्ट्रेलिया के मूल निवासी हैं।,Amir,Amazon Translate
पवन चक्कियों से बिजली पैदा हो सकती है।,Amir,Amazon Translate
लोग लोकतांत्रिक चुनावों में वोट देते हैं।,Amir,Amazon Translate
पुस्तकालय जनता को किताबें उधार देते हैं।,Amir,Amazon Translate
रेलगाड़ियां रेल पर यात्रा करती हैं।,Amir,Amazon Translate
ज्यादातर पेंसिलों में ग्रेफाइट होता है।,Amir,Amazon Translate
कैमरे तस्वीरों को कैप्चर करते हैं।,Amir,Amazon Translate
फुटबॉल अंडाकार गेंद से खेला जाता है।,Amir,Amazon Translate
गर्मी के संपर्क में आने पर आइसक्रीम पिघल जाती है।,Amir,Amazon Translate
