statement,elicitation,committer
Les armes de guerre n'ont pas leur place dans nos rues et dans nos écoles.,amazon translate,Dan
Les armes fantômes sont particulièrement dangereuses car elles peuvent passer inaperçues par les scanners.,amazon translate,Dan
La limitation de la capacité des chargeurs peut sauver des vies.,amazon translate,Dan
Les symptômes du coronavirus peuvent apparaître entre 2 et 14 jours après l'exposition.,amazon translate,Dan
"Les symptômes courants du coronavirus comprennent la fièvre, la toux et l'essoufflement.",amazon translate,Dan
Le lavage fréquent des mains peut contribuer à prévenir la propagation des maladies.,amazon translate,Dan
Tousser dans le coude est une bonne pratique pour empêcher la propagation des germes.,amazon translate,Dan
Éviter de vous toucher le visage peut contribuer à réduire le risque d'infection.,amazon translate,Dan
Remplacer les poignées de main par des salutations sans contact peut réduire la propagation des maladies.,amazon translate,Dan
Ce n'est pas le moment de paniquer. L'heure est à la prudence et au bon sens.,amazon translate,Dan
"Nous devons être vigilants et éviter tout contact humain direct, car les personnes présentant des symptômes peuvent ne pas savoir qu'elles sont infectées.",amazon translate,Dan
Nous devons nous laver les mains et éviter tout contact avec notre visage.,amazon translate,Dan
"Les symptômes incluent de la fièvre, de la toux et un essoufflement.",amazon translate,Dan
"Si vous pensez être porteur du virus, veuillez vous mettre en quarantaine et suivre les recommandations du CDC.",amazon translate,Dan
Les gens sont tenus de rester chez eux pour ralentir la propagation du coronavirus.,amazon translate,Dan
Nos travailleurs sont licenciés et nos petites entreprises ferment leurs portes en raison de la pandémie.,amazon translate,Dan
Les professionnels de la santé sont en première ligne pour lutter contre la pandémie.,amazon translate,Dan
Les gens communiquent généralement avec les électeurs par le biais de visites porte-à-porte et d'appels téléphoniques pendant les campagnes électorales.,amazon translate,Dan
Les campagnes politiques demandent souvent des dons pour financer leurs activités.,amazon translate,Dan
Les campagnes politiques utilisent les dons pour passer des appels téléphoniques et frapper aux portes pour obtenir le soutien des électeurs.,amazon translate,Dan
Les campagnes politiques prétendent souvent que leur candidat représente certaines valeurs.,amazon translate,Dan
Les campagnes politiques peuvent accuser les opposants d'être déconnectés de l'électorat local.,amazon translate,Dan
Tousser jusqu'au coude peut aider à prévenir la propagation des germes.,amazon translate,Dan
Évitez de vous toucher le visage pour réduire le risque d'infection.,amazon translate,Dan
Les personnes âgées courent un risque plus élevé de développer des complications liées au coronavirus.,amazon translate,Dan
L'auto-quarantaine peut aider à protéger les autres si vous avez l'impression d'avoir le virus.,amazon translate,Dan
Les citoyens ne devraient pas avoir à choisir entre leur droit de vote et leur santé.,amazon translate,Dan
Une pandémie peut mettre de nombreuses personnes au chômage.,amazon translate,Dan
Le loyer est une dépense régulière pour de nombreux Américains.,amazon translate,Dan
Il est dangereux de retourner au travail en période de pandémie.,amazon translate,Dan
L'expulsion constitue un risque lorsque les personnes ne peuvent pas payer leur loyer.,amazon translate,Dan
Le financement des pompiers est considéré comme une question de bon sens.,amazon translate,Dan
Les citoyens doivent voter pour influencer les résultats des élections.,amazon translate,Dan
Les soins de santé sont un sujet de préoccupation pour de nombreux électeurs.,amazon translate,Dan
L'investissement dans l'éducation est une priorité pour certains candidats politiques.,amazon translate,Dan
Les droits civils occupent une place importante dans les campagnes politiques.,amazon translate,Dan
Les maladies préexistantes jouent un rôle dans les discussions sur les politiques de santé.,amazon translate,Dan
Les campagnes politiques demandent souvent des dons pour soutenir leurs efforts.,amazon translate,Dan
Les élections peuvent entraîner des changements dans la domination des partis politiques dans un État.,amazon translate,Dan
Les gens sont confrontés à un stress financier et personnel pendant la pandémie de COVID-19.,amazon translate,Dan
La COVID-19 est un défi que les nations travaillent ensemble pour relever.,amazon translate,Dan
Les dons peuvent aider à financer des campagnes politiques.,amazon translate,Dan
Les campagnes utilisent les dons pour atteindre les électeurs et créer des réseaux de bénévoles.,amazon translate,Dan
"La réduction du coût des médicaments sur ordonnance, la lutte contre le changement climatique et la lutte contre le lobby des armes à feu sont considérées par certains comme des solutions sensées.",amazon translate,Dan
Un énorme stress financier et personnel a été imposé à d'innombrables familles pendant la pandémie de COVID-19.,amazon translate,Dan
L'atteinte des objectifs de collecte de fonds peut éclairer les plans qui pourront être exécutés dans les mois à venir.,amazon translate,Dan
Le fait de ne pas atteindre les objectifs de collecte de fonds peut créer un effet domino qui aura un impact sur les événements futurs.,amazon translate,Dan
Les analystes électoraux font des prédictions sur les résultats des courses politiques.,amazon translate,Dan
Les campagnes visent à résoudre les problèmes réels auxquels est confrontée leur communauté.,amazon translate,Dan
Un système de santé défaillant et la crise économique sont des problèmes actuels auxquels les communautés sont confrontées.,amazon translate,Dan
"Réduire le coût des médicaments sur ordonnance, lutter contre le changement climatique et proposer des solutions sensées sont les objectifs de certaines campagnes politiques.",amazon translate,Dan
Les gens espèrent que leurs proches sont en sécurité et en bonne santé.,amazon translate,Dan
D'innombrables familles ont subi un énorme stress financier et personnel en raison de la COVID-19.,amazon translate,Dan
Les intervenants de première ligne jouent un rôle essentiel dans la lutte contre la COVID-19.,amazon translate,Dan
Le soutien populaire peut influencer les courses politiques.,amazon translate,Dan
"L'accès aux soins de santé, les crises économiques et les solutions sensées sont des questions importantes pour les électeurs.",amazon translate,Dan
Les courses politiques peuvent être imprévisibles et peuvent passer de la faveur d'un parti à une querelle.,amazon translate,Dan
Les familles ont besoin de leadership.,amazon translate,Dan
Les électeurs demandent des comptes à leurs représentants politiques.,amazon translate,Dan
Les lois sont destinées à assurer notre sécurité.,amazon translate,Dan
Les soins de santé et l'économie sont des sujets importants pour les familles.,amazon translate,Dan
Le stress financier et personnel a été imposé à de nombreuses familles en raison de la COVID-19.,amazon translate,Dan
La réduction du coût des médicaments sur ordonnance est l'objectif de certains responsables politiques.,amazon translate,Dan
La lutte contre le changement climatique préoccupe certains responsables politiques.,amazon translate,Dan
Les élections doivent être transparentes et équitables.,amazon translate,Dan
Toute personne légalement habilitée à voter devrait pouvoir le faire en toute sécurité.,amazon translate,Dan
La distanciation sociale pourrait se poursuivre dans les semaines précédant les élections.,amazon translate,Dan
Le vote lors des élections peut être différent de ce qu'il était par le passé.,amazon translate,Dan
Pratiquer la distanciation sociale peut aider à prévenir la propagation des maladies.,amazon translate,Dan
Les familles multigénérationnelles vivant sous le même toit doivent être attentives à la santé des personnes âgées de la famille en cas de crise sanitaire.,amazon translate,Dan
Suivre les recommandations du CDC peut contribuer à assurer la sécurité des personnes en cas de crise sanitaire.,amazon translate,Dan
