statement,elicitation,committer
1 mais 1 é igual a 2.,Amazon Translate,Amir
5 é significativamente maior do que 1.,Amazon Translate,Amir
"Para manter uma boa saúde, é preciso uma dieta balanceada e exercícios regulares.",Amazon Translate,Amir
Uma bola é redonda.,Amazon Translate,Amir
Um girador de bastões não gostaria de ter um dedo quebrado.,Amazon Translate,Amir
Uma bateria não pode fornecer energia indefinidamente.,Amazon Translate,Amir
"Normalmente, ninguém quer uma fatura.",Amazon Translate,Amir
Um aniversário pode inspirar alguém a fazer um bolo.,Amazon Translate,Amir
Um aniversário pode motivar alguém a comprar um presente para um ente querido.,Amazon Translate,Amir
Os cristãos geralmente adoram em um prédio chamado igreja.,Amazon Translate,Amir
Um gato normalmente não gosta de tomar banho.,Amazon Translate,Amir
Um gato não gosta de ter o rabo puxado.,Amazon Translate,Amir
Um gato não gosta de ficar molhado.,Amazon Translate,Amir
Um gato prefere não se molhar.,Amazon Translate,Amir
Um gato é uma espécie de felino.,Amazon Translate,Amir
"Uma celebridade é uma pessoa que trabalha duro a vida toda para se tornar conhecida e, muitas vezes, usa óculos escuros para evitar ser reconhecida.",Amazon Translate,Amir
Uma criança não riria da feiúra de sua mãe.,Amazon Translate,Amir
Um círculo é redondo.,Amazon Translate,Amir
Um computador pode ser ligado pressionando o botão liga/desliga.,Amazon Translate,Amir
Um vírus de computador não vive.,Amazon Translate,Amir
Um viciado em televisão deve desenvolver um estilo de vida que promova boa saúde e condicionamento físico.,Amazon Translate,Amir
Um crime normalmente levaria a um julgamento.,Amazon Translate,Amir
Um marido surdo e uma esposa cega costumam ser considerados um casal harmonioso.,Amazon Translate,Amir
"Em uma democracia, dois lobos e um cordeiro pequeno podem votar no que comer no jantar. No entanto, em uma república constitucional, um cordeiro bem armado tem a capacidade de disputar o voto.",Amazon Translate,Amir
"Se alguém deseja compartilhar conhecimento, pode optar por ensinar outras pessoas.",Amazon Translate,Amir
Um idioma diferente oferece uma perspectiva diferente da vida.,Amazon Translate,Amir
Um médico e um fazendeiro têm mais conhecimentos combinados do que um médico sozinho.,Amazon Translate,Amir
Um cachorro não deseja pulgas.,Amazon Translate,Amir
Um fanático é alguém que está enraizado em seu pensamento e geralmente evita mudar de assunto.,Amazon Translate,Amir
"Alguns falam o que pensam, enquanto outros não pensam antes de falar.",Amazon Translate,Amir
Alguns vícios podem ofuscar muitas virtudes.,Amazon Translate,Amir
Um tolo interfere nos assuntos dos outros em vez de se concentrar nos seus.,Amazon Translate,Amir
A proibição do fracking não deve ser imposta.,Amazon Translate,Amir
Alguns calouros na faculdade podem considerar desistir.,Amazon Translate,Amir
A bexiga cheia pode levar alguém a urinar.,Amazon Translate,Amir
O cachorro de um jardineiro não come o repolho nem permite que ninguém o faça.,Amazon Translate,Amir
A homofobia é indesejável para uma pessoa homossexual.,Amazon Translate,Amir
"Uma opinião popular não é necessariamente válida ou precisa. Da mesma forma, sua popularidade não o considera inválido.",Amazon Translate,Amir
"Uma meta deve representar um desafio, mas também evocar entusiasmo.",Amazon Translate,Amir
"Uma boa risada e uma boa noite de sono costumam ser os melhores remédios, de acordo com os médicos.",Amazon Translate,Amir
"Um corredor logístico bem-sucedido deve ter excelente acesso à água, ferrovias, rodovias e uma grande base de clientes em potencial.",Amazon Translate,Amir
Um bom casamento pode ser entre uma esposa cega e um marido surdo.,Amazon Translate,Amir
Uma boa noite de sono costuma ser subestimada pelos entusiastas da saúde e fanáticos por fitness.,Amazon Translate,Amir
Praticar exercícios regularmente é um bom método para manter a saúde.,Amazon Translate,Amir
Um grão de areia é extremamente pequeno.,Amazon Translate,Amir
Um bom chefe não exigiria que os funcionários trabalhassem horas extras sem compensação.,Amazon Translate,Amir
Uma pessoa sociável normalmente não gosta da solidão.,Amazon Translate,Amir
Um casamento feliz parece uma conversa longa e interminável.,Amazon Translate,Amir
"Não se pode persuadir um coração a amar, assim como um estômago não pode ser persuadido a digerir os alimentos.",Amazon Translate,Amir
Um hexágono sempre tem seis lados.,Amazon Translate,Amir
Uma conexão oculta é mais forte do que uma óbvia.,Amazon Translate,Amir
Um ser humano deve transformar informações em inteligência ou conhecimento. Tendemos a esquecer que nenhum computador jamais fará uma nova pergunta.,Amazon Translate,Amir
Um marido é um cara que avisa quando você usa muito batom.,Amazon Translate,Amir
A opinião de um advogado não vale nada até ser paga.,Amazon Translate,Amir
Uma vida de lazer é um reino com menos cuidado do que um reino exige.,Amazon Translate,Amir
"Um coração amoroso mantém uma família, um coração odioso a destrói.",Amazon Translate,Amir
Uma baixa taxa de positividade do COVID deve permitir que as restrições sejam afrouxadas.,Amazon Translate,Amir
Um homem se vê sete anos mais velho no dia seguinte ao casamento.,Amazon Translate,Amir
Um homem tem cem dólares e você o deixa com dois. Isso é subtração.,Amazon Translate,Amir
Um homem apaixonado não está completo até se casar. Então ele está acabado.,Amazon Translate,Amir
"Um homem é um sucesso se ele se levanta de manhã e vai para a cama à noite e, no meio, faz o que quer fazer.",Amazon Translate,Amir
Um homem não é velho enquanto está procurando alguma coisa.,Amazon Translate,Amir
"Um homem ama mais sua namorada, sua esposa a melhor, mas sua mãe por mais tempo.",Amazon Translate,Amir
"Um homem deve ser mais alto, mais velho, mais pesado, mais feio e mais rouco do que sua esposa.",Amazon Translate,Amir
Um homem que respeita os grandes abre o caminho para sua própria grandeza.,Amazon Translate,Amir
Um homem sem pernas não pode correr.,Amazon Translate,Amir
Um homem sem um ofício é como uma árvore sem frutos.,Amazon Translate,Amir
O verdadeiro caráter de um homem aparece quando ele está bêbado.,Amazon Translate,Amir
Os verdadeiros segredos de um homem são mais secretos para si mesmo do que para os outros.,Amazon Translate,Amir
Uma nação pode perder suas liberdades em um dia e não perdê-las em um século.,Amazon Translate,Amir
A necessidade de informações faria com que você quisesse acessar a Internet.,Amazon Translate,Amir
A necessidade de dinheiro faria você querer ganhar a vida.,Amazon Translate,Amir
Uma agulha é afiada.,Amazon Translate,Amir
Um apelido é a pedra mais dura que o diabo pode jogar em um homem.,Amazon Translate,Amir
Um número elevado para outro número geralmente é maior do que a adição desses dois números.,Amazon Translate,Amir
Um e um formam onze.,Amazon Translate,Amir
Uma parte da bondade consiste em amar as pessoas mais do que elas merecem.,Amazon Translate,Amir
Uma pessoa não quer ser restringida.,Amazon Translate,Amir
Uma pessoa não quer um trabalho chato.,Amazon Translate,Amir
Uma pessoa não quer um tumor cerebral.,Amazon Translate,Amir
Uma pessoa não quer um dedo quebrado.,Amazon Translate,Amir
Uma pessoa não quer um coração partido.,Amazon Translate,Amir
Uma pessoa não quer um vírus de computador.,Amazon Translate,Amir
Uma pessoa não quer uma mosca na sopa.,Amazon Translate,Amir
Uma pessoa não quer um prego.,Amazon Translate,Amir
Uma pessoa não quer um ataque cardíaco.,Amazon Translate,Amir
Uma pessoa não quer um emprego mal remunerado.,Amazon Translate,Amir
Uma pessoa não quer uma conexão lenta com a Internet.,Amazon Translate,Amir
Uma pessoa não quer abuso.,Amazon Translate,Amir
Uma pessoa não quer dores nas costas.,Amazon Translate,Amir
Uma pessoa não quer uma coceira.,Amazon Translate,Amir
Uma pessoa não quer uma DST.,Amazon Translate,Amir
Uma pessoa não quer aborrecimento.,Amazon Translate,Amir
Uma pessoa não quer ansiedade.,Amazon Translate,Amir
Uma pessoa não quer comida ruim.,Amazon Translate,Amir
Uma pessoa não quer o tédio.,Amazon Translate,Amir
Uma pessoa não quer ser enganada.,Amazon Translate,Amir
Uma pessoa não quer que tudo seja igual.,Amazon Translate,Amir
Uma pessoa não quer ir para a guerra.,Amazon Translate,Amir
Uma pessoa não quer que seu computador falhe.,Amazon Translate,Amir
Uma pessoa não quer perder o emprego.,Amazon Translate,Amir
Uma pessoa não quer feridas abertas.,Amazon Translate,Amir
Uma pessoa não quer esquizofrenia.,Amazon Translate,Amir
Uma pessoa não quer a verdade.,Amazon Translate,Amir
Uma pessoa não quer ser alienada.,Amazon Translate,Amir
Uma pessoa não quer ficar doente.,Amazon Translate,Amir
Uma pessoa não quer ter medo.,Amazon Translate,Amir
Uma pessoa não quer ficar doente.,Amazon Translate,Amir
Uma pessoa não quer ficar em um engarrafamento.,Amazon Translate,Amir
Uma pessoa não quer ficar na prisão.,Amazon Translate,Amir
Uma pessoa não quer ser punida.,Amazon Translate,Amir
Uma pessoa não quer ser ridícula.,Amazon Translate,Amir
Uma pessoa não quer ser vergonhosa.,Amazon Translate,Amir
Uma pessoa não quer quebrar uma perna.,Amazon Translate,Amir
Uma pessoa não quer bater seu carro.,Amazon Translate,Amir
Uma pessoa não quer morrer sozinha.,Amazon Translate,Amir
Uma pessoa não quer fazer algo em que não seja boa.,Amazon Translate,Amir
Uma pessoa não quer refazer o trabalho.,Amazon Translate,Amir
Uma pessoa não quer fazer o que não lhe interessa.,Amazon Translate,Amir
Uma pessoa não quer deixar de amar.,Amazon Translate,Amir
Uma pessoa não quer não ter casa.,Amazon Translate,Amir
Uma pessoa não quer ouvir uma má notícia.,Amazon Translate,Amir
Uma pessoa não quer perder seus amigos.,Amazon Translate,Amir
Uma pessoa não quer cometer erros.,Amazon Translate,Amir
Uma pessoa não quer espinhas.,Amazon Translate,Amir
Uma pessoa não quer coisas desagradáveis.,Amazon Translate,Amir
Uma pessoa em uma situação desesperadora tentará as medidas mais desesperadas.,Amazon Translate,Amir
Uma pessoa correndo em climas quentes tem maior probabilidade de suar.,Amazon Translate,Amir
"Em um trem vazio, uma pessoa não ouviria muita gente falando.",Amazon Translate,Amir
Uma pessoa indo para a cama normalmente não usaria um maiô.,Amazon Translate,Amir
É improvável que uma pessoa com febre alta seja saudável.,Amazon Translate,Amir
A raça de uma pessoa não é relevante para suas habilidades.,Amazon Translate,Amir
Um pessimista é alguém que conhece intimamente um otimista.,Amazon Translate,Amir
Um ponto de vista tem perspectivas diferentes.,Amazon Translate,Amir
"Um homem político pode almejar a realização da liberdade, mas seus meios para realizá-la só podem ser por meio da violência.",Amazon Translate,Amir
Um político em campanha para o conselho municipal deve ter experiência em trabalhar na cidade.,Amazon Translate,Amir
Uma pessoa muito ocupada pode não saber seu peso.,Amazon Translate,Amir
Recusar elogios pode ser o desejo de ser elogiado duas vezes.,Amazon Translate,Amir
"Em uma sociedade insana, uma pessoa sã pode parecer insana.",Amazon Translate,Amir
"Um navio está seguro no porto, mas esse não é o seu propósito.",Amazon Translate,Amir
Uma maneira simples de determinar se uma arma foi roubada é verificar seu número de série.,Amazon Translate,Amir
Um sorriso geralmente é percebido como uma emoção positiva.,Amazon Translate,Amir
Uma sociedade se torna grande quando homens idosos plantam árvores sabendo que nunca se sentarão à sombra.,Amazon Translate,Amir
Um quadrado tem quatro lados.,Amazon Translate,Amir
O vento forte pode inspirá-lo a empinar uma pipa.,Amazon Translate,Amir
Uma espada é afiada.,Amazon Translate,Amir
Uma tacha é nítida.,Amazon Translate,Amir
Um professor que não é dogmático pode ser alguém que não está ensinando de verdade.,Amazon Translate,Amir
Um teísta é o oposto de um ateu.,Amazon Translate,Amir
Uma teoria não é um fato.,Amazon Translate,Amir
Uma guerra não é vencida se o inimigo derrotado não for transformado em amigo.,Amazon Translate,Amir
Uma esponja úmida absorverá mais água do que uma esponja seca.,Amazon Translate,Amir
"Um homem sábio em sua casa deve encontrar uma esposa gentil e cortês, ou nenhuma esposa.",Amazon Translate,Amir
Um homem sábio ajusta suas crenças às evidências.,Amazon Translate,Amir
"Daqui a um ano, talvez você deseje ter começado hoje.",Amazon Translate,Amir
O comportamento evitativo em si mesmo é um caminho pavimentado para apenas uma coisa: melhorar o comportamento evitativo.,Amazon Translate,Amir
A capacidade de pensar como um violino ou piano requer prática diária.,Amazon Translate,Amir
A abolição da polícia é uma postura extrema adotada pelos democratas.,Amazon Translate,Amir
O aborto é crime porque a vida começa com a concepção.,Amazon Translate,Amir
O acesso à saúde e à educação deve ser uma prioridade.,Amazon Translate,Amir
"O acesso aos cuidados de saúde deve estar disponível para todos, sem a preocupação com dívidas.",Amazon Translate,Amir
"Um conhecido é uma pessoa que conhecemos bem o suficiente para pedir emprestado, mas não o suficiente para emprestar.",Amazon Translate,Amir
O ato que queremos aprovar nesta sessão é proibir prisões por crimes não passíveis de prisão.,Amazon Translate,Amir
Adicionar dois números juntos criará um número maior.,Amazon Translate,Amir
Admiração e familiaridade são estranhas.,Amazon Translate,Amir
Os adultos devem supervisionar todas as atividades de fogos de artifício.,Amazon Translate,Amir
Os avanços na tecnologia podem ajudar a salvar vidas e melhorar a qualidade de vida de todas as pessoas no mundo.,Amazon Translate,Amir
Os avanços na tecnologia podem ter consequências muito positivas ou terríveis.,Amazon Translate,Amir
"A adversidade é a prova dos princípios. Sem isso, um homem mal sabe se é honesto ou não.",Amazon Translate,Amir
"Aconselhe-o e aconselhe-o. Se ele não escuta, deixe que a adversidade o ensine.",Amazon Translate,Amir
Exercícios aeróbicos geralmente são bons para você.,Amazon Translate,Amir
A África é um continente.,Amazon Translate,Amir
"Depois de um certo ponto, o dinheiro não tem sentido. Deixa de ser o objetivo. O jogo é o que conta.",Amazon Translate,Amir
"Depois de um julgamento, uma das partes está nua e a outra sem camisa.",Amazon Translate,Amir
As companhias aéreas podem proibir animais de apoio emocional por causa de seu mau comportamento e porque os donos de animais de estimação contornam as regras e taxas das companhias aéreas.,Amazon Translate,Amir
O álcool deve ser restrito aos fãs durante os jogos esportivos.,Amazon Translate,Amir
O álcool pode fazer você querer dormir à noite.,Amazon Translate,Amir
A álgebra usa variáveis.,Amazon Translate,Amir
Toda arte é autobiográfica; a pérola é a autobiografia da ostra.,Amazon Translate,Amir
Todos os precedentes ruins começam como medidas justificáveis.,Amazon Translate,Amir
Todos os credos fanáticos causam danos. Eles promovem o ódio e a contenda.,Amazon Translate,Amir
