statement,elicitation,committer
Большинство людей считают уважительным любое изображение своих религиозных пророков.,microsoft azure text translation,Dan
"Существует мало доказательств того, что снижение подоходного налога или других налогов создает рабочие места или привлекает бизнес.",microsoft azure text translation,Dan
"Романтика не входит в число гуманитарных причин, по которым Израиль разрешает палестинцам путешествовать из Газы на Западный берег.",microsoft azure text translation,Dan
Деньги – это кислород для терроризма.,microsoft azure text translation,Dan
Слишком большая власть в руках одного человека может привести к катастрофе.,microsoft azure text translation,Dan
Национальное отвращение помогло президенту Линдону Б. Джонсону провести через Конгресс Закон об избирательных правах в течение пяти месяцев.,microsoft azure text translation,Dan
Политики часто подстраивают свою речь и внешний вид под разные аудитории.,microsoft azure text translation,Dan
Авиакомпании несут ответственность в случае смерти или травмы в результате несчастного случая на международных рейсах.,microsoft azure text translation,Dan
Самовольное вскрытие газопровода опасно.,microsoft azure text translation,Dan
Люди с тяжелой формой болезни Альцгеймера могут не помнить имена членов своей семьи.,microsoft azure text translation,Dan
"Люди, как правило, нуждаются во сне, чтобы функционировать.",microsoft azure text translation,Dan
Кража конфиденциального компьютерного торгового кода из банка является незаконной.,microsoft azure text translation,Dan
Мертвые птицы могут быть признаком токсичной окружающей среды.,microsoft azure text translation,Dan
Пристегнутые ремни безопасности могут предотвратить катапультирование пассажиров в автомобильной аварии.,microsoft azure text translation,Dan
Будущее этого вида спорта за женщинами.,microsoft azure text translation,Dan
Бывшие законодатели часто становятся лоббистами после ухода с поста.,microsoft azure text translation,Dan
"Мы все должны стремиться к тому, чтобы все избиратели, имеющие право голоса, могли воспользоваться своим правом голоса и чтобы их голос был учтен.",microsoft azure text translation,Dan
"Люди, как правило, ожидают, что их правительство будет балансировать между национальной безопасностью и гражданскими свободами.",microsoft azure text translation,Dan
"Налогоплательщики должны были получить существенную компенсацию за риск, который они на себя пошли.",microsoft azure text translation,Dan
Насилие с применением огнестрельного оружия является спорной темой в президентской кампании.,microsoft azure text translation,Dan
"Держать собак на поводке и кормить домашних животных только в помещении — это разумные меры для предотвращения конфликтов с дикими животными, такими как койоты.",microsoft azure text translation,Dan
"Люди, как правило, предпочитают голосовать за кандидатов, которые, по их мнению, честны и заботятся об интересах страны.",microsoft azure text translation,Dan
"К большинству людей следует относиться с уважением и достоинством, независимо от их сексуальной ориентации.",microsoft azure text translation,Dan
Люди часто гордятся своими местными связями с успешными людьми.,microsoft azure text translation,Dan
"Эксперты по насилию с применением огнестрельного оружия все больше заинтересованы в изменении законов, чтобы лучше ориентироваться на тех, кто имеет доказанную склонность к насилию с применением огнестрельного оружия.",microsoft azure text translation,Dan
"Страны часто выражают свою озабоченность по поводу международных соглашений, которые, по их мнению, представляют угрозу их безопасности.",microsoft azure text translation,Dan
"Уничтожение доказательств может привести к тому, что человек будет выглядеть виновным.",microsoft azure text translation,Dan
"Производственные издержки в Соединенных Штатах становятся более конкурентоспособными из-за таких факторов, как более низкие цены на энергоносители и местные налоговые льготы.",microsoft azure text translation,Dan
Закон об избирательных правах 1965 года был разработан для предотвращения расовой дискриминации при голосовании.,microsoft azure text translation,Dan
Вождение без действующих водительских прав может привести к штрафам или юридическим проблемам.,microsoft azure text translation,Dan
Военный союз – это кровавый союз.,microsoft azure text translation,Dan
"Границы, как правило, определяются и согласовываются правительствами соседних стран.",microsoft azure text translation,Dan
"Ожидается, что сотрудники будут проявлять «бережливость».",microsoft azure text translation,Dan
Дети не должны стрелять из автоматического оружия.,microsoft azure text translation,Dan
Гориллы живут стаями.,microsoft azure text translation,Dan
"Работодатели, как правило, должны соблюдать трудовое законодательство и защищать права работников.",microsoft azure text translation,Dan
"Безоружные люди не должны погибать, даже если их подозревают в правонарушениях.",microsoft azure text translation,Dan
Образование важно для личностного развития и карьерного успеха.,microsoft azure text translation,Dan
Отпечатки пальцев не могут быть изменены.,microsoft azure text translation,Dan
Свобода судоходства в соответствии с международным правом имеет важное значение для мировой торговли.,microsoft azure text translation,Dan
Большинство людей заинтересованы не только в зарабатывании денег.,microsoft azure text translation,Dan
Самый эффективный способ ослабить энтузиазм голодного медведя по отношению к мусору — использовать устойчивые к медведям мусорные баки.,microsoft azure text translation,Dan
"Иногда запах скандала может быть хуже, чем любой настоящий скандал.",microsoft azure text translation,Dan
"Люди, совершив ошибки, могут изменить свою жизнь к лучшему.",microsoft azure text translation,Dan
"Большинство людей согласны с тем, что только граждане США должны иметь право голосовать на выборах в США.",microsoft azure text translation,Dan
"Здравый смысл подсказывает, что СМИ играют важную роль в формировании общественных нарративов и восприятия.",microsoft azure text translation,Dan
Общенациональные выборы – это не соревнование за популярность.,microsoft azure text translation,Dan
"Дискриминация по признаку расы, религии и сексуальной ориентации, как правило, запрещена.",microsoft azure text translation,Dan
"С развитием мобильных устройств секстинг стал еще более распространенным, чем когда он впервые привлек к себе широкое внимание.",microsoft azure text translation,Dan
