statement,source,nlp_score,committer,elicitation
"""A river of tears"" means heavy crying.",gpt-4o design point,"""A river of tears"" means heavy crying.",Mark,GPT-4o
2 + 2 = 4.,gpt-4o design point,2 + 2 = 4.,Mark,GPT-4o
3D printing revolutionizes manufacturing processes.,gpt-4o design point,3D printing revolutionizes manufacturing processes.,Mark,GPT-4o
"3D printing revolutionizes manufacturing processes.

Celebrating achievements fosters positivity.",gpt-4o design point,"3D printing revolutionizes manufacturing processes.

Celebrating achievements fosters positivity.",Mark,GPT-4o
A barking dog seldom bites.,gpt-4o design point,A barking dog seldom bites.,Mark,GPT-4o
A bird in the hand.,gpt-4o design point,A bird in the hand.,Mark,GPT-4o
A blanket keeps you warm.,gpt-4o design point,A blanket keeps you warm.,Mark,GPT-4o
A book contains pages of information.,gpt-4o design point,A book contains pages of information.,Mark,GPT-4o
A calm demeanor eases stressful situations.,gpt-4o design point,A calm demeanor eases stressful situations.,Mark,GPT-4o
A clear goal sets the path.,gpt-4o design point,A clear goal sets the path.,Mark,GPT-4o
A dime a dozen means common.,gpt-4o design point,A dime a dozen means common.,Mark,GPT-4o
A hearty breakfast fuels your day.,gpt-4o design point,A hearty breakfast fuels your day.,Mark,GPT-4o
A high salt diet is unhealthy.,gpt-4o design point,A high salt diet is unhealthy.,Mark,GPT-4o
A hot bath relaxes muscles.,gpt-4o design point,A hot bath relaxes muscles.,Mark,GPT-4o
A hug can mend a heart.,gpt-4o design point,A hug can mend a heart.,Mark,GPT-4o
A pat on the back boosts morale.,gpt-4o design point,A pat on the back boosts morale.,Mark,GPT-4o
A right angle is exactly 90 degrees.,gpt-4o design point,A right angle is exactly 90 degrees.,Mark,GPT-4o
A rising tide lifts all boats.,gpt-4o design point,A rising tide lifts all boats.,Mark,GPT-4o
A river's flow is soothing.,gpt-4o design point,A river's flow is soothing.,Mark,GPT-4o
A rolling stone gathers no moss.,gpt-4o design point,A rolling stone gathers no moss.,Mark,GPT-4o
A smile is contagious.,gpt-4o design point,A smile is contagious.,Mark,GPT-4o
A stich in time saves nine.,gpt-4o design point,A stich in time saves nine.,Mark,GPT-4o
A tidy space invites calm.,gpt-4o design point,A tidy space invites calm.,Mark,GPT-4o
A warm smile invites friendliness.,gpt-4o design point,A warm smile invites friendliness.,Mark,GPT-4o
A watched pot never boils.,gpt-4o design point,A watched pot never boils.,Mark,GPT-4o
AI algorithms require quality data input.,gpt-4o design point,AI algorithms require quality data input.,Mark,GPT-4o
AI can improve medical diagnoses.,gpt-4o design point,AI can improve medical diagnoses.,Mark,GPT-4o
AI can optimize logistics.,gpt-4o design point,AI can optimize logistics.,Mark,GPT-4o
AI chatbots provide customer support.,gpt-4o design point,AI chatbots provide customer support.,Mark,GPT-4o
AI enhances educational tools.,gpt-4o design point,AI enhances educational tools.,Mark,GPT-4o
AI ethics address bias concerns.,gpt-4o design point,AI ethics address bias concerns.,Mark,GPT-4o
AI ethics ensure fair algorithms.,gpt-4o design point,AI ethics ensure fair algorithms.,Mark,GPT-4o
Abraham Lincoln delivered the Gettysburg Address.,gpt-4o design point,Abraham Lincoln delivered the Gettysburg Address.,Mark,GPT-4o
Abraham Lincoln was the 16th President of the USA.,gpt-4o design point,Abraham Lincoln was the 16th President of the USA.,Mark,GPT-4o
Absence makes the heart grow fonder.,gpt-4o design point,Absence makes the heart grow fonder.,Mark,GPT-4o
Abstract algebra studies algebraic structures.,gpt-4o design point,Abstract algebra studies algebraic structures.,Mark,GPT-4o
Abstract art challenges traditional perceptions.,gpt-4o design point,Abstract art challenges traditional perceptions.,Mark,GPT-4o
Abstract sculpture evokes unique interpretations.,gpt-4o design point,Abstract sculpture evokes unique interpretations.,Mark,GPT-4o
Accurate measurements ensure reliability.,gpt-4o design point,Accurate measurements ensure reliability.,Mark,GPT-4o
Act with kindness.,gpt-4o design point,Act with kindness.,Mark,GPT-4o
Actions have consequences.,gpt-4o design point,Actions have consequences.,Mark,GPT-4o
Actions speak louder than words.,gpt-4o design point,Actions speak louder than words.,Mark,GPT-4o
Active lifestyles reduce health risks.,gpt-4o design point,Active lifestyles reduce health risks.,Mark,GPT-4o
Adaptive behaviors enhance social adaptability.,gpt-4o design point,Adaptive behaviors enhance social adaptability.,Mark,GPT-4o
Addition combines quantities.,gpt-4o design point,Addition combines quantities.,Mark,GPT-4o
Adequate rest aids recovery.,gpt-4o design point,Adequate rest aids recovery.,Mark,GPT-4o
Adhering to deadlines shows responsibility.,gpt-4o design point,Adhering to deadlines shows responsibility.,Mark,GPT-4o
Admitting fault shows maturity.,gpt-4o design point,Admitting fault shows maturity.,Mark,GPT-4o
Advances in medicine extend human life.,gpt-4o design point,Advances in medicine extend human life.,Mark,GPT-4o
Advocacy supports social change.,gpt-4o design point,Advocacy supports social change.,Mark,GPT-4o
Against the clock.,gpt-4o design point,Against the clock.,Mark,GPT-4o
Agnosticism questions the existence of deities.,gpt-4o design point,Agnosticism questions the existence of deities.,Mark,GPT-4o
Alaska offers stunning natural beauty.,gpt-4o design point,Alaska offers stunning natural beauty.,Mark,GPT-4o
Alaska's glaciers are awe-inspiring.,gpt-4o design point,Alaska's glaciers are awe-inspiring.,Mark,GPT-4o
Albania's coast is untouched.,gpt-4o design point,Albania's coast is untouched.,Mark,GPT-4o
Albert Einstein formulated E=mc^2.,gpt-4o design point,Albert Einstein formulated E=mc^2.,Mark,GPT-4o
Alfred Nobel invented dynamite.,gpt-4o design point,Alfred Nobel invented dynamite.,Mark,GPT-4o
Algebra is foundational for advanced math.,gpt-4o design point,Algebra is foundational for advanced math.,Mark,GPT-4o
Algorithmic logic drives computations.,gpt-4o design point,Algorithmic logic drives computations.,Mark,GPT-4o
All roads lead to Rome.,gpt-4o design point,All roads lead to Rome.,Mark,GPT-4o
Almanacs are annual publications with various statistics.,gpt-4o design point,Almanacs are annual publications with various statistics.,Mark,GPT-4o
Almanacs provide seasonal weather forecasts.,gpt-4o design point,Almanacs provide seasonal weather forecasts.,Mark,GPT-4o
Always return borrowed items.,gpt-4o design point,Always return borrowed items.,Mark,GPT-4o
An arm and a leg.,gpt-4o design point,An arm and a leg.,Mark,GPT-4o
"An equivalence relation is reflexive, symmetric, and transitive.",gpt-4o design point,"An equivalence relation is reflexive, symmetric, and transitive.",Mark,GPT-4o
Analysis of facts informs strategy.,gpt-4o design point,Analysis of facts informs strategy.,Mark,GPT-4o
Analytical approaches identify root causes.,gpt-4o design point,Analytical approaches identify root causes.,Mark,GPT-4o
Analytical reviews enhance processes.,gpt-4o design point,Analytical reviews enhance processes.,Mark,GPT-4o
Ancient Greek tragedies influenced modern drama.,gpt-4o design point,Ancient Greek tragedies influenced modern drama.,Mark,GPT-4o
Ancient artifacts tell historical stories.,gpt-4o design point,Ancient artifacts tell historical stories.,Mark,GPT-4o
Ancient civilizations left lasting legacies.,gpt-4o design point,Ancient civilizations left lasting legacies.,Mark,GPT-4o
Animation combines art and technology.,gpt-4o design point,Animation combines art and technology.,Mark,GPT-4o
Antarctica is a frozen wonderland.,gpt-4o design point,Antarctica is a frozen wonderland.,Mark,GPT-4o
