statement,elicitation,committer
1 plus 1 est égal à 2.,Amazon Translate,Amir
5 est nettement plus grand que 1.,Amazon Translate,Amir
"Pour rester en bonne santé, il faut une alimentation équilibrée et une activité physique régulière.",Amazon Translate,Amir
Une balle est ronde.,Amazon Translate,Amir
Un joueur de matraque ne voudrait pas se casser un doigt.,Amazon Translate,Amir
Une batterie ne peut pas fournir d'énergie indéfiniment.,Amazon Translate,Amir
"En général, personne ne veut recevoir de facture.",Amazon Translate,Amir
Un anniversaire peut inciter quelqu'un à faire un gâteau.,Amazon Translate,Amir
Un anniversaire peut motiver quelqu'un à acheter un cadeau pour un être cher.,Amazon Translate,Amir
Les chrétiens adorent généralement dans un bâtiment appelé église.,Amazon Translate,Amir
Un chat n'aime généralement pas prendre un bain.,Amazon Translate,Amir
Un chat n'apprécie pas qu'on lui tire la queue.,Amazon Translate,Amir
Un chat n'aime pas être mouillé.,Amazon Translate,Amir
Un chat préfère ne pas se mouiller.,Amazon Translate,Amir
Le chat est une espèce de félin.,Amazon Translate,Amir
"Une célébrité est une personne qui travaille dur toute sa vie pour se faire connaître, puis qui porte souvent des lunettes de soleil pour éviter d'être reconnue.",Amazon Translate,Amir
Un enfant ne rirait pas de la laideur de sa mère.,Amazon Translate,Amir
Un cercle est rond.,Amazon Translate,Amir
Un ordinateur peut être allumé en appuyant sur son bouton d'alimentation.,Amazon Translate,Amir
Un virus informatique n'est pas vivant.,Amazon Translate,Amir
Une patate de canapé doit adopter un mode de vie qui favorise une bonne santé et une bonne forme physique.,Amazon Translate,Amir
Un crime donne généralement lieu à un procès.,Amazon Translate,Amir
Un mari sourd et une femme aveugle sont souvent considérés comme un couple harmonieux.,Amazon Translate,Amir
"Dans une démocratie, deux loups et un petit agneau peuvent voter pour le dîner. Cependant, dans une république constitutionnelle, un agneau bien armé a la capacité de se présenter aux urnes.",Amazon Translate,Amir
"Si quelqu'un souhaite partager ses connaissances, il peut choisir d'enseigner aux autres.",Amazon Translate,Amir
Une langue différente offre une perspective différente de la vie.,Amazon Translate,Amir
Un médecin et un agriculteur ont plus de connaissances combinées qu'un médecin seul.,Amazon Translate,Amir
Un chien ne veut pas de puces.,Amazon Translate,Amir
Un fanatique est quelqu'un qui est bien ancré dans sa pensée et qui évite souvent de changer de sujet.,Amazon Translate,Amir
"Certains disent ce qu'ils pensent, tandis que d'autres ne réfléchissent pas avant de parler.",Amazon Translate,Amir
Quelques vices peuvent éclipser de nombreuses vertus.,Amazon Translate,Amir
Un idiot s'immisce dans les affaires des autres au lieu de se concentrer sur les leurs.,Amazon Translate,Amir
L'interdiction de la fracturation hydraulique ne devrait pas être imposée.,Amazon Translate,Amir
Certains étudiants de première année pourraient envisager d'abandonner leurs études.,Amazon Translate,Amir
Une vessie pleine peut inciter quelqu'un à uriner.,Amazon Translate,Amir
Le chien du jardinier ne mange pas le chou et ne permet à personne d'autre de le faire.,Amazon Translate,Amir
L'homophobie n'est pas souhaitable pour un homosexuel.,Amazon Translate,Amir
