statement,elicitation,committer
戦争兵器は街中や学校にはありません。,amazon translate,Dan
ゴーストガンは、スキャナーで検出されない場合があるため、特に危険です。,amazon translate,Dan
マガジンの容量を制限することで命を救うことができます。,amazon translate,Dan
コロナウイルスの症状は、曝露後2〜14日の間に現れることがあります。,amazon translate,Dan
コロナウイルスの一般的な症状には、発熱、咳、息切れなどがあります。,amazon translate,Dan
頻繁に手を洗うことは、病気の蔓延を防ぐのに役立ちます。,amazon translate,Dan
ひじに咳をするのは、細菌の拡散を防ぐための良い習慣です。,amazon translate,Dan
顔に触れないようにすると、感染のリスクを減らすのに役立ちます。,amazon translate,Dan
握手を非接触の挨拶に置き換えることで、病気の蔓延を減らすことができます。,amazon translate,Dan
今はパニックに陥る時ではありません。今は注意と常識の時代です。,amazon translate,Dan
症状のある人は感染していることを知らない可能性があるため、人と直接接触しないように注意する必要があります。,amazon translate,Dan
必ず手を洗い、顔に触れないようにする必要があります。,amazon translate,Dan
症状には、発熱、咳、息切れなどがあります。,amazon translate,Dan
ウイルスに感染していると思われる場合は、自己隔離を行い、CDCの推奨事項に従ってください。,amazon translate,Dan
コロナウイルスの蔓延を遅らせるために、人々は家にいることが求められています。,amazon translate,Dan
パンデミックにより、労働者は解雇され、中小企業は閉鎖されています。,amazon translate,Dan
医療専門家はパンデミックとの闘いの最前線に立っています。,amazon translate,Dan
人々は通常、選挙運動中に訪問や電話を通じて有権者とコミュニケーションをとります。,amazon translate,Dan
政治運動では、活動資金を調達するために寄付を求めることがよくあります。,amazon translate,Dan
政治運動では、寄付金を使って電話をかけたり、ドアをノックして有権者の支持を得たりします。,amazon translate,Dan
政治運動では、候補者が特定の価値観を代表していると主張することがよくあります。,amazon translate,Dan
政治運動は、反対派が地元の有権者と連絡が取れていないと非難するかもしれません。,amazon translate,Dan
ひじに咳をすると、細菌の拡散を防ぐのに役立ちます。,amazon translate,Dan
感染のリスクを減らすため、顔に触れないでください。,amazon translate,Dan
高齢者はコロナウイルスによる合併症を発症するリスクが高くなります。,amazon translate,Dan
自己隔離は、ウイルスに感染しているように感じた場合に他の人を保護するのに役立ちます。,amazon translate,Dan
人々は選挙権と健康のどちらかを選ばなければならないべきではありません。,amazon translate,Dan
パンデミックは多くの人々を失業させる可能性があります。,amazon translate,Dan
家賃は多くのアメリカ人にとって日常的な出費です。,amazon translate,Dan
パンデミックの最中に仕事に戻るのは危険です。,amazon translate,Dan
家賃を払えないと、立ち退きは危険です。,amazon translate,Dan
消防士への資金提供は常識と考えられています。,amazon translate,Dan
選挙結果に影響を与えるには、人々が投票する必要があります。,amazon translate,Dan
医療は多くの有権者にとって懸念事項です。,amazon translate,Dan
一部の政治家候補にとって、教育投資は優先事項です。,amazon translate,Dan
公民権は政治運動における重要な問題です。,amazon translate,Dan
既存の病状は、医療政策の議論における要因です。,amazon translate,Dan
政治運動では、その活動を支援するために寄付を求めることがよくあります。,amazon translate,Dan
選挙は、州における政党の支配に変化をもたらす可能性があります。,amazon translate,Dan
COVID-19パンデミックの間、人々は経済的および個人的なストレスを経験しています。,amazon translate,Dan
新型コロナウイルスは、各国が協力して取り組んでいる課題です。,amazon translate,Dan
寄付は政治運動の資金調達に役立ちます。,amazon translate,Dan
キャンペーンでは、寄付金を使って有権者に働きかけ、ボランティアネットワークを構築します。,amazon translate,Dan
処方薬のコストを下げ、気候変動に対処し、銃ロビー活動と戦うことは、常識的な解決策と見なされる人もいます。,amazon translate,Dan
新型コロナウイルスのパンデミックの間、数え切れないほどの家族に多大な経済的・個人的ストレスがかかっています。,amazon translate,Dan
資金調達の目標を達成することで、今後数か月以内に実行できる計画の参考になります。,amazon translate,Dan
資金調達の目標が達成できなければ、将来のイベントに影響するドミノ効果が生じる可能性があります。,amazon translate,Dan
選挙アナリストは、政治競争の結果を予測します。,amazon translate,Dan
キャンペーンは、コミュニティが直面している実際の問題に取り組むことに重点を置いています。,amazon translate,Dan
医療制度の崩壊と経済危機は、地域社会が現在直面している問題です。,amazon translate,Dan
一部の政治運動では、処方薬のコストを下げ、気候変動に対処し、常識的な解決策をもたらすことが目標となっています。,amazon translate,Dan
人々は愛する人が安全で健康でいられることを望んでいます。,amazon translate,Dan
COVID-19により、数え切れないほどの家族に多大な経済的および個人的なストレスがかかっています。,amazon translate,Dan
新型コロナウイルスとの闘いには、最前線の対応要員が不可欠です。,amazon translate,Dan
草の根の支持は政治的競争に影響を与える可能性があります。,amazon translate,Dan
医療へのアクセス、経済危機、常識的な解決策は、有権者にとって重要な問題です。,amazon translate,Dan
政治的競争は予測がつかず、一方の政党に有利な立場から反対派になることもあります。,amazon translate,Dan
家族にはリーダーシップが必要です。,amazon translate,Dan
有権者は政治的代表者に説明責任を要求します。,amazon translate,Dan
法律は私たちを安全に保つためのものです。,amazon translate,Dan
医療と経済は家族にとって重要な問題です。,amazon translate,Dan
新型コロナウイルスにより、数え切れないほどの家族に経済的および個人的なストレスがかかっています。,amazon translate,Dan
処方薬のコストを下げることは、一部の政治家の目標です。,amazon translate,Dan
気候変動への取り組みは、一部の政治家にとって懸念事項です。,amazon translate,Dan
選挙は透明かつ公正であるべきです。,amazon translate,Dan
法的に投票権のある人は誰でも安全に投票できるはずです。,amazon translate,Dan
社会的距離は、選挙前の数週間まで続く可能性があります。,amazon translate,Dan
選挙での投票は、以前とは違って見えるかもしれません。,amazon translate,Dan
社会的距離を保つことは、病気の蔓延を防ぐのに役立ちます。,amazon translate,Dan
同じ屋根の下で暮らす多世代家族は、健康危機の際に家族の長老たちの健康に気を配るべきです。,amazon translate,Dan
CDCの推奨事項に従うことは、健康危機の際に人々の安全を守るのに役立ちます。,amazon translate,Dan
人々は、愛する人が困難な時期でも安全で健康でいられることを望んでいます。,amazon translate,Dan
新型コロナウイルスのような危機的状況下では、家族に経済的および個人的なストレスがかかる可能性があります。,amazon translate,Dan
特定の期間中は、寄付が遅くなることがあります。,amazon translate,Dan
資金調達目標は、組織が必要なリソースを獲得するのに役立ちます。,amazon translate,Dan
デジタルツールは、組織が地域社会により良いサービスを提供するのに役立ちます。,amazon translate,Dan
ボランティアはデジタルツールを使用して活動を支援できます。,amazon translate,Dan
処方薬のコストを下げることは、一部の人々にとって懸念事項です。,amazon translate,Dan
気候変動への取り組みは、一部の個人にとって優先事項です。,amazon translate,Dan
私たちはコロナウイルスの発生を一緒に乗り越えようとしています。,amazon translate,Dan
常識、敬意、品位は真のリーダーシップの要です。,amazon translate,Dan
真のリーダーシップには、思いやり、共感、誠実さが必要です。,amazon translate,Dan
働く家族や中小企業はしばしば支援を必要とします。,amazon translate,Dan
指導者は国民の利益に気を配るべきだ。,amazon translate,Dan
キャンペーンの運営と目標達成には資金が必要です。,amazon translate,Dan
寄付は、特定の募金期間だけでなく、いつでも行うことができます。,amazon translate,Dan
努力は一般的に報われることが期待されています。,amazon translate,Dan
ワシントンの人々は政治運動の勢いに気づいています。,amazon translate,Dan
バトルグラウンド地区は、パーティーの支配権が変わる可能性のある重要な種族です。,amazon translate,Dan
経済はすべての人のためになるように再構築できます。,amazon translate,Dan
キャンペーンでは、募金目標を達成するために寄付を求めることがよくあります。,amazon translate,Dan
政治キャンペーンでは、毎月の定期的な寄付を受け入れることができます。,amazon translate,Dan
今日はテキサスでの期日前投票の初日です。,amazon translate,Dan
すべての投票は選挙の結果にカウントされます。,amazon translate,Dan
アクセシブルヘルスケアは地域社会にとって重要です。,amazon translate,Dan
強い経済は国の市民にとって有益です。,amazon translate,Dan
投票は民主的プロセスに参加する方法です。,amazon translate,Dan
正直な一日の仕事は、食べ物をテーブルに置き、屋根を頭上に置き、必要な薬の費用を賄うのに十分なはずです。,amazon translate,Dan
選挙は、候補者が選挙運動への寄付を求める時期です。,amazon translate,Dan
人々はしばしば、友人や同僚に、自分が信じている政治家候補を支持するように頼みます。,amazon translate,Dan
公職の候補者には、公務員や地域社会への関与の経験があることがよくあります。,amazon translate,Dan
米国の政治運動は、個人からの寄付によって賄うことができます。,amazon translate,Dan
選挙は競争が激しく、選挙結果は人口や有権者の感情の変化によって影響を受ける可能性があります。,amazon translate,Dan
人々は一般的に資金調達目標を達成したいと考えています。,amazon translate,Dan
締め切りは多くの場合、特定の目標に対して設定されます。,amazon translate,Dan
寄付をマッチングさせることで、寄付の意欲を高めることができます。,amazon translate,Dan
購読解除は、メールを受け取りたくない人のためのオプションです。,amazon translate,Dan
子供たちに学んでもらいたいのなら、そのための最高の環境を与える必要があります,amazon translate,Dan
