statement,elicitation,committer
战争武器不属于我们的街道和学校。,amazon translate,Dan
幽灵枪特别危险，因为它们可能不会被扫描仪发现。,amazon translate,Dan
限制弹夹容量可以挽救生命。,amazon translate,Dan
冠状病毒的症状可能在暴露后的2至14天内出现。,amazon translate,Dan
冠状病毒的常见症状包括发烧、咳嗽和呼吸急促。,amazon translate,Dan
经常洗手有助于防止疾病传播。,amazon translate,Dan
用肘部咳嗽是防止细菌传播的好方法。,amazon translate,Dan
避免触摸脸部有助于降低感染风险。,amazon translate,Dan
用非接触式问候代替握手可以减少疾病的传播。,amazon translate,Dan
现在不是惊慌失措的时候。现在是谨慎行事和保持常识的时候。,amazon translate,Dan
我们需要保持警惕，避免与人直接接触，因为有症状的人可能不知道自己已被感染。,amazon translate,Dan
我们需要确保洗手，避免与脸部接触。,amazon translate,Dan
症状包括发烧、咳嗽和呼吸急促。,amazon translate,Dan
如果您认为自己感染了病毒，请进行自我隔离并遵循CDC的建议。,amazon translate,Dan
人们被要求待在家里，以减缓冠状病毒的传播。,amazon translate,Dan
由于疫情，我们的工人被解雇，我们的小型企业正在关闭。,amazon translate,Dan
医疗专业人员站在抗击疫情的第一线。,amazon translate,Dan
竞选期间，人们通常通过挨家挨户访问和电话与选民沟通。,amazon translate,Dan
政治竞选活动经常要求捐款来资助其活动。,amazon translate,Dan
政治竞选活动使用捐款来打电话，敲门以获得选民的支持。,amazon translate,Dan
政治竞选活动经常声称其候选人代表某些价值观。,amazon translate,Dan
政治竞选活动可能会指责反对者与当地选民脱节。,amazon translate,Dan
咳嗽到肘部可以帮助防止细菌传播。,amazon translate,Dan
避免触摸脸部以降低感染风险。,amazon translate,Dan
老年人出现冠状病毒并发症的风险更高。,amazon translate,Dan
如果你觉得自己感染了病毒，自我隔离可以帮助保护他人。,amazon translate,Dan
人们不必在投票权和健康之间做出选择。,amazon translate,Dan
大流行会使许多人失业。,amazon translate,Dan
房租是许多美国人的固定开支。,amazon translate,Dan
疫情期间重返工作岗位很危险。,amazon translate,Dan
当人们无法支付房租时，驱逐是一种风险。,amazon translate,Dan
为消防员提供资金被认为是常识。,amazon translate,Dan
人们需要投票才能影响选举结果。,amazon translate,Dan
