statement,elicitation,committer
As armas de guerra não pertencem às nossas ruas e às nossas escolas.,amazon translate,Dan
As armas fantasmas são especialmente perigosas porque podem passar despercebidas pelos scanners.,amazon translate,Dan
Limitar a capacidade do carregador pode salvar vidas.,amazon translate,Dan
Os sintomas do coronavírus podem aparecer entre 2 e 14 dias após a exposição.,amazon translate,Dan
"Os sintomas comuns do coronavírus incluem febre, tosse e falta de ar.",amazon translate,Dan
Lavar as mãos com frequência pode ajudar a prevenir a propagação de doenças.,amazon translate,Dan
Tossir no cotovelo é uma boa prática para evitar a propagação de germes.,amazon translate,Dan
Evitar tocar no rosto pode ajudar a reduzir o risco de infecção.,amazon translate,Dan
Substituir apertos de mão por saudações sem contato pode reduzir a propagação de doenças.,amazon translate,Dan
Agora não é hora de entrar em pânico. É hora de cautela e bom senso.,amazon translate,Dan
"Precisamos estar atentos para evitar o contato humano direto, pois aqueles com sintomas podem não saber que estão infectados.",amazon translate,Dan
Precisamos lavar as mãos e evitar o contato com o rosto.,amazon translate,Dan
"Os sintomas incluem febre, tosse e falta de ar.",amazon translate,Dan
"Se você acha que tem o vírus, coloque-se em quarentena e siga as recomendações do CDC.",amazon translate,Dan
As pessoas estão sendo obrigadas a ficar em casa para retardar a propagação do coronavírus.,amazon translate,Dan
Nossos trabalhadores estão sendo demitidos e nossos pequenos negócios estão fechando devido à pandemia.,amazon translate,Dan
Os profissionais médicos estão na linha de frente no combate à pandemia.,amazon translate,Dan
As pessoas geralmente se comunicam com os eleitores por meio de visitas de porta em porta e telefonemas durante as campanhas eleitorais.,amazon translate,Dan
As campanhas políticas geralmente solicitam doações para financiar suas atividades.,amazon translate,Dan
As campanhas políticas usam doações para fazer ligações telefônicas e bater às portas para obter o apoio dos eleitores.,amazon translate,Dan
As campanhas políticas geralmente afirmam que seu candidato representa certos valores.,amazon translate,Dan
Campanhas políticas podem acusar os opositores de estarem fora de contato com o eleitorado local.,amazon translate,Dan
Lavar as mãos pode ajudar a prevenir a propagação de doenças.,amazon translate,Dan
Tossir no cotovelo pode ajudar a evitar a propagação de germes.,amazon translate,Dan
Evite tocar no rosto para reduzir o risco de infecção.,amazon translate,Dan
Os idosos correm maior risco de desenvolver complicações causadas pelo coronavírus.,amazon translate,Dan
A quarentena automática pode ajudar a proteger outras pessoas se você sentir que está com o vírus.,amazon translate,Dan
As pessoas não deveriam ter que escolher entre o direito de votar e sua saúde.,amazon translate,Dan
Uma pandemia pode deixar muitas pessoas sem trabalho.,amazon translate,Dan
O aluguel é uma despesa regular para muitos americanos.,amazon translate,Dan
É perigoso voltar ao trabalho durante uma pandemia.,amazon translate,Dan
O despejo é um risco quando as pessoas não conseguem pagar o aluguel.,amazon translate,Dan
Financiar bombeiros é considerado senso comum.,amazon translate,Dan
As pessoas precisam votar para influenciar os resultados das eleições.,amazon translate,Dan
Os cuidados de saúde são um tema de preocupação para muitos eleitores.,amazon translate,Dan
O investimento educacional é uma prioridade para alguns candidatos políticos.,amazon translate,Dan
Os direitos civis são uma questão importante nas campanhas políticas.,amazon translate,Dan
Condições pré-existentes são um fator nas discussões sobre políticas de saúde.,amazon translate,Dan
As campanhas políticas geralmente solicitam doações para apoiar seus esforços.,amazon translate,Dan
As eleições podem resultar em mudanças no domínio dos partidos políticos em um estado.,amazon translate,Dan
As pessoas estão enfrentando estresse financeiro e pessoal durante a pandemia da COVID-19.,amazon translate,Dan
A COVID-19 é um desafio que as nações estão trabalhando juntas para combater.,amazon translate,Dan
As doações podem ajudar a financiar campanhas políticas.,amazon translate,Dan
As campanhas usam doações para alcançar os eleitores e criar redes de voluntários.,amazon translate,Dan
"Reduzir o custo dos medicamentos prescritos, lidar com as mudanças climáticas e combater o lobby das armas são considerados soluções de bom senso por alguns.",amazon translate,Dan
Um enorme estresse financeiro e pessoal foi causado a inúmeras famílias durante a pandemia da COVID-19.,amazon translate,Dan
O cumprimento das metas de arrecadação de fundos pode informar os planos que poderão ser executados nos próximos meses.,amazon translate,Dan
A falta de metas de arrecadação de fundos pode criar um efeito dominó que afeta eventos futuros.,amazon translate,Dan
Os analistas eleitorais fazem previsões sobre os resultados das corridas políticas.,amazon translate,Dan
As campanhas se concentram em abordar problemas reais enfrentados pela comunidade.,amazon translate,Dan
Um sistema de saúde falido e uma crise econômica são problemas atuais que as comunidades enfrentam.,amazon translate,Dan
"Reduzir o custo dos medicamentos prescritos, lidar com as mudanças climáticas e trazer soluções de bom senso são metas de algumas campanhas políticas.",amazon translate,Dan
As pessoas esperam que seus entes queridos estejam seguros e saudáveis.,amazon translate,Dan
Um enorme estresse financeiro e pessoal foi causado a inúmeras famílias devido ao COVID-19.,amazon translate,Dan
Os socorristas da linha de frente são essenciais na luta contra a COVID-19.,amazon translate,Dan
O apoio popular pode influenciar as corridas políticas.,amazon translate,Dan
"Acesso à saúde, crises econômicas e soluções de bom senso são questões importantes para os eleitores.",amazon translate,Dan
As disputas políticas podem ser imprevisíveis e podem deixar de favorecer um partido e passar a ser disputadas.,amazon translate,Dan
As famílias precisam de liderança.,amazon translate,Dan
Os eleitores exigem responsabilidade de seus representantes políticos.,amazon translate,Dan
As leis servem para nos manter seguros.,amazon translate,Dan
A saúde e a economia são questões importantes para as famílias.,amazon translate,Dan
O estresse financeiro e pessoal tem sido causado a inúmeras famílias devido ao COVID-19.,amazon translate,Dan
Reduzir o custo dos medicamentos prescritos é uma meta para alguns políticos.,amazon translate,Dan
Lidar com as mudanças climáticas é uma preocupação para alguns políticos.,amazon translate,Dan
As eleições devem ser transparentes e justas.,amazon translate,Dan
Todos os que têm o direito legal de votar devem poder fazê-lo com segurança.,amazon translate,Dan
O distanciamento social pode continuar nas semanas que antecedem a eleição.,amazon translate,Dan
Votar na eleição pode parecer diferente do que era no passado.,amazon translate,Dan
Praticar o distanciamento social pode ajudar a prevenir a propagação de doenças.,amazon translate,Dan
Famílias multigeracionais que vivem sob o mesmo teto devem estar atentas à saúde dos idosos da família durante uma crise de saúde.,amazon translate,Dan
Seguir as recomendações do CDC pode ajudar a manter as pessoas seguras durante uma crise de saúde.,amazon translate,Dan
As pessoas esperam que seus entes queridos permaneçam seguros e saudáveis em tempos difíceis.,amazon translate,Dan
O estresse financeiro e pessoal pode ser causado às famílias durante uma crise como a COVID-19.,amazon translate,Dan
As doações podem diminuir durante certos períodos.,amazon translate,Dan
As metas de arrecadação de fundos ajudam as organizações a adquirir os recursos de que precisam.,amazon translate,Dan
As ferramentas digitais podem ajudar as organizações a atender melhor sua comunidade.,amazon translate,Dan
Os voluntários podem usar ferramentas digitais para apoiar suas atividades.,amazon translate,Dan
Reduzir o custo dos medicamentos prescritos é uma preocupação para algumas pessoas.,amazon translate,Dan
Lidar com as mudanças climáticas é uma prioridade para algumas pessoas.,amazon translate,Dan
Vamos superar o surto de coronavírus juntos.,amazon translate,Dan
"Bom senso, respeito e decência são a base da liderança real.",amazon translate,Dan
"A liderança real exige compaixão, empatia e honestidade.",amazon translate,Dan
Famílias trabalhadoras e pequenas empresas geralmente precisam de apoio.,amazon translate,Dan
A liderança deve cuidar dos interesses das pessoas.,amazon translate,Dan
As campanhas exigem fundos para operar e atingir suas metas.,amazon translate,Dan
"As doações podem ser feitas a qualquer momento, não apenas durante períodos específicos de arrecadação de fundos.",amazon translate,Dan
A oportunidade deve estar disponível tanto para jovens quanto para idosos.,amazon translate,Dan
"Geralmente, espera-se que o trabalho árduo seja recompensado.",amazon translate,Dan
As pessoas em Washington notam um impulso nas campanhas políticas.,amazon translate,Dan
Os distritos do campo de batalha são corridas importantes com o potencial de mudar o controle do partido.,amazon translate,Dan
As economias podem ser reconstruídas para funcionar para todos.,amazon translate,Dan
As campanhas geralmente pedem doações para atingir as metas de arrecadação de fundos.,amazon translate,Dan
As campanhas políticas podem aceitar contribuições mensais recorrentes.,amazon translate,Dan
Hoje é o primeiro dia de votação antecipada no Texas.,amazon translate,Dan
Cada voto conta para o resultado de uma eleição.,amazon translate,Dan
Cuidados de saúde acessíveis são importantes para uma comunidade.,amazon translate,Dan
Uma economia forte é benéfica para os cidadãos de um país.,amazon translate,Dan
Votar é uma forma de participar do processo democrático.,amazon translate,Dan
"Um dia de trabalho honesto deve ser suficiente para colocar comida na mesa, um teto sobre sua cabeça e cobrir os custos dos medicamentos necessários.",amazon translate,Dan
As eleições são uma época em que os candidatos buscam doações para suas campanhas.,amazon translate,Dan
As pessoas costumam pedir a amigos e colegas que apoiem candidatos políticos em que acreditam.,amazon translate,Dan
Candidatos a cargos políticos geralmente têm um histórico de serviço público ou envolvimento comunitário.,amazon translate,Dan
As campanhas políticas nos Estados Unidos podem ser financiadas por doações de indivíduos.,amazon translate,Dan
As eleições podem ser competitivas e os resultados podem ser influenciados por mudanças na população e no sentimento dos eleitores.,amazon translate,Dan
As pessoas geralmente querem atingir suas metas de arrecadação de fundos.,amazon translate,Dan
Os prazos geralmente são definidos para metas específicas.,amazon translate,Dan
Doações equivalentes podem incentivar as pessoas a doar.,amazon translate,Dan
As campanhas políticas geralmente pedem contribuições.,amazon translate,Dan
Cancelar a inscrição é uma opção para pessoas que não querem receber e-mails.,amazon translate,Dan
"Se quisermos que nossos filhos aprendam, precisamos oferecer a eles o melhor ambiente para isso.",amazon translate,Dan
Trabalhar em conjunto pode levar a muitas coisas para as pessoas,amazon translate,Dan
É importante encontrar um terreno comum sobre questões que importam,amazon translate,Dan
Campanhas impulsionadas por pessoas contam com apoiadores de base.,amazon translate,Dan
As brigas partidárias se tornaram comuns na política de Washington.,amazon translate,Dan
Cuidados de saúde acessíveis são importantes para as pessoas.,amazon translate,Dan
Os medicamentos precisam ser acessíveis.,amazon translate,Dan
Proteger as pequenas empresas e a economia é uma prioridade para muitos.,amazon translate,Dan
"Seguir as diretrizes do CDC, como lavar as mãos e o distanciamento social, é importante para a saúde pública.",amazon translate,Dan
"É importante ter líderes que priorizem a saúde, a segurança e o bem-estar das famílias.",amazon translate,Dan
O acesso a cuidados de saúde acessíveis é uma preocupação para as pessoas.,amazon translate,Dan
"Seguir as diretrizes das autoridades de saúde, como o CDC, pode ajudar a manter as pessoas seguras e saudáveis.",amazon translate,Dan
"Pessoas que trabalham em hospitais, lojas, entregam correspondência, prestam assistência e respondem a emergências estão fazendo um trabalho importante em tempos difíceis.",amazon translate,Dan
Devemos apoiar aqueles que estão cuidando de nós em tempos sem precedentes.,amazon translate,Dan
É importante trabalhar em conjunto para obter bons resultados hoje e no futuro.,amazon translate,Dan
O planejamento adequado evita um desempenho ruim.,amazon translate,Dan
A mudança de atividades on-line permite a oportunidade de se conectar com mais pessoas.,amazon translate,Dan
"As pessoas geralmente querem ou precisam de cuidados, comida e abrigo depois de perderem suas casas em um desastre.",amazon translate,Dan
As pessoas geralmente não querem receber alimentos infectados com vermes.,amazon translate,Dan
"Normalmente, não se contrataria alguém sem experiência para construir uma casa.",amazon translate,Dan
Milhares de pequenas empresas fecharam devido a bloqueios.,amazon translate,Dan
A perda de empregos pode afetar centenas de milhares de famílias.,amazon translate,Dan
Perder o emprego pode fazer com que as famílias tenham dificuldades financeiras.,amazon translate,Dan
Os líderes são responsabilizados por suas decisões e políticas.,amazon translate,Dan
Cada voto é importante.,amazon translate,Dan
As pessoas têm empresas e residências.,amazon translate,Dan
As pessoas boas precisam ser protegidas.,amazon translate,Dan
É preciso haver lei e ordem.,amazon translate,Dan
As pessoas têm o direito de se reunir e protestar pacificamente.,amazon translate,Dan
Abordagens estratégicas podem ajudar a superar desafios.,amazon translate,Dan
As atividades on-line permitem a oportunidade de se conectar com mais pessoas.,amazon translate,Dan
As campanhas exigem recursos para operar.,amazon translate,Dan
Há um momento certo para tudo,amazon translate,Dan
