statement,elicitation,committer
"У занятой пчелы нет времени на печали, что подчеркивает пользу того, чтобы оставаться занятой делами, приносящими удовлетворение.",microsoft azure text translation,Dan
"В здоровом теле – здоровый дух, поэтому важна как умственная, так и физическая подготовка.",microsoft azure text translation,Dan
"Здоровый дух в здоровом теле, что говорит о важности как умственной, так и физической формы.",microsoft azure text translation,Dan
"Путешествие в тысячу миль начинается с одного шага, поэтому начните свое фитнес-путешествие уже сегодня.",microsoft azure text translation,Dan
"Небольшой прогресс каждый день приводит к большим результатам, подчеркивая важность постоянства в здоровье и физической форме.",microsoft azure text translation,Dan
"Небольшой прогресс каждый день приводит к большим результатам, подчеркивая важность ежедневных усилий для здоровья и фитнеса.",microsoft azure text translation,Dan
"Лучше один раз увидеть, чем сто раз услышать, подчеркивая глубокое влияние изобразительного искусства.",microsoft azure text translation,Dan
"Лучше один раз увидеть, чем сто раз услышать, поэтому изображения могут глубоко передать смысл.",microsoft azure text translation,Dan
"Прилив поднимает все лодки, предполагая, что социальные улучшения приносят пользу всем.",microsoft azure text translation,Dan
"На катящемся камне не скапливается мох, поэтому частое перемещение может предотвратить застой.",microsoft azure text translation,Dan
"На катящемся камне не растет мох, что говорит о том, что те, кто часто переезжает, избегают застоя.",microsoft azure text translation,Dan
"Своевременный стежок спасает девятерых, поэтому своевременное решение небольших проблем со здоровьем может предотвратить более серьезные проблемы.",microsoft azure text translation,Dan
"Вовремя сделанный стежок спасает девятерых, поэтому упреждающие меры полезны.",microsoft azure text translation,Dan
"Своевременный стежок спасает девять человек, что говорит о том, что раннее решение проблем предотвращает более серьезные проблемы.",microsoft azure text translation,Dan
"Кастрюля, за которой следят, никогда не закипает, поэтому лучше запастись терпением.",microsoft azure text translation,Dan
"Кастрюля, за которой наблюдают, никогда не кипит, что говорит о том, что чрезмерная сосредоточенность на задаче может заставить ее казаться длиннее.",microsoft azure text translation,Dan
"Действия определяют вас, потому что люди часто судят о вас по тому, что вы делаете, а не по тому, что вы говорите.",microsoft azure text translation,Dan
"Действия говорят громче, чем слова, в формировании исторических событий и их воздействии.",microsoft azure text translation,Dan
"Действия говорят громче, чем слова, когда дело доходит до демонстрации приверженности.",microsoft azure text translation,Dan
"Действия говорят громче, чем слова, так как поведение часто раскрывает истинные намерения лучше, чем утверждения.",microsoft azure text translation,Dan
"Действия говорят громче, чем слова, подчеркивая влияние поведения на формирование социальных норм.",microsoft azure text translation,Dan
"Действия говорят громче, чем слова, указывая на то, что поведение дает более достоверную информацию, чем словесные утверждения.",microsoft azure text translation,Dan
"Действия говорят громче слов, указывая на то, что поведение раскрывает истинные намерения и ценности.",microsoft azure text translation,Dan
"Действия говорят громче слов, указывая на то, что поведение раскрывает истинные намерения.",microsoft azure text translation,Dan
"Действия говорят громче слов, отражая ваш истинный характер и намерения.",microsoft azure text translation,Dan
"Действия говорят громче, чем слова, поэтому то, что вы делаете, часто имеет большее значение, чем то, что вы говорите.",microsoft azure text translation,Dan
"Действия говорят громче слов, предполагая, что поведение раскрывает истинный характер и намерения.",microsoft azure text translation,Dan
"Приспосабливайтесь или погибните, подчеркивая необходимость идти в ногу с технологическим прогрессом.",microsoft azure text translation,Dan
"Все дороги ведут в Рим, указывая множество путей достижения общей цели.",microsoft azure text translation,Dan
"Все дороги ведут в Рим, а это значит, что к общей цели может привести множество путей.",microsoft azure text translation,Dan
"Все в меру, подчеркивая важность баланса в жизни.",microsoft azure text translation,Dan
"Работа и отсутствие развлечений делают Джека скучным мальчиком, подчеркивая необходимость баланса между работой и отдыхом.",microsoft azure text translation,Dan
"Вся работа и отсутствие игр делают Джека скучным мальчиком, поэтому баланс важен в повседневных делах.",microsoft azure text translation,Dan
"Вся работа и отсутствие развлечений делают Джека скучным мальчиком, поэтому балансируйте между работой и отдыхом для полноценной жизни.",microsoft azure text translation,Dan
"Одно яблоко в день избавляет врача от посещения, подчеркивая важность здорового питания.",microsoft azure text translation,Dan
"Унция профилактики стоит фунта лечения, что подчеркивает ценность упреждающих мер.",microsoft azure text translation,Dan
"Унция профилактики стоит фунта лечения, что подчеркивает ценность принятия мер предосторожности.",microsoft azure text translation,Dan
"Искусство и культура обогащают жизнь, открывая новые перспективы и вдохновляя на личностный рост.",microsoft azure text translation,Dan
"Искусство оживляет цвет, демонстрируя его способность улучшать и обогащать наш опыт.",microsoft azure text translation,Dan
"Искусство объединяет людей, способствуя обмену опытом и взаимопониманию.",microsoft azure text translation,Dan
"Искусство способно преобразовывать общество, вдохновляя на перемены и бросая вызов нормам.",microsoft azure text translation,Dan
"Искусство имитирует жизнь, улавливая суть человеческого опыта.",microsoft azure text translation,Dan
"Искусство имитирует жизнь, отражая реальность и переживания человеческого состояния.",microsoft azure text translation,Dan
"Искусство – это зеркало общества, отражающее культурные ценности и проблемы.",microsoft azure text translation,Dan
"Искусство является отражением общества, раскрывая культурные ценности и социальные проблемы.",microsoft azure text translation,Dan
