statement,elicitation,committer
Las armas de guerra no deben estar en nuestras calles ni en nuestras escuelas.,amazon translate,Dan
Las pistolas fantasma son especialmente peligrosas porque los escáneres pueden pasar desapercibidas.,amazon translate,Dan
Limitar la capacidad de los cargadores puede salvar vidas.,amazon translate,Dan
Los síntomas del coronavirus pueden aparecer entre 2 y 14 días después de la exposición.,amazon translate,Dan
"Los síntomas comunes del coronavirus incluyen fiebre, tos y falta de aliento.",amazon translate,Dan
Lavarse las manos con frecuencia puede ayudar a prevenir la propagación de enfermedades.,amazon translate,Dan
Toser en el codo es una buena práctica para prevenir la propagación de gérmenes.,amazon translate,Dan
Evitar tocarse la cara puede ayudar a reducir el riesgo de infección.,amazon translate,Dan
Reemplazar los apretones de manos con saludos sin contacto puede reducir la propagación de enfermedades.,amazon translate,Dan
Ahora no es momento de entrar en pánico. Es el momento de la cautela y el sentido común.,amazon translate,Dan
"Debemos estar atentos para evitar el contacto humano directo, ya que las personas con síntomas pueden no saber que están infectadas.",amazon translate,Dan
Debemos asegurarnos de lavarnos las manos y evitar el contacto con la cara.,amazon translate,Dan
"Los síntomas incluyen fiebre, tos y falta de aliento.",amazon translate,Dan
"Si cree que tiene el virus, póngase en cuarentena y siga las recomendaciones de los CDC.",amazon translate,Dan
Se exige a las personas que se queden en casa para frenar la propagación del coronavirus.,amazon translate,Dan
Nuestros trabajadores están siendo despedidos y nuestras pequeñas empresas están cerrando debido a la pandemia.,amazon translate,Dan
Los profesionales médicos están en primera línea para combatir la pandemia.,amazon translate,Dan
Las personas generalmente se comunican con los votantes a través de visitas puerta a puerta y llamadas telefónicas durante las campañas electorales.,amazon translate,Dan
Las campañas políticas suelen solicitar donaciones para financiar sus actividades.,amazon translate,Dan
Las campañas políticas utilizan las donaciones para hacer llamadas telefónicas y tocar puertas para obtener el apoyo de los votantes.,amazon translate,Dan
Las campañas políticas suelen afirmar que su candidato representa ciertos valores.,amazon translate,Dan
Las campañas políticas pueden acusar a los opositores de no estar en contacto con el electorado local.,amazon translate,Dan
Toser en el codo puede ayudar a prevenir la propagación de gérmenes.,amazon translate,Dan
Evite tocarse la cara para reducir el riesgo de infección.,amazon translate,Dan
Las personas mayores corren un mayor riesgo de desarrollar complicaciones a causa del coronavirus.,amazon translate,Dan
La autocuarentena puede ayudar a proteger a otras personas si sientes que tienes el virus.,amazon translate,Dan
Las personas no deberían tener que elegir entre su derecho al voto y su salud.,amazon translate,Dan
