statement,elicitation,committer
1 加 1 等于 2。,Amazon Translate,Amir
5 明显大于 1。,Amazon Translate,Amir
为了保持健康，需要均衡饮食和定期运动。,Amazon Translate,Amir
球是圆的。,Amazon Translate,Amir
旋转警棍的人不想手指骨折。,Amazon Translate,Amir
电池不能无限期地提供电力。,Amazon Translate,Amir
通常没有人想要账单。,Amazon Translate,Amir
生日可能会激发某人烤蛋糕的灵感。,Amazon Translate,Amir
生日可以激励某人为亲人购买礼物。,Amazon Translate,Amir
基督徒通常在名为教堂的建筑物里礼拜。,Amazon Translate,Amir
猫通常不喜欢洗澡。,Amazon Translate,Amir
猫不喜欢拉尾巴。,Amazon Translate,Amir
猫不喜欢被淋湿。,Amazon Translate,Amir
猫不喜欢被淋湿。,Amazon Translate,Amir
猫是猫科动物的一种。,Amazon Translate,Amir
名人是指一生都在努力工作以获得知名度然后经常戴墨镜以避免被认出的人。,Amazon Translate,Amir
孩子不会嘲笑妈妈的丑陋。,Amazon Translate,Amir
圆是圆的。,Amazon Translate,Amir
按下计算机的电源按钮可以开机。,Amazon Translate,Amir
计算机病毒是非活的。,Amazon Translate,Amir
久坐不动的人应该养成促进身体健康和体能的生活方式。,Amazon Translate,Amir
犯罪通常会促使审判。,Amazon Translate,Amir
失聪的丈夫和盲目的妻子通常被认为是一对和谐的夫妻。,Amazon Translate,Amir
在民主国家，两只狼和一只小羊羔可能会投票决定晚餐吃什么。但是，在立宪共和国中，一只装备精良的羔羊有能力参加投票。,Amazon Translate,Amir
如果一个人想分享知识，他们可以选择教别人。,Amazon Translate,Amir
不同的语言为生活提供了不同的视角。,Amazon Translate,Amir
医生和农民比单纯的医生拥有更多的综合知识。,Amazon Translate,Amir
狗不想要跳蚤。,Amazon Translate,Amir
狂热分子是指思维根深蒂固且经常避免改变话题的人。,Amazon Translate,Amir
有些人说出自己的想法，而另一些人则在说话之前不思考。,Amazon Translate,Amir
一些恶习会掩盖许多美德。,Amazon Translate,Amir
傻瓜干涉他人的事务，而不是专注于自己的事务。,Amazon Translate,Amir
不应禁止水力压裂法。,Amazon Translate,Amir
一些大学新生可能会考虑退学。,Amazon Translate,Amir
膀胱充满可能会促使某人小便。,Amazon Translate,Amir
园丁的狗既不吃白菜，也不允许其他人这样做。,Amazon Translate,Amir
同性恋恐惧症对同性恋者来说是不可取的。,Amazon Translate,Amir
大众观点不一定有效或准确。同样，它的受欢迎程度并不认为它无效。,Amazon Translate,Amir
目标应该带来挑战，但也应该激发兴奋感。,Amazon Translate,Amir
根据医生的说法，开怀大笑和充足的睡眠通常是最好的补救措施。,Amazon Translate,Amir
成功的物流走廊应具有良好的供水、铁路、高速公路和庞大的潜在客户群。,Amazon Translate,Amir
盲人妻子和聋哑丈夫之间可以有美好的婚姻。,Amazon Translate,Amir
健康爱好者和健身狂热者往往低估了睡个好觉。,Amazon Translate,Amir
定期运动是保持健康的好方法。,Amazon Translate,Amir
一粒沙子非常小。,Amazon Translate,Amir
一个好的老板不会要求员工在没有补偿的情况下加班。,Amazon Translate,Amir
善于交际的人通常不喜欢孤独。,Amazon Translate,Amir
幸福的婚姻就像是一场漫长、永无止境的对话。,Amazon Translate,Amir
一个人无法说服一颗心去爱，就像无法说服胃消化食物一样。,Amazon Translate,Amir
六边形总是有六个边。,Amazon Translate,Amir
隐藏的连接比显而易见的联系更强大。,Amazon Translate,Amir
人类必须将信息转化为智力或知识。我们往往会忘记没有计算机会问新问题。,Amazon Translate,Amir
丈夫是一个告诉你什么时候涂了太多口红的人。,Amazon Translate,Amir
除非付出代价，否则律师的意见毫无价值。,Amazon Translate,Amir
休闲生活是一个没有王国需要的精心生活的王国。,Amazon Translate,Amir
一颗充满爱心的心维持着一个家庭，一颗可恨的心摧毁了家庭。,Amazon Translate,Amir
较低的COVID阳性率应允许放松限制。,Amazon Translate,Amir
一个男人在结婚后的第二天发现自己大了七岁。,Amazon Translate,Amir
一个人有一百块钱你留给他两块钱那是减法。,Amazon Translate,Amir
一个恋爱中的男人直到结婚才完整。然后他就完成了。,Amazon Translate,Amir
如果一个人早上起床，晚上上床睡觉，中间做自己想做的事，那么他就是成功的。,Amazon Translate,Amir
一个人只要在寻找东西就不会老。,Amazon Translate,Amir
一个男人最爱他的甜心，最爱他的妻子，但最爱他的母亲。,Amazon Translate,Amir
男人应该比妻子更高、更年长、更重、更丑陋、更嘶弱。,Amazon Translate,Amir
一个向伟人致敬的人为自己的伟大铺平了道路。,Amazon Translate,Amir
没有腿的人无法逃跑。,Amazon Translate,Amir
一个没有交易的人就像一棵没有果实的树。,Amazon Translate,Amir
一个人喝醉后，他的真实性格就会显现出来。,Amazon Translate,Amir
一个人的真实秘密对自己来说比对他人更隐秘。,Amazon Translate,Amir
一个国家可能在一天之内失去自由，一个世纪后不会错过这些自由。,Amazon Translate,Amir
对信息的需求会让你想上网。,Amazon Translate,Amir
对金钱的需求会让你想谋生。,Amazon Translate,Amir
一根针很锋利。,Amazon Translate,Amir
昵称是魔鬼可以向人扔的最坚硬的石头。,Amazon Translate,Amir
加到另一个数字的数值通常高于这两个数字的加法。,Amazon Translate,Amir
一加一等于十一。,Amazon Translate,Amir
善良的一部分在于爱人超出他们应得的程度。,Amazon Translate,Amir
一个人不想受到限制。,Amazon Translate,Amir
一个人不想要一份无聊的工作。,Amazon Translate,Amir
