statement,elicitation,committer
1 زائد 1 يساوي 2.,Amazon Translate,Amir
5 أكبر بكثير من 1.,Amazon Translate,Amir
للحفاظ على صحة جيدة، يحتاج المرء إلى نظام غذائي متوازن وممارسة التمارين الرياضية بانتظام.,Amazon Translate,Amir
الكرة مستديرة.,Amazon Translate,Amir
لن يرغب جهاز تدوير العصا في أن يعاني من كسر في إصبعه.,Amazon Translate,Amir
لا يمكن للبطارية توفير الطاقة إلى أجل غير مسمى.,Amazon Translate,Amir
لا أحد يريد عادة فاتورة.,Amazon Translate,Amir
قد يلهم عيد ميلاد شخصًا ما لخبز كعكة.,Amazon Translate,Amir
يمكن لعيد الميلاد أن يحفز شخصًا ما على شراء هدية لأحد أفراد أسرته.,Amazon Translate,Amir
عادة ما يعبد المسيحيون في مبنى يسمى الكنيسة.,Amazon Translate,Amir
عادة ما تكره القطة الاستحمام.,Amazon Translate,Amir
القطة لا تقدر سحب ذيلها.,Amazon Translate,Amir
القطة لا تحب أن تكون مبللة.,Amazon Translate,Amir
تفضل القطة عدم التبلل.,Amazon Translate,Amir
القطة هي نوع من القطط.,Amazon Translate,Amir
المشاهير هم الشخص الذي يعمل بجد طوال حياته ليصبح معروفًا ثم غالبًا ما يرتدي النظارات الشمسية لتجنب التعرف عليه.,Amazon Translate,Amir
لن يضحك الطفل على قبح أمه.,Amazon Translate,Amir
الدائرة مستديرة.,Amazon Translate,Amir
يمكن تشغيل الكمبيوتر بالضغط على زر الطاقة الخاص به.,Amazon Translate,Amir
فيروس الكمبيوتر غير حي.,Amazon Translate,Amir
يجب أن يطور مدمن تلفاز أسلوب حياة يعزز الصحة الجيدة واللياقة البدنية.,Amazon Translate,Amir
عادة ما تؤدي الجريمة إلى المحاكمة.,Amazon Translate,Amir
غالبًا ما يُعتبر الزوج الصم والزوجة العمياء زوجين متناغمين.,Amazon Translate,Amir
في الديمقراطية، قد يصوت ذئبان وحملان صغير على ما يجب تناوله على العشاء. ومع ذلك، في جمهورية دستورية، يتمتع الحمل المسلح جيدًا بالقدرة على التنافس في التصويت.,Amazon Translate,Amir
إذا رغب المرء في مشاركة المعرفة، فقد يختار تعليم الآخرين.,Amazon Translate,Amir
تقدم لغة مختلفة منظورًا مختلفًا للحياة.,Amazon Translate,Amir
