statement,elicitation,committer
Военному оружию не место на улицах и в школах.,amazon translate,Dan
"Пистолеты-призраки особенно опасны, потому что они могут остаться незамеченными сканерами.",amazon translate,Dan
Ограничение емкости магазина может спасти жизни.,amazon translate,Dan
Симптомы коронавируса могут появиться через 2—14 дней после заражения.,amazon translate,Dan
"Общие симптомы коронавируса включают жар, кашель и одышку.",amazon translate,Dan
Частое мытье рук может помочь предотвратить распространение заболеваний.,amazon translate,Dan
Кашель в локоть — хорошая практика для предотвращения распространения микробов.,amazon translate,Dan
"Избегайте прикосновений к лицу, чтобы снизить риск заражения.",amazon translate,Dan
Замена рукопожатий бесконтактными приветствиями может снизить распространение заболеваний.,amazon translate,Dan
Сейчас не время для паники. Настало время осторожности и здравого смысла.,amazon translate,Dan
"Мы должны проявлять бдительность и избегать прямого контакта с людьми, поскольку люди с симптомами могут не знать, что они инфицированы.",amazon translate,Dan
Мы должны обязательно мыть руки и избегать контакта с лицом.,amazon translate,Dan
"Симптомы включают жар, кашель и одышку.",amazon translate,Dan
"Если вы считаете, что у вас есть вирус, соблюдайте карантин и следуйте рекомендациям CDC.",amazon translate,Dan
"Людям приходится оставаться дома, чтобы замедлить распространение коронавируса.",amazon translate,Dan
"Из-за пандемии наших работников увольняют, а малые предприятия закрываются.",amazon translate,Dan
Медицинские работники находятся на переднем крае борьбы с пандемией.,amazon translate,Dan
"Люди обычно общаются с избирателями, посещая их от двери до двери и по телефону во время избирательных кампаний.",amazon translate,Dan
Политические кампании часто запрашивают пожертвования для финансирования своей деятельности.,amazon translate,Dan
"Политические кампании используют пожертвования для телефонных звонков и стучания в двери, чтобы заручиться поддержкой избирателей.",amazon translate,Dan
"Политические кампании часто заявляют, что их кандидат представляет определенные ценности.",amazon translate,Dan
"Политические кампании могут обвинить оппонентов в том, что они потеряли связь с местным электоратом.",amazon translate,Dan
Кашель в локте может помочь предотвратить распространение микробов.,amazon translate,Dan
"Не прикасайтесь к лицу, чтобы снизить риск заражения.",amazon translate,Dan
"Пожилые люди подвержены более высокому риску развития осложнений, вызванных коронавирусом.",amazon translate,Dan
"Самокарантин поможет защитить других людей, если вы чувствуете, что заразились вирусом.",amazon translate,Dan
Людям не следует выбирать между избирательным правом и здоровьем.,amazon translate,Dan
Пандемия может лишить работы многих людей.,amazon translate,Dan
Для многих американцев аренда является регулярным расходом.,amazon translate,Dan
Во время пандемии возвращаться на работу опасно.,amazon translate,Dan
"Выселение сопряжено с риском, когда люди не могут платить за аренду.",amazon translate,Dan
Финансирование пожарных считается здравым смыслом.,amazon translate,Dan
"Люди должны голосовать, чтобы повлиять на результаты выборов.",amazon translate,Dan
Здравоохранение вызывает озабоченность у многих избирателей.,amazon translate,Dan
Инвестиции в образование являются приоритетом для некоторых политических кандидатов.,amazon translate,Dan
Гражданские права занимают важное место в политических кампаниях.,amazon translate,Dan
Существовавшие ранее заболевания являются фактором при обсуждении политики в области здравоохранения.,amazon translate,Dan
