statement,elicitation,committer
La mayoría de la gente considera que cualquier representación de sus profetas religiosos es respetuosa.,microsoft azure text translation,Dan
Hay poca evidencia de que recortar el impuesto sobre la renta u otros impuestos cree empleos o atraiga negocios.,microsoft azure text translation,Dan
El romance no se encuentra entre las razones humanitarias por las que Israel permite a los palestinos viajar de Gaza a Cisjordania.,microsoft azure text translation,Dan
El dinero es oxígeno para el terrorismo.,microsoft azure text translation,Dan
Demasiado poder en manos de un solo hombre puede conducir a la catástrofe.,microsoft azure text translation,Dan
La repulsión nacional ayudó al presidente Lyndon B. Johnson a impulsar la Ley de Derecho al Voto en el Congreso en un plazo de cinco meses.,microsoft azure text translation,Dan
Los políticos a menudo adaptan su discurso y apariencia para conectarse con diferentes audiencias.,microsoft azure text translation,Dan
Las aerolíneas son responsables en casos de muerte o lesiones accidentales en vuelos internacionales.,microsoft azure text translation,Dan
La perforación no autorizada de una línea de gas es peligrosa.,microsoft azure text translation,Dan
Es posible que las personas con Alzheimer grave no recuerden los nombres de sus familiares.,microsoft azure text translation,Dan
"Por lo general, las personas necesitan dormir para funcionar.",microsoft azure text translation,Dan
Robar código confidencial de comercio informático de un banco es ilegal.,microsoft azure text translation,Dan
Las aves muertas pueden ser un signo de un ambiente tóxico.,microsoft azure text translation,Dan
El uso de cinturones de seguridad puede evitar que los ocupantes salgan despedidos en un accidente automovilístico.,microsoft azure text translation,Dan
El futuro del deporte está en las mujeres.,microsoft azure text translation,Dan
Los ex legisladores a menudo se convierten en cabilderos después de dejar el cargo.,microsoft azure text translation,Dan
Todos deberíamos querer garantizar que todos los votantes con derecho a voto puedan ejercer su derecho al voto y que su voto sea contado.,microsoft azure text translation,Dan
"Por lo general, la gente espera que su gobierno equilibre la seguridad nacional y las libertades civiles.",microsoft azure text translation,Dan
Los contribuyentes deberían haber recibido una compensación sustancial por el riesgo que asumieron.,microsoft azure text translation,Dan
La violencia armada es un tema divisivo en la campaña presidencial.,microsoft azure text translation,Dan
"Mantener a los perros con correa y alimentar a las mascotas solo en el interior son medidas de sentido común para evitar conflictos con la vida silvestre, como los coyotes.",microsoft azure text translation,Dan
"Por lo general, la gente prefiere votar por candidatos que creen que son honestos y que tienen en cuenta los mejores intereses del país.",microsoft azure text translation,Dan
