statement,elicitation,committer
ほとんどの人は、宗教的な預言者の描写は敬意を払っていると考えています。,microsoft azure text translation,Dan
所得税やその他の税金の引き下げが雇用を創出したり、ビジネスを誘致したりするという証拠はほとんどありません。,microsoft azure text translation,Dan
ロマンスは、イスラエルがパレスチナ人がガザからヨルダン川西岸地区への移動を許す人道的理由の一つではない。,microsoft azure text translation,Dan
お金はテロリズムの酸素です。,microsoft azure text translation,Dan
一人の人間の手に力を持ちすぎると、大惨事につながる可能性があります。,microsoft azure text translation,Dan
国民の嫌悪感は、リンドン・B・ジョンソン大統領が投票権法を5ヶ月以内に議会で通過させるのを助けた。,microsoft azure text translation,Dan
政治家は、さまざまな聴衆とつながるために、スピーチや外見を調整することがよくあります。,microsoft azure text translation,Dan
国際線で偶発的な死亡または負傷が発生した場合、航空会社は責任を負います。,microsoft azure text translation,Dan
ガス管の不正な盗聴は危険です。,microsoft azure text translation,Dan
重度のアルツハイマー病の人は、家族の名前を覚えていないかもしれません。,microsoft azure text translation,Dan
一般的に、人は機能するために睡眠を必要とします。,microsoft azure text translation,Dan
銀行から機密のコンピューター取引コードを盗むことは違法です。,microsoft azure text translation,Dan
鳥の死骸は、有毒な環境の兆候である可能性があります。,microsoft azure text translation,Dan
シートベルトを着用することで、自動車事故で乗員が排出されるのを防ぐことができます。,microsoft azure text translation,Dan
スポーツの未来は女性にかかっています。,microsoft azure text translation,Dan
元議員は、退任後にロビイストになることが多い。,microsoft azure text translation,Dan
私たちは皆、すべての有権者が投票権を行使し、投票を数えられるようにしたいと願うべきです。,microsoft azure text translation,Dan
人々は一般的に、政府が国家安全保障と市民的自由のバランスをとることを期待しています。,microsoft azure text translation,Dan
納税者は、自らが負ったリスクに対して相当な補償を受けるべきであった。,microsoft azure text translation,Dan
銃による暴力は、大統領選挙戦で意見が分かれるトピックです。,microsoft azure text translation,Dan
犬をひもにつないでおくことや、ペットに餌をやることは屋内でのみ行うことは、コヨーテなどの野生動物との衝突を防ぐための常識的な対策です。,microsoft azure text translation,Dan
人々は一般的に、正直で、国の最善の利益を心から考えていると信じている候補者に投票することを好みます。,microsoft azure text translation,Dan
ほとんどの人は、性的指向に関係なく、敬意と尊厳を持って扱われるべきです。,microsoft azure text translation,Dan
人々はしばしば、成功者との地元のつながりを誇りに思っています。,microsoft azure text translation,Dan
銃暴力の専門家は、銃による暴力の傾向が明らかな人々をより標的にするために法律を変えることにますます関心を寄せています。,microsoft azure text translation,Dan
各国は、自国の安全保障を脅かす国際協定について、しばしば懸念を表明します。,microsoft azure text translation,Dan
証拠を隠滅すると、その人が有罪に見えることがあります。,microsoft azure text translation,Dan
米国では、エネルギー価格の下落や地方税制優遇措置などの要因により、製造コストの競争力が高まっています。,microsoft azure text translation,Dan
1965年の投票権法は、投票における人種差別を防ぐために制定されました。,microsoft azure text translation,Dan
有効な運転免許証なしで運転すると、罰金や法的問題が発生する可能性があります。,microsoft azure text translation,Dan
軍事同盟は血の同盟です。,microsoft azure text translation,Dan
国境は通常、近隣諸国の政府によって定義され、合意されます。,microsoft azure text translation,Dan
従業員は「質素倹約」を受け入れることが期待されています。,microsoft azure text translation,Dan
子供は自動小銃を発砲するべきではありません。,microsoft azure text translation,Dan
ゴリラは軍隊で生活しています。,microsoft azure text translation,Dan
雇用主は一般的に労働法を遵守し、労働者の権利を保護することが期待されています。,microsoft azure text translation,Dan
非武装の人びとが、たとえ悪事を疑われても、死んでしまってはならない。,microsoft azure text translation,Dan
教育は、自己啓発とキャリアの成功にとって重要です。,microsoft azure text translation,Dan
フィンガープリントは変更できません。,microsoft azure text translation,Dan
国際法に従った航行の自由は、世界貿易にとって重要である。,microsoft azure text translation,Dan
ほとんどの人は、お金を稼ぐこと以上のことに興味を持っています。,microsoft azure text translation,Dan
お腹を空かせたクマのゴミに対する熱意を弱める最も効果的な方法は、クマに強いゴミ箱を使用することです。,microsoft azure text translation,Dan
スキャンダルの匂いは、実際のスキャンダルよりもひどい場合があります。,microsoft azure text translation,Dan
人は間違いを犯した後、人生をより良いものに変えることができます。,microsoft azure text translation,Dan
ほとんどの人は、米国市民のみが米国の選挙で投票できるようにすべきであることに同意しています。,microsoft azure text translation,Dan
メディアが大衆の物語や認識を形成する上で重要な役割を果たすことは常識です。,microsoft azure text translation,Dan
国政選挙は人気勝負ではない。,microsoft azure text translation,Dan
人種、宗教、性的指向などの要因に基づく差別は、一般的に違法とされています。,microsoft azure text translation,Dan
モバイルデバイスの成長に伴い、セクスティングは最初に広く注目されたときよりもさらに普及しています。,microsoft azure text translation,Dan
暗記は、暗記した情報を暗唱することで実証できるスキルであると一般的に同意されています。,microsoft azure text translation,Dan
遺伝子組み換え動物は、販売して消費する前に規制当局の承認が必要です。,microsoft azure text translation,Dan
各陪審員は、自分の意見を述べる権利があります。,microsoft azure text translation,Dan
他人に危害を加えたい人が銃を手にするのは、そう簡単なことではありません。,microsoft azure text translation,Dan
橋は、水域にまたがり、さまざまなエリアをつなぐために一般的に使用されます。,microsoft azure text translation,Dan
銃は決して選択肢であってはならない。,microsoft azure text translation,Dan
箇条書きには名前がありません。,microsoft azure text translation,Dan
グリーンカード保持者には、終身労働許可証と居住権が与えられます。,microsoft azure text translation,Dan
政治家はしばしば、自分たちが守らない約束を自分たちの基地に立てる。,microsoft azure text translation,Dan
扇動的な有力者の台頭は、私たちの小さな惑星ではあまりにも一般的な現象です。,microsoft azure text translation,Dan
有権者は政党の候補者を決定する権利を有する。,microsoft azure text translation,Dan
学校にはバスルームとシャワーが分かれているのが常識です。,microsoft azure text translation,Dan
親が小さな子供と一緒に見知らぬ人をトイレに入れたくないのは常識です。,microsoft azure text translation,Dan
大人の大人の男性、見知らぬ人が、小さな女の子と一緒にトイレに一人でいるべきではないというのが基本的な常識です。,microsoft azure text translation,Dan
政治家は、選挙運動中にお互いの自暴自棄を非難し合うことがよくあります。,microsoft azure text translation,Dan
国民国家は、幸福と調和の真の基盤であり続ける。,microsoft azure text translation,Dan
知事は政治家候補者を推薦することができる。,microsoft azure text translation,Dan
すべての世代が自由を守るために立ち上がり、戦わなければなりません。,microsoft azure text translation,Dan
リーダーを注意深く見極めることが重要です。,microsoft azure text translation,Dan
偉大さは目に見えるものです。見ればわかる。,microsoft azure text translation,Dan
人は自分の経験について嘘をつくべきではありません。,microsoft azure text translation,Dan
アメリカンドリームは、そのために働くことをいとわないすべての人に開かれているべきです。,microsoft azure text translation,Dan
戦争兵器は、民間環境ではなく、戦闘で使用するように設計されています。,microsoft azure text translation,Dan
移民は特権であり、権利ではありません。,microsoft azure text translation,Dan
テロ攻撃は人命の損失につながる可能性があります。,microsoft azure text translation,Dan
性的指向を理由に他人を差別してはならない。,microsoft azure text translation,Dan
合衆国憲法で保障されているすべての権利が、国外の非アメリカ人に適用されるわけではありません。,microsoft azure text translation,Dan
人々が自分の国に情熱を持っているのは常識です。,microsoft azure text translation,Dan
移民は特権です。,microsoft azure text translation,Dan
犯罪者は法律に従わない。,microsoft azure text translation,Dan
人は一般的に正直さを重んじます。,microsoft azure text translation,Dan
リーダーには、国と国民の利益を第一に考えることが期待されています。,microsoft azure text translation,Dan
国全体を非難することは、国際的な緊張を高める可能性があります。,microsoft azure text translation,Dan
