statement,committer,elicitation
عادة ما يتم الاحتفاظ بالقطط كحيوانات أليفة منزلية.,Amir,Amazon Translate
ينتقل الضوء أسرع من الصوت.,Amir,Amazon Translate
يذوب السكر في الماء.,Amir,Amazon Translate
عادة ما تكون أيام الشتاء أكثر برودة من أيام الصيف.,Amir,Amazon Translate
تحتاج النباتات إلى ضوء الشمس لعملية التمثيل الضوئي.,Amir,Amazon Translate
معظم البالغين لديهم 32 أسنان.,Amir,Amazon Translate
يمكن صنع الكتب من الورق.,Amir,Amazon Translate
يتشكل المطر من بخار الماء المكثف.,Amir,Amazon Translate
تتطلب السيارات وقودًا للعمل.,Amir,Amazon Translate
يتم لعب الشطرنج على لوحة مربعة.,Amir,Amazon Translate
يصبح الخبز قديمًا عند تركه مكشوفًا.,Amir,Amazon Translate
يدور القمر حول الأرض.,Amir,Amazon Translate
يصدأ الحديد عند تعرضه للرطوبة.,Amir,Amazon Translate
العناكب لها ثمانية أرجل.,Amir,Amazon Translate
الفيلة هي أكبر الحيوانات البرية.,Amir,Amazon Translate
للمثلث ثلاثة أضلاع.,Amir,Amazon Translate
غالبًا ما يستخدم الحليب لصنع الجبن.,Amir,Amazon Translate
عادة ما تكون العملات المعدنية مصنوعة من المعدن.,Amir,Amazon Translate
تحافظ الثلاجات على برودة الطعام.,Amir,Amazon Translate
تسحب الجاذبية الأجسام نحو الأرض.,Amir,Amazon Translate
يتم ارتداء الجوارب على القدمين.,Amir,Amazon Translate
يجمع النحل الرحيق من الزهور.,Amir,Amazon Translate
تستخدم الأسماك الخياشيم للتنفس تحت الماء.,Amir,Amazon Translate
تنتج النار الحرارة والضوء.,Amir,Amazon Translate
السحب عبارة عن تراكمات مرئية لقطرات الماء.,Amir,Amazon Translate
يعتبر الماس من الأحجار الكريمة القيمة.,Amir,Amazon Translate
يمكن أن تندلع البراكين مع الحمم المنصهرة.,Amir,Amazon Translate
الأرز هو الغذاء الأساسي في العديد من البلدان.,Amir,Amazon Translate
الأمازون عبارة عن غابة مطيرة كبيرة.,Amir,Amazon Translate
تبني الطيور أعشاشًا لوضع البيض.,Amir,Amazon Translate
الأسبوع يتكون من سبعة أيام.,Amir,Amazon Translate
تنقل المكالمات الهاتفية الأصوات عبر المسافات.,Amir,Amazon Translate
يمكن إعادة تدوير البلاستيك في بعض المرافق.,Amir,Amazon Translate
ينمو التفاح على الأشجار.,Amir,Amazon Translate
تعود أصول الكنغر إلى أستراليا.,Amir,Amazon Translate
يمكن لطواحين الهواء توليد الكهرباء.,Amir,Amazon Translate
يصوت الناس في الانتخابات الديمقراطية.,Amir,Amazon Translate
تقوم المكتبات بإعارة الكتب للجمهور.,Amir,Amazon Translate
تسير القطارات على القضبان.,Amir,Amazon Translate
تحتوي معظم أقلام الرصاص على الجرافيت.,Amir,Amazon Translate
تلتقط الكاميرات الصور.,Amir,Amazon Translate
تُلعب كرة القدم بكرة بيضاوية.,Amir,Amazon Translate
يذوب الآيس كريم عند تعرضه للحرارة.,Amir,Amazon Translate
تعرض أجهزة التلفزيون صورًا متحركة.,Amir,Amazon Translate
تطير الطائرات باستخدام الأجنحة.,Amir,Amazon Translate
تنمو البطاطس تحت الأرض.,Amir,Amazon Translate
طعم السكر حلو لمعظم الناس.,Amir,Amazon Translate
أحذية تحمي قدميك.,Amir,Amazon Translate
الدلافين هي ثدييات وليست أسماك.,Amir,Amazon Translate
يتم استخدام المفاتيح لفتح الأبواب.,Amir,Amazon Translate
باريس هي عاصمة فرنسا.,Amir,Amazon Translate
تدور الأقمار الصناعية حول الكواكب في الفضاء.,Amir,Amazon Translate
تظل أشجار الصنوبر خضراء طوال العام.,Amir,Amazon Translate
تعيش قناديل البحر في المحيطات.,Amir,Amazon Translate
الصحراء صحراء شاسعة.,Amir,Amazon Translate
يؤدي انقطاع التيار الكهربائي إلى إيقاف تدفق الكهرباء.,Amir,Amazon Translate
تتجه زهور عباد الشمس نحو ضوء الشمس.,Amir,Amazon Translate
يقف تمثال الحرية في ميناء نيويورك.,Amir,Amazon Translate
تتشكل أقواس قزح عندما يمر الضوء عبر قطرات الماء.,Amir,Amazon Translate
يمكن لمعظم الضفادع القفز لمسافات طويلة.,Amir,Amazon Translate
تصطاد الذئاب في مجموعات.,Amir,Amazon Translate
السلاحف لها أصداف صلبة.,Amir,Amazon Translate
تنتج الزلازل عن تحول الصفائح التكتونية.,Amir,Amazon Translate
تخضع الفراشات للتحول.,Amir,Amazon Translate
الساعات تقيس الوقت.,Amir,Amazon Translate
الذهب له بريق معدني أصفر.,Amir,Amazon Translate
تُظهر البوصلة الاتجاهات الأساسية.,Amir,Amazon Translate
البوم طيور ليلية.,Amir,Amazon Translate
تطفو القوارب على الماء.,Amir,Amazon Translate
البيتزا هي طعام شعبي.,Amir,Amazon Translate
الزرافات لها أعناق طويلة.,Amir,Amazon Translate
توفر الشموع الضوء عند حرقها.,Amir,Amazon Translate
ينمو الخيزران بسرعة.,Amir,Amazon Translate
تُلعب كرة القدم بكرة مستديرة.,Amir,Amazon Translate
الفطر من الفطريات وليس النباتات.,Amir,Amazon Translate
تصدر أشعة الليزر أشعة مركزة من الضوء.,Amir,Amazon Translate
يقع سور الصين العظيم في الصين.,Amir,Amazon Translate
يلدغ البعوض ليتغذى على الدم.,Amir,Amazon Translate
البيض هو طعام الإفطار الشائع.,Amir,Amazon Translate
الخيول لها حوافر.,Amir,Amazon Translate
الصابون يزيل الأوساخ من الجلد.,Amir,Amazon Translate
تخضع العديد من الحشرات للتحول الكامل.,Amir,Amazon Translate
