statement,elicitation,committer
1 plus 1 equals 2.,original,original
5 is significantly larger than 1.,original,original
"To maintain good health, one needs a balanced diet and regular exercise.",original,original
A ball is round.,original,original
A baton twirler wouldn't want to suffer a broken finger.,original,original
A battery cannot provide power indefinitely.,original,original
No one usually wants a bill.,original,original
A birthday might inspire someone to bake a cake.,original,original
A birthday could motivate someone to purchase a gift for a loved one.,original,original
Christians typically worship in a building called a church.,original,original
A cat typically dislikes taking a bath.,original,original
A cat doesn't appreciate having its tail pulled.,original,original
A cat doesn't like to be wet.,original,original
A cat prefers not to get wet.,original,original
A cat is a species of feline.,original,original
A celebrity is a person who works hard all their life to become known then often wears sunglasses to avoid being recognized.,original,original
A child would not laugh at its mother's ugliness.,original,original
A circle is round.,original,original
A computer can be powered on by pressing its power button.,original,original
A computer virus is non-living.,original,original
A couch potato should develop a lifestyle that promotes good health and physical fitness.,original,original
A crime would usually prompt a trial.,original,original
A deaf husband and a blind wife are often considered a harmonious couple.,original,original
"In a democracy, two wolves and a small lamb may vote on what to have for dinner. However, in a constitutional republic, a well-armed lamb has the capacity to contest the vote.",original,original
"If one desires to share knowledge, they may choose to teach others.",original,original
A different language offers a different perspective on life.,original,original
A doctor along with a farmer has more combined knowledge than a doctor alone.,original,original
A dog does not desire fleas.,original,original
A fanatic is someone who is entrenched in their thinking and often avoids changing the subject.,original,original
Some speak their minds while others do not think before they speak.,original,original
A few vices can overshadow many virtues.,original,original
A fool interferes in others' affairs rather than focusing on their own.,original,original
A ban on fracking should not be imposed.,original,original
Some freshmen in college might consider dropping out.,original,original
A full bladder may prompt someone to urinate.,original,original
A gardener's dog neither eats the cabbage nor allows anyone else to do so.,original,original
Homophobia is undesirable for a gay person.,original,original
"A popular opinion is not necessarily valid or accurate. Likewise, its popularity does not deem it invalid.",original,original
A goal should present a challenge but also invoke excitement.,original,original
"A good laugh and ample sleep are often the best remedies, according to doctors.",original,original
"A successful logistics corridor should have excellent access to water, rail, highways, and a large potential customer base.",original,original
A good marriage could be between a blind wife and a deaf husband.,original,original
Good night's sleep is often undervalued by health enthusiasts and fitness fanatics.,original,original
Engaging in regular exercise is a good method for maintaining health.,original,original
A grain of sand is extremely small.,original,original
A good boss wouldn't require employees to work overtime without compensation.,original,original
A sociable person typically does not enjoy solitude.,original,original
"A happy marriage feels like a long, never-ending conversation.",original,original
"One cannot persuade a heart to love, just as a stomach cannot be persuaded to digest food.",original,original
A hexagon always has six sides.,original,original
A hidden connection is stronger than an obvious one.,original,original
A human must turn information into intelligence or knowledge. We've tended to forget that no computer will ever ask a new question.,original,original
A husband is a guy who tells you when you've got on too much lipstick.,original,original
A lawyer's opinion is worth nothing until paid for.,original,original
A life of leisure is a kingdom with less care than a kingdom requires.,original,original
"A loving heart maintains a family, a hateful heart destroys it.",original,original
A low COVID positivity rate should allow for restrictions to be loosened.,original,original
A man finds himself seven years older the day after his marriage.,original,original
A man has one hundred dollars and you leave him with two. That's subtraction.,original,original
A man in love is not complete until he is married. Then he is finished.,original,original
A man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do.,original,original
A man is not old as long as he is seeking something.,original,original
"A man loves his sweetheart the most, his wife the best, but his mother the longest.",original,original
"A man should be taller, older, heavier, uglier, and hoarser than his wife.",original,original
A man who pays respect to the great paves the way for his own greatness.,original,original
A man with no legs cannot run.,original,original
A man without a trade is like a tree without fruit.,original,original
A man's true character comes out when he's drunk.,original,original
A man's true secrets are more secret to himself than they are to others.,original,original
A nation may lose its liberties in a day and not miss them in a century.,original,original
A need for information would make you want to go on the internet.,original,original
A need for money would make you want to earn a living.,original,original
A needle is sharp.,original,original
A nickname is the hardest stone that the devil can throw at a man.,original,original
A number raised to another number is generally higher than the addition of those two numbers.,original,original
A one and a one make an eleven.,original,original
A part of kindness consists in loving people more than they deserve.,original,original
A person does not want to be restricted.,original,original
A person doesn't want a boring job.,original,original
A person doesn't want a brain tumor.,original,original
A person doesn't want a broken finger.,original,original
A person doesn't want a broken heart.,original,original
A person doesn't want a computer virus.,original,original
A person doesn't want a fly in their soup.,original,original
A person doesn't want a hangnail.,original,original
A person doesn't want a heart attack.,original,original
A person doesn't want a low paying job.,original,original
A person doesn't want a slow internet connection.,original,original
A person doesn't want abuse.,original,original
A person doesn't want an aching back.,original,original
A person doesn't want an itch.,original,original
A person doesn't want an STD.,original,original
A person doesn't want annoyance.,original,original
A person doesn't want anxiety.,original,original
A person doesn't want bad food.,original,original
A person doesn't want boredom.,original,original
A person doesn't want deception.,original,original
A person doesn't want everything to be the same.,original,original
A person doesn't want to go to war.,original,original
A person doesn't want his computer to crash.,original,original
A person doesn't want to lose their job.,original,original
A person doesn't want open sores.,original,original
A person doesn't want schizophrenia.,original,original
A person doesn't want the truth.,original,original
A person doesn't want to be alienated.,original,original
A person doesn't want to be diseased.,original,original
A person doesn't want to be fearful.,original,original
A person doesn't want to be ill.,original,original
A person doesn't want to be in a traffic jam.,original,original
A person doesn't want to be in prison.,original,original
A person doesn't want to be punished.,original,original
A person doesn't want to be ridiculous.,original,original
A person doesn't want to be shameful.,original,original
A person doesn't want to break a leg.,original,original
A person doesn't want to crash his car.,original,original
A person doesn't want to die alone.,original,original
A person doesn't want to do something he isn't good at.,original,original
A person doesn't want to do the job over.,original,original
A person doesn't want to do what doesn't interest him.,original,original
A person doesn't want to fall out of love.,original,original
A person doesn't want to have no home.,original,original
A person doesn't want to hear bad news.,original,original
