statements,processed
Weapons of war do not belong on our streets and in our schools.,Processed Weapons of war do not belong on our streets and in our schools.
Ghost guns are especially dangerous because they can go undetected by scanners.,Processed Ghost guns are especially dangerous because they can go undetected by scanners.
Limiting magazine capacity can save lives.,Processed Limiting magazine capacity can save lives.
Symptoms of the coronavirus may appear between 2 and 14 days after exposure.,Processed Symptoms of the coronavirus may appear between 2 and 14 days after exposure.
"Common symptoms of the coronavirus include a fever, cough, and shortness of breath.","Processed Common symptoms of the coronavirus include a fever, cough, and shortness of breath."
Washing hands frequently can help prevent the spread of diseases.,Processed Washing hands frequently can help prevent the spread of diseases.
Coughing into your elbow is a good practice to prevent spreading germs.,Processed Coughing into your elbow is a good practice to prevent spreading germs.
Avoiding touching your face can help reduce the risk of infection.,Processed Avoiding touching your face can help reduce the risk of infection.
Replacing handshakes with non-contact greetings can reduce the spread of illnesses.,Processed Replacing handshakes with non-contact greetings can reduce the spread of illnesses.
Now is not a time for panic. It is a time for caution and common sense.,Processed Now is not a time for panic. It is a time for caution and common sense.
We need to be vigilant in avoiding direct human contact as those with symptoms may not know they are infected.,Processed We need to be vigilant in avoiding direct human contact as those with symptoms may not know they are infected.
We need to make sure we wash our hands and avoid contact with our face.,Processed We need to make sure we wash our hands and avoid contact with our face.
"Symptoms include fever, cough and shortness of breath.","Processed Symptoms include fever, cough and shortness of breath."
"If you think you have the virus, please self-quarantine and follow the CDC recommendations.","Processed If you think you have the virus, please self-quarantine and follow the CDC recommendations."
People are being required to stay home to slow the spread of the coronavirus.,Processed People are being required to stay home to slow the spread of the coronavirus.
Our workers are being laid off and our small businesses are closing due to the pandemic.,Processed Our workers are being laid off and our small businesses are closing due to the pandemic.
Medical professionals are on the front lines combating the pandemic.,Processed Medical professionals are on the front lines combating the pandemic.
People generally communicate with voters through door-to-door visits and phone calls during election campaigns.,Processed People generally communicate with voters through door-to-door visits and phone calls during election campaigns.
Political campaigns often request donations to fund their activities.,Processed Political campaigns often request donations to fund their activities.
Political campaigns use donations to make phone calls and knock on doors to gain voter support.,Processed Political campaigns use donations to make phone calls and knock on doors to gain voter support.
Political campaigns often claim that their candidate represents certain values.,Processed Political campaigns often claim that their candidate represents certain values.
Political campaigns may accuse opponents of being out of touch with the local electorate.,Processed Political campaigns may accuse opponents of being out of touch with the local electorate.
Washing your hands can help prevent the spread of disease.,Processed Washing your hands can help prevent the spread of disease.
Coughing into your elbow can help prevent the spread of germs.,Processed Coughing into your elbow can help prevent the spread of germs.
Avoid touching your face to reduce the risk of infection.,Processed Avoid touching your face to reduce the risk of infection.
Symptoms of the coronavirus may appear between 2 and 14 days after exposure.,Processed Symptoms of the coronavirus may appear between 2 and 14 days after exposure.
Elderly people are at higher risk for developing complications from the coronavirus.,Processed Elderly people are at higher risk for developing complications from the coronavirus.
Self-quarantine can help protect others if you feel like you have the virus.,Processed Self-quarantine can help protect others if you feel like you have the virus.
People shouldn't have to choose between their right to vote and their health.,Processed People shouldn't have to choose between their right to vote and their health.
A pandemic can put many people out of work.,Processed A pandemic can put many people out of work.
Rent is a regular expense for many Americans.,Processed Rent is a regular expense for many Americans.
It is dangerous to return to work during a pandemic.,Processed It is dangerous to return to work during a pandemic.
Eviction is a risk when people cannot pay their rent.,Processed Eviction is a risk when people cannot pay their rent.
Funding firefighters is considered common sense.,Processed Funding firefighters is considered common sense.
People need to vote to influence election outcomes.,Processed People need to vote to influence election outcomes.
Health care is a topic of concern for many voters.,Processed Health care is a topic of concern for many voters.
Educational investment is a priority for some political candidates.,Processed Educational investment is a priority for some political candidates.
Civil rights are a significant issue in political campaigns.,Processed Civil rights are a significant issue in political campaigns.
Pre-existing conditions are a factor in health care policy discussions.,Processed Pre-existing conditions are a factor in health care policy discussions.
Political campaigns often request donations to support their efforts.,Processed Political campaigns often request donations to support their efforts.
Elections can result in changes in political party dominance in a state.,Processed Elections can result in changes in political party dominance in a state.
People are experiencing financial and personal stress during the COVID-19 pandemic.,Processed People are experiencing financial and personal stress during the COVID-19 pandemic.
COVID-19 is a challenge that nations are working together to fight.,Processed COVID-19 is a challenge that nations are working together to fight.
Donations can help fund political campaigns.,Processed Donations can help fund political campaigns.
Campaigns use donations to reach out to voters and build volunteer networks.,Processed Campaigns use donations to reach out to voters and build volunteer networks.
"Lowering the cost of prescription drugs, addressing climate change, and fighting the gun lobby are considered common-sense solutions by some.","Processed Lowering the cost of prescription drugs, addressing climate change, and fighting the gun lobby are considered common-sense solutions by some."
Enormous financial and personal stress has been put on countless families during the COVID-19 pandemic.,Processed Enormous financial and personal stress has been put on countless families during the COVID-19 pandemic.
Meeting fundraising goals can inform the plans able to be executed in the coming months.,Processed Meeting fundraising goals can inform the plans able to be executed in the coming months.
Coming up short on fundraising goals can create a domino effect impacting future events.,Processed Coming up short on fundraising goals can create a domino effect impacting future events.
Elections analysts make predictions about the outcomes of political races.,Processed Elections analysts make predictions about the outcomes of political races.
Campaigns focus on addressing real issues facing their community.,Processed Campaigns focus on addressing real issues facing their community.
A broken healthcare system and economic crisis are current issues that communities face.,Processed A broken healthcare system and economic crisis are current issues that communities face.
"Lowering the cost of prescription drugs, addressing climate change, and bringing common-sense solutions are goals for some political campaigns.","Processed Lowering the cost of prescription drugs, addressing climate change, and bringing common-sense solutions are goals for some political campaigns."
People hope their loved ones are staying safe and healthy.,Processed People hope their loved ones are staying safe and healthy.
Enormous financial and personal stress has been put on countless families due to COVID-19.,Processed Enormous financial and personal stress has been put on countless families due to COVID-19.
Frontline responders are essential in the fight against COVID-19.,Processed Frontline responders are essential in the fight against COVID-19.
Grassroots support can influence political races.,Processed Grassroots support can influence political races.
"Healthcare access, economic crises, and common-sense solutions are important issues for voters.","Processed Healthcare access, economic crises, and common-sense solutions are important issues for voters."
Political races can be unpredictable and can change from favoring one party to being a toss-up.,Processed Political races can be unpredictable and can change from favoring one party to being a toss-up.
Families need leadership.,Processed Families need leadership.
