statement;Drop;hash;behavior;everyday;figure_of_speech;judgment;opinion;reasoning;statement_id;i_agree;i_agree_probability;others_agree;others_agree_probability;statement_r;awareness;consensus;commonsensicality;nlp_score
Barking up the wrong tree.;X;06dd904402;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;1450;yes;0.6791741775426602;yes;0.8519528572276666;Barking up the wrong tree.;0.8272213203149936;0.1284135435923549;0.3259239498361463;Barking up the wrong tree.
Every cloud has a silver lining;;1b9ca3eb76;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;665;yes;0.7772998771558414;yes;0.9579122877178378;Every cloud has a silver lining;0.8193875894380036;0.30758088748257884;0.5020238659182968;Every cloud has a silver lining
The writing is on the wall.;X;882e72d0eb;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;1622;no;0.9669140869409838;no;0.8807971083036654;The writing is on the wall.;0.9138830213626816;0.8720350583357304;0.8927138588853875;The writing is on the wall.
An army marches on its stomach.;X;a1f9018e49;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;454;yes;0.9998204720907787;yes;0.880797106164707;An army marches on its stomach.;0.8809766340739282;0.9992820172841957;0.9382665442600177;An army marches on its stomach.
Time heals all wounds;;d6d0a742db;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;704;no;0.9995121431230302;yes;0.9770226337064368;Time heals all wounds;0.9775104905834067;0.9980495245094503;0.9877266222643635;Time heals all wounds
Kill two birds with one stone.;X;bd998f2c1b;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;441;yes;0.9993736660394389;yes;0.9999339479140145;Kill two birds with one stone.;0.9994397181254244;0.9974962333346762;0.9984675028638546;Kill two birds with one stone.
Eye for an eye, a tooth for a tooth.;;e1dec4e6bb;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;622;no;0.9997965732678007;no;0.9999038975736387;Eye for an eye, a tooth for a tooth.;0.999892675694162;0.9991864586009442;0.9995395047760104;Eye for an eye, a tooth for a tooth.
Pen mightier than the sword.;;7a31de98c2;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;623;yes;0.9999952149063922;yes;0.999891103302753;Pen mightier than the sword.;0.9998958883963608;0.9999808597171573;0.9999383731541878;Pen mightier than the sword.
Keep one's chin up.;X;28a923beab;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;996;yes;0.9999898700125457;yes;0.9999251537826042;Keep one's chin up.;0.9999352837700585;0.9999594804606493;0.999947382042165;Keep one's chin up.
Let sleeping dogs lie;X;2421df2ad4;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;608;yes;0.9999974387186771;yes;0.9999987901351458;Let sleeping dogs lie;0.9999986485835313;0.999989754900949;0.9999942017323529;Let sleeping dogs lie
Rome wasn’t built in a day;;0933bcd064;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;671;yes;0.9999996533675849;yes;0.9999999468421384;Rome wasn’t built in a day;0.9999997065254465;0.9999986134708202;0.9999991599979839;Rome wasn’t built in a day
Travel broadens the mind.;;ab8c496d2a;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;1735;yes;0.9999998144608613;yes;0.9999996940979493;Travel broadens the mind.;0.999999879637088;0.9999992578435828;0.9999995687402871;Travel broadens the mind.
Look before you leap;;2f5e628157;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;694;yes;0.9999999317439614;yes;0.9999999748900066;Look before you leap;0.9999999568539548;0.9999997269758643;0.9999998419149029;Look before you leap
Learn to walk before you run.;;ceb378cb3d;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;630;yes;0.99999996775813;yes;0.9999999804443174;Learn to walk before you run.;0.9999999873138127;0.9999998710325243;0.9999999291731668;Learn to walk before you run.
Don't run with scissors.;;eac464863e;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;970;yes;0.9999999936511996;yes;0.9999999895325977;Don't run with scissors.;0.9999999958813981;0.9999999746047986;0.9999999852430983;Don't run with scissors.
Fish rots from the head down.;;5a73d90137;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;763;yes;0.5000000539594854;no;0.9953904313920879;Fish rots from the head down.;0.5046096225673975;1.1657341758564144e-14;7.669685016301656e-08;Fish rots from the head down.
