statement,Drop,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,statement_id,i_agree,i_agree_probability,others_agree,others_agree_probability,statement_r,awareness,consensus,commonsensicality,nlp_score
Barking up the wrong tree.,X,06dd904402,False,False,False,True,True,False,1450,yes,0.6791741775426602,yes,0.8519528572276666,Barking up the wrong tree.,0.8272213203149936,0.1284135435923549,0.3259239498361463,Barking up the wrong tree.
Every cloud has a silver lining,,1b9ca3eb76,False,False,False,True,True,False,665,yes,0.7772998771558414,yes,0.9579122877178378,Every cloud has a silver lining,0.8193875894380036,0.3075808874825788,0.5020238659182968,Every cloud has a silver lining
The writing is on the wall.,X,882e72d0eb,False,False,False,True,True,False,1622,no,0.9669140869409838,no,0.8807971083036654,The writing is on the wall.,0.9138830213626816,0.8720350583357304,0.8927138588853875,The writing is on the wall.
An army marches on its stomach.,X,a1f9018e49,False,False,False,True,True,False,454,yes,0.9998204720907788,yes,0.880797106164707,An army marches on its stomach.,0.8809766340739282,0.9992820172841956,0.9382665442600177,An army marches on its stomach.
Time heals all wounds,,d6d0a742db,False,False,False,True,True,False,704,no,0.9995121431230302,yes,0.9770226337064368,Time heals all wounds,0.9775104905834068,0.9980495245094504,0.9877266222643636,Time heals all wounds
Kill two birds with one stone.,X,bd998f2c1b,False,False,False,True,True,False,441,yes,0.9993736660394388,yes,0.9999339479140144,Kill two birds with one stone.,0.9994397181254244,0.9974962333346762,0.9984675028638546,Kill two birds with one stone.
"Eye for an eye, a tooth for a tooth.",,e1dec4e6bb,False,False,False,True,True,False,622,no,0.9997965732678008,no,0.9999038975736388,"Eye for an eye, a tooth for a tooth.",0.999892675694162,0.9991864586009442,0.9995395047760104,"Eye for an eye, a tooth for a tooth."
Pen mightier than the sword.,,7a31de98c2,False,False,False,True,True,False,623,yes,0.9999952149063922,yes,0.999891103302753,Pen mightier than the sword.,0.9998958883963608,0.9999808597171572,0.9999383731541878,Pen mightier than the sword.
Keep one's chin up.,X,28a923beab,False,False,False,True,True,False,996,yes,0.9999898700125456,yes,0.9999251537826042,Keep one's chin up.,0.9999352837700584,0.9999594804606492,0.999947382042165,Keep one's chin up.
Let sleeping dogs lie,X,2421df2ad4,False,False,False,True,True,False,608,yes,0.9999974387186772,yes,0.9999987901351458,Let sleeping dogs lie,0.9999986485835312,0.999989754900949,0.9999942017323528,Let sleeping dogs lie
