statement,drop,length,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,awareness,consensus,commonsensicality
Chemical reactions often release energy.,,40,2a4234b2cd,0,1,0,0,0,0,0.9998003,0.999985094,0.999892692
Earth has varied climates.,,26,e423a8f082,0,1,0,0,0,0,0.999999984,0.999999963,0.999999974
"In right-angled triangles, a^2 + b^2 = c^2.",,43,16f298d1a6,0,1,0,0,0,0,0.998675483,0.999997983,0.999336514
The Cartesian plane maps geometric locations,,47,9c31d89560,0,1,0,0,0,0,0.999999976,0.999999834,0.999999905
Grass feels soft underfoot.,,27,e67c0d7e89,0,1,0,0,0,0,0.999999171,0.999999047,0.999999109
The Manhattan Project created nuclear weapons.,,46,998c23b620,0,1,0,0,0,0,0.999999379,0.999999159,0.999999269
Trees produce oxygen.,,21,b8cf2acfb4,0,1,0,0,0,0,0.999999928,0.999999649,0.999999789
Lightning precedes thunder.,,27,009be1d577,0,1,0,0,0,0,0.999999503,0.999996231,0.999997867
E=mc^2 is Einstein's theory of relativity.,,42,c0ee2f7160,0,1,0,0,0,0,0.912227572,0.969920761,0.940631948
Taking vitamins supports health.,,32,fbff28e6d0,0,1,0,0,0,0,0.999996338,0.999978311,0.999987325
Pi (π) is approximately 3.14.,,29,670c3b69fb,0,1,0,0,0,0,0.999929928,0.999941045,0.999935486
Colosseums symbolize ancient civilizations.,,43,b42819b50b,0,1,0,0,0,0,0.995115233,0.979228532,0.987139923
Advances in medicine extend human life.,,39,58992c8a72,0,1,0,0,0,0,0.99995146,0.999988391,0.999969925
Nanotechnology has applications in medicine.,,44,a1a2394005,0,1,0,0,0,0,0.999942102,0.999998429,0.999970265
Nature tends to restore balance.,,32,1dcd41ed3b,0,1,0,0,0,0,0.99996515,0.999735809,0.999850473
Algorithmic logic drives computations.,,38,482e7c5f4a,0,1,0,1,0,0,0.651379333,0.999902801,0.807041523
Gothic cathedrals were architecturally innovative.,,50,c44236fc04,0,1,0,1,0,0,0.999971606,0.99985858,0.999915091
Fact-checking ensures accuracy.,,31,358d000232,0,1,0,1,0,0,0.999103689,0.996359119,0.99773046
Sleep restores mental clarity.,,30,363f6558e5,0,1,0,1,0,0,0.999999974,0.999999834,0.999999904
Regular physical exams detect issues early.,,43,92156c2ed8,0,1,0,1,0,0,0.999999867,0.999999953,0.99999991
Safety protocols prevent accidents.,,35,c83d697dc5,0,1,0,1,0,0,0.999999451,0.999997714,0.999998582
Iron clothes for a polished appearance.,,39,f8bf3c6d26,0,1,0,1,0,0,0.999991271,0.999999159,0.999995215
Precision medicine tailors treatment to individuals.,,52,7929aeda47,0,1,0,1,0,0,0.999090503,0.999993786,0.999542043
Shelves should be dusted regularly to maintain cleanliness.,,59,a1f4555f9d,0,1,0,1,0,0,0.999999976,0.999999759,0.999999868
Practicing tai chi promotes balance.,,36,7575d84521,0,1,0,1,0,0,0.999999221,0.999999345,0.999999283
Critical analysis refines models.,,33,0841d0712c,0,1,0,1,0,0,0.997220515,0.999914222,0.99856646
The Gutenberg Bible marked a printing milestone.,,48,a9a824783b,0,1,0,1,0,0,0.998506709,0.999968443,0.999237309
Structured analyses refine processes.,,37,a8eef07363,0,1,0,1,0,0,0.500335504,0.998659051,0.706869563
Graphic novels tell extended stories.,,37,5ff2d30825,0,1,0,1,0,0,0.999994777,0.999933195,0.999963986
Puzzles stimulate the brain.,,28,f14d54886b,0,1,0,1,0,0,0.999999858,0.99999892,0.999999389
Handwritten letters feel personal.,,34,9b62166734,0,1,0,1,1,0,0.9999997,0.999998613,0.999999157
Beauty is skin deep.,,20,38a6db596d,0,1,0,1,1,0,0.998634629,0.993208689,0.995917964
Stargazing can be awe-inspiring.,,32,f50cfe17dc,0,1,0,1,1,0,0.999999969,0.999999911,0.99999994
A hearty breakfast fuels your day.,,34,537c7fddc4,0,1,0,1,1,0,0.999978261,0.999989755,0.999984008
Trees whisper soothing sounds.,,30,e28e05135f,0,1,0,1,1,0,0.985418625,0.937386469,0.961102537
Plays explore complex narratives.,,33,4d5e06d955,0,1,0,1,1,0,0.99980958,0.999947972,0.999878774
Gardens can be therapeutic.,,27,be03393857,0,1,0,1,1,0,0.999999905,0.99999949,0.999999697
Online learning platforms democratize education.,,48,7ad5564f4b,0,1,0,1,1,0,0.998858027,0.99988986,0.99937381
Cycling keeps you young.,,24,757e0ecf17,0,1,0,1,1,0,0.867859117,0.495482903,0.655750985
Evening walks help to unwind.,,29,198839b42a,0,1,0,1,1,0,0.999999889,0.999999047,0.999999468
Portraits capture a person’s likeness.,,38,560d456154,0,1,0,1,1,0,0.999998837,0.999996674,0.999997755
Calligraphy turns writing into art.,,35,e4fc40e51e,0,1,0,1,1,0,0.999999022,0.999994516,0.999996769
The Industrial Revolution reshaped societies.,,45,9aa7026973,0,1,0,1,1,0,0.999999847,0.999999258,0.999999552
Ethical hacking safeguards systems.,,35,9def5f8fa6,0,1,0,1,1,0,0.999984801,0.999985094,0.999984948
Shamanic journeys often involve trance states.,,46,f7b05d6bd0,0,1,0,1,1,0,0.997822072,0.99998086,0.998900883
Clear logic disentangles problems.,,34,60a620f5f5,1,0,0,1,1,0,0.999998472,0.999954085,0.999976278
Legal systems uphold social order.,,34,fef5ec39f5,1,0,0,1,1,0,0.999999948,0.99999822,0.999999084
Unity is strength.,,18,4905fed739,1,0,0,1,1,0,0.99999974,0.99999822,0.99999898
Logical fallacies weaken arguments.,,35,ebaaa8f5d0,1,0,0,1,1,0,0.99999948,0.99999949,0.999999485
Hypotheses must be testable.,,28,14d3c81613,1,0,0,1,1,0,0.999937675,0.999985094,0.999961384
Thorough analysis prevents missteps.,,36,729dfa96a4,1,0,0,1,1,0,0.999988203,0.999947972,0.999968087
The Enlightenment era promoted reason.,,38,dde9089482,1,0,0,1,1,0,0.999999986,0.999999911,0.999999948
Patience is a virtue.,,21,af13ef2682,1,0,0,1,1,0,0.999999968,0.99999892,0.999999444
Rational exploration seeks truth.,,33,774cebe0bf,1,0,0,1,1,0,0.998984472,0.999933195,0.999458721
Socratic questioning promotes deep understanding.,,49,6b3266e564,1,0,0,1,1,0,0.999993308,0.99999892,0.999996114
Knowledge builds wisdom.,,24,1ec6bfb07d,1,0,0,1,1,0,0.999992321,0.999968443,0.999980382
Open-mindedness encourages learning.,,36,e1ebfc95ab,1,0,0,1,1,0,0.999999972,0.999999787,0.99999988
It takes two to tango.,,22,27a03872d8,1,0,0,1,1,0,0.999998887,0.999992959,0.999995923
Social equity promotes fairness.,,32,64f2fef1f3,1,0,0,1,1,0,0.999996483,0.999978311,0.999987397
Civil rights movements championed equality.,,43,fab1fc2d36,1,0,0,1,1,0,0.999999988,0.999999971,0.999999979
A clear goal sets the path.,,27,ca4b1d3005,1,0,0,1,1,1,0.999999183,0.999995161,0.999997172
Kindness spreads like wildfire.,,31,d4020847ea,1,0,0,1,1,1,0.999834912,0.998955512,0.999395116
Good deeds spread goodwill.,,27,f8358908a4,1,0,0,1,1,1,0.999999892,0.99999949,0.999999691
Objective critique refines practices.,,37,9027cc41fe,1,0,0,1,1,1,0.998310759,0.999954085,0.999132084
Ignorance is bliss.,,19,2ad5f6923a,1,0,0,1,1,1,0.942128024,0.719585081,0.823371891
Humility cultivates respect.,,28,8777ada344,1,0,0,1,1,1,0.999997677,0.999989755,0.999993716
Apologizing can restore harmony.,,32,01223360d1,1,0,0,1,1,1,0.999999135,0.999999691,0.999999413
Offering forgiveness heals hurts.,,33,39dee546b4,1,0,0,1,1,1,0.999978861,0.999839752,0.999909304
Encouragement inspires action.,,30,a56dfe8ee6,1,0,0,1,1,1,0.999999937,0.999999854,0.999999896
Spill the beans means reveal a secret.,,38,c4e6146402,1,0,0,1,1,1,1,0.999999834,0.999999917
"Waste not, want not.",,20,620db77a5b,1,0,0,1,1,1,0.999999771,0.999997065,0.999998418
Humility precedes honor.,,24,7a42aeb6bc,1,0,0,1,1,1,0.986002423,0.999735809,0.992845371
He who hesitates is lost.,,25,83f2ec9cc1,1,0,0,1,1,1,0.861605627,0.259926657,0.47323807
Gratitude fosters joy.,,22,01b9fbfeb5,1,0,0,1,1,1,1,0.99999892,0.99999946
Actions speak louder than words.,,32,36524cf758,1,0,0,1,1,1,0.999999903,0.99999955,0.999999726
Cultural sagas recount historical events.,,40,aa49e9a0dd,1,1,0,1,0,0,0.999998811,0.999992959,0.999995885
Monastic orders follow strict rules.,,36,c68489be8a,1,1,0,1,0,0,0.999999883,0.999999812,0.999999848
Logical steps enhance procedures.,,33,7b3f445eeb,1,1,0,1,0,0,0.999998682,0.999996231,0.999997456
Shintoism involves purification rituals.,,40,9cc06bf321,1,1,0,1,0,0,0.867036871,0.999995729,0.931146158
Mindfulness improves focus.,,27,d2dccfa2a0,1,1,0,1,0,0,0.999999332,0.999999345,0.999999339
Practicing instruments prepares for performances.,,49,6495fa6645,1,1,0,1,0,0,0.999999928,0.999999978,0.999999953
Structured frameworks guide learning.,,37,61db23d076,1,1,0,1,0,0,1,0.999992021,0.999996011
Structured preparations ensure readiness.,,41,0cb7d12b80,1,1,0,1,0,0,0.999998685,0.99999822,0.999998452
Proof by contradiction validates theorems.,,42,56062a0c8e,1,1,0,1,0,0,0.958070712,0.83873461,0.896419023
Writing lists organizes tasks.,,30,1af396434d,1,1,0,1,0,0,0.999999997,0.9999999,0.999999948
Synagogues are places of Jewish worship.,,40,2eb772ea4a,1,1,0,1,0,0,0.999999975,1,0.999999987
Judaism observes the Sabbath weekly.,,36,92e164d588,1,1,0,1,0,0,0.999996361,0.999999649,0.999998005
Methodologies standardize procedures.,,37,c13c52e10c,1,1,0,1,0,0,0.982026803,0.999947972,0.990946876
Ramadan is a holy month in Islam.,,33,2ccecb74c7,1,1,0,1,0,0,0.999999992,0.99999998,0.999999986
Tipping in restaurants is customary.,,36,b2b80ea8f0,1,1,0,1,0,0,0.999999947,1,0.999999973
Sharing meals creates bonds.,,28,f149b4408f,1,1,0,1,1,0,0.999999837,0.999999258,0.999999547
Handwritten notes show thoughtfulness.,,38,7d06500b82,1,1,0,1,1,0,0.999998398,0.999998429,0.999998413
Read books to expand knowledge.,,31,447256e11f,1,1,0,1,1,0,0.999999987,0.999999871,0.999999929
Folktales reflect indigenous knowledge.,,39,3315fac7d2,1,1,0,1,1,0,0.999993871,0.999992959,0.999993415
Objective criteria ensure fairness.,,35,ab5e9c34ba,1,1,0,1,1,0,0.740713704,0.495483,0.605814368
"Shintoism focuses on kami, or spiritual beings.",,47,2f66e4db56,1,1,0,1,1,0,0.999996131,0.999993786,0.999994959
A smile is contagious.,,22,8437643835,1,1,0,1,1,0,0.999999497,0.999997714,0.999998605
History repeats itself.,,23,a00d339321,1,1,0,1,1,0,0.999948828,0.999794242,0.999871532
Dogs are loyal animals.,,23,1f53870e29,1,1,0,1,1,0,0.999999968,0.999999812,0.99999989
Sharing is caring.,,18,596f33db6e,1,1,0,1,1,0,0.999999793,0.999992959,0.999996376
AI ethics address bias concerns.,,32,a820cf67f6,1,1,0,1,1,0,0.999563586,0.999794242,0.999678907
Novels can offer social commentary.,,35,4157971cc8,1,1,0,1,1,0,0.999999991,0.999999994,0.999999992
Clear logic explains phenomena.,,31,e3ed000eb8,1,1,0,1,1,0,0.992671099,0.965984337,0.979236812
Team sports build camaraderie.,,30,87b31d37f5,1,1,0,1,1,0,0.99999992,0.999999922,0.999999921
Many cultures practice ancestor worship.,,40,9870ad2d01,1,1,0,1,1,0,0.999998653,0.99999741,0.999998031
Hosting dinner parties fosters relationships.,,45,5519f0383a,1,1,0,1,1,1,0.999999989,0.9999999,0.999999944
Adhering to deadlines shows responsibility.,,43,f93508fb06,1,1,0,1,1,1,0.999999997,0.999999911,0.999999954
Sharing spreads joy.,,20,fc89c1d637,1,1,0,1,1,1,0.999997785,0.999989755,0.99999377
Saying good morning builds rapport.,,35,0e68f17355,1,1,0,1,1,1,0.999998384,0.999999422,0.999998903
Compliments uplift spirits.,,27,e5cb20ff49,1,1,0,1,1,1,0.999999987,0.999999939,0.999999963
Kind gestures build strong bonds.,,33,4536d3d977,1,1,0,1,1,1,0.999999998,0.999999922,0.99999996
Compliments boost self-esteem.,,30,ff40137b4e,1,1,0,1,1,1,0.999999824,0.999999258,0.999999541
Offering comfort eases pain.,,28,3398edd98d,1,1,0,1,1,1,0.999999698,0.99999892,0.999999309
Encouragement fuels motivation.,,31,44a7d8164b,1,1,0,1,1,1,0.999999916,0.999999759,0.999999837
Greetings establish rapport in conversations.,,45,7037f7ae85,1,1,0,1,1,1,0.999998038,0.999999871,0.999998954
Comforting words ease difficult emotions.,,41,dcea0c474f,1,1,0,1,1,1,0.999999933,0.999999759,0.999999846
Using please shows respect.,,27,45e8469c90,1,1,0,1,1,1,0.999999608,0.99999822,0.999998914
A warm smile invites friendliness.,,34,56fbe30193,1,1,0,1,1,1,0.999999889,0.999999603,0.999999746
Lending an ear shows empathy.,,29,8f67715fa7,1,1,0,1,1,1,0.999999135,0.999999691,0.999999413
Timely responses are respectful.,,32,cdb1631f90,1,1,0,1,1,1,0.999999961,0.999999759,0.99999986
