statement,Drop,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,statement_id,i_agree,i_agree_probability,others_agree,others_agree_probability,statement_r,awareness,consensus,commonsensicality,nlp_score
Fish rots from the head down.,,5a73d90137,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,763,yes,0.5000000539594854,no,0.9953904313920879,Fish rots from the head down.,0.5046096225673975,1.1657341758564144e-14,7.669685016301656e-08,Fish rots from the head down.
Bread always falls butter side down.,,8e9ee32403,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,437,no,0.9998911031792127,no,0.9465966420524139,Bread always falls butter side down.,0.9467055388732012,0.9995644601509212,0.9727760332603175,Bread always falls butter side down.
Strawberries are sweet.,,a2d4bb8de9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1083,yes,0.9996646501663718,yes,0.9999974387181999,Water is wet.,0.9996672114481719,0.9986590505035311,0.9991630038208701,Water is wet.
Birds fly south for the winter.,,678938f433,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1717,yes,0.9999921107451646,yes,0.9999910603125767,Birds fly south for the winter.,0.9999989495674121,0.9999684432296198,0.9999836962821844,Birds fly south for the winter.
Bananas are high in potassium.,,ae5720c55f,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1992,yes,0.9999974387187338,yes,0.9999993524053493,Bananas are high in potassium.,0.9999980863133845,0.9999897549011759,0.9999939205986036,Bananas are high in potassium.
Mountains are larger than hills.,,57f339dc78,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1923,yes,0.9999994956527968,yes,0.9999999397642596,Mountains are larger than hills.,0.9999995558885372,0.9999979826122046,0.9999987692500615,Mountains are larger than hills.
Plants grow towards light.,,ead395578c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1507,yes,0.9999998144610254,yes,0.9999995549155417,Plants grow towards light.,0.9999997404545163,0.9999992578442392,0.9999994991493486,Plants grow towards light.
The heart pumps blood through the body.,,e8d72cc870,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1600,yes,0.9999998555019707,yes,0.9999999778405079,The heart pumps blood through the body.,0.9999998776614628,0.9999994220079662,0.9999996498346886,The heart pumps blood through the body.
Recycling conserves resources.,,38d1423026,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1953,yes,0.9999999226557766,yes,0.9999999956365372,Recycling conserves resources.,0.9999999270192395,0.9999996906231305,0.999999809,Recycling conserves resources.
Forests are dense with trees.,,bf042028aa,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1926,yes,0.9999999586006211,yes,0.9999998874648147,Forests are dense with trees.,0.9999999288641936,0.9999998344024912,0.9999998816333413,Forests are dense with trees.
Plastic pollution is a global concern.,,52c587c1ff,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1921,yes,0.999999975,yes,0.9999999865595893,Plastic pollution is a global concern.,0.9999999883304157,0.9999998995600227,0.9999999439452182,Plastic pollution is a global concern.
Hot things can burn you.,,af85de0f16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1910,yes,0.9999999895325971,yes,0.9999999981810381,Tampering with fire can cause burns.,0.9999999913515589,0.9999999581303887,0.9999999747409737,Tampering with fire can cause burns.
Hot weather can cause dehydration.,,61499dd388,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1899,yes,0.9999999936511994,yes,0.9999999966017321,Hot weather can cause dehydration.,0.9999999970494673,0.9999999746047977,0.9999999858271325,Hot weather can cause dehydration.
Electricity can be dangerous.,,104d8fc5e5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1034,yes,0.9999999966017319,yes,0.9999999979388463,Fire is hot.,0.9999999986628856,0.9999999864069276,0.9999999925349066,Fire is hot.
Humans need water to survive.,,6477bc9ff1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1872,yes,1,yes,0.9999999961492576,Humans need water to survive.,0.9999999961492576,1,0.9999999980746288,Humans need water to survive.
The world is your oyster.,,0ee4ec3389,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,121,no,0.5000000897145951,no,0.6224592757756828,Old is gold.,0.8775408139389123,3.219646771412954e-14,1.680884126994337e-07,Old is gold.
A problem shared is a problem halved.,,41dec8af1e,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1003,no,0.754915376,no,0.9626730990866439,Apple of one's eye.,0.7922422772196461,0.2599273963095098,0.45379011928866353,Apple of one's eye.
