statement,drop,length,statement_r,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,awareness,consensus,commonsensicality
Time heals all wounds.,,22,Time heals all wounds.,aaa8b9b83f,0,0,0,1,1,0,0.798448039036832,0.998955512335563,0.893092419578939
A rising tide lifts all boats.,,30,A rising tide lifts all boats.,f7d16a69eb,0,0,0,1,1,0,0.982171619141942,0.929346834301584,0.955394203975733
Burning the midnight oil.,,25,Burning the midnight oil.,a54c149e0a,0,0,0,1,1,0,0.99924270768545,0.992307645857562,0.995769139360969
Every rose has its thorn.,,25,Every rose has its thorn.,a1626d679c,0,0,0,1,1,0,0.999956280358976,0.999440789919077,0.99969850191271
Digital transformation reshapes industries.,,43,Digital transformation reshapes industries.,1e0c8ee395,0,0,0,1,1,0,0.999460229284569,0.999947972205712,0.999704070999693
Mathematics reveals universal truths.,,37,Mathematics reveals universal truths.,e3f60fc2ad,0,0,0,1,1,0,0.99945870068988,0.999954085472873,0.999706362396607
Bridges connect communities and ideas.,,38,Bridges connect communities and ideas.,ecd5e6955b,0,0,0,1,1,0,0.999961483565449,0.99973580910305,0.999848639967165
All roads lead to Rome.,,23,All roads lead to Rome.,fdc55e027e,0,0,0,1,1,0,0.999956448,0.999941044955265,0.99994874632229
The pen is mightier than the sword.,,35,The pen is mightier than the sword.,eb7f2e348a,0,0,0,1,1,0,0.999976122533057,0.99995408547433,0.999965103942987
Precision in language ensures clarity.,,38,Precision in language ensures clarity.,fdf63a34d8,0,0,0,1,1,0,0.999999433447118,0.999992021112283,0.999995727272833
Artificial intelligence transforms industries.,,46,Artificial intelligence transforms industries.,a508e25ec7,0,0,0,1,1,0,0.999999294482371,0.999995160546603,0.999997228
The fall of Constantinople changed European history.,,52,The fall of Constantinople changed European history.,e7316ff4a0,0,0,0,1,1,0,0.99999985783721,0.999995729,0.999997794
Architecture shapes our built environment.,,42,Architecture shapes our built environment.,1ae62a08b2,0,0,0,1,1,0,0.999996739708886,0.999999886186598,0.999998312946504
Berlin Wall falling symbolized new freedoms.,,44,Berlin Wall falling symbolized new freedoms.,e2e099470a,0,0,0,1,1,0,0.999999838906568,0.999998613470816,0.999999226
Sculpture can memorialize history.,,34,Sculpture can memorialize history.,2c3e359579,0,0,0,1,1,0,0.999999962072129,0.999999939080075,0.999999950576102
Electrons orbit the nucleus of an atom.,,39,Electrons orbit the nucleus of an atom.,9d27660aa9,0,1,0,0,0,0,0.534009988801004,0.003896023,0.045612667
Quadratic equations have specific solutions.,,44,Quadratic equations have specific solutions.,9a3b14fae3,0,1,0,0,0,0,0.867523720195767,0.998049525065803,0.930500745257468
Victoria Falls is located between Zambia and Zimbabwe.,,54,Victoria Falls is located between Zambia and Zimbabwe.,ffe71da5ce,0,1,0,0,0,0,0.995931867507082,0.999992021096876,0.997959879
The Taj Mahal was built in the 17th century.,,44,The Taj Mahal was built in the 17th century.,fd72b9fda6,0,1,0,0,0,0,0.999307031880613,0.999933195496766,0.999620064659954
Chemical reactions often release energy.,,40,Chemical reactions often release energy.,2a4234b2cd,0,1,0,0,0,0,0.999800299735883,0.999985093515157,0.999892692356469
The Wright brothers' flight initiated aviation.,,47,The Wright brothers' flight initiated aviation.,d10bf7f747,0,1,0,0,0,0,0.999990683,0.999941045000152,0.999965864
Physical phenomena occur naturally.,,35,Physical phenomena occur naturally.,97855a4902,0,1,0,0,0,0,0.999994349059339,0.999986845055932,0.999990597050597
Quantum mechanics deals with subatomic particles.,,49,Quantum mechanics deals with subatomic particles.,85ae7543f7,0,1,0,0,0,0,0.999993869278365,0.99999667389106,0.99999527158373
Sikhs are known for their distinct turbans.,,43,Sikhs are known for their distinct turbans.,f175b74698,0,1,0,0,0,0,0.999999666118189,0.999997064721536,0.999998365419017
Clouds are formed from water vapor.,,35,Clouds are formed from water vapor.,ae0a46634d,0,1,0,0,0,0,0.999999327713983,0.999998920169855,0.999999123941898
Worker bees contribute to the hive.,,35,Worker bees contribute to the hive.,83968b71d6,0,1,0,0,0,0,0.999999797865444,0.999999422,0.99999960993696
Grass grows in fields.,,22,Grass grows in fields.,62645c94de,0,1,0,0,0,0,0.999999689902342,0.99999985386098,0.999999771881658
GPS technology allows precise navigation.,,41,GPS technology allows precise navigation.,3e657a85c9,0,1,0,0,0,0,0.999999934,0.999999812353433,0.999999873364946
Planes fly faster than cars.,,28,Planes fly faster than cars.,e2a6b96b71,0,1,0,0,0,0,0.999999995674298,0.999999921777268,0.999999958725782
Two plus two equals four.,,25,Two plus two equals four.,18eb2ed3ac,0,1,0,0,0,0,0.999999998749847,0.999999994999389,0.999999996874618
Lithuania's dunes are majestic.,,31,Lithuania's dunes are majestic.,1bb6ebceea,0,1,0,0,1,0,0.705802755082039,0.169404377817979,0.345783279796592
