statement_number,statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation
1,1 plus 1 is 2,0,1,0,0,0,1,Mathematics and logic,category response
2,5 is alot bigger than 1,0,0,0,0,0,0,Mathematics and logic,category response
3,a balanced diet and regular exercise is needed to remain healthy,1,1,0,1,0,1,Health and fitness,category response
4,a ball is round,0,1,0,0,0,0,Natural and physical sciences,Concept Net
5,a baton twirler doesn't want a broken finger,0,1,0,1,1,0,Human activities,Concept Net
6,a battery can't provide power forever,0,1,0,0,1,1,General reference,category response
7,a bill is not wanted,1,0,0,1,1,1,General reference,Concept Net
8,a birthday would make you want to bake a cake,1,1,0,1,1,0,Human activities,Concept Net
9,a birthday would make you want to buy something for a loved one,1,1,0,1,1,0,Human activities,Concept Net
10,a building where christians worship is called a church,1,1,0,0,0,0,Religion and belief systems,category response
11,a cat doesn't want a bath,0,1,0,1,1,0,General reference,Concept Net
12,a cat doesn't want its tail pulled,0,1,0,1,0,1,General reference,Concept Net
13,a cat doesn't want to be wet,0,1,0,1,0,1,Natural and physical sciences,Concept Net
14,a cat doesn't want to get wet,0,1,0,0,0,0,Natural and physical sciences,Concept Net
15,a cat is a feline,0,0,0,0,0,1,Natural and physical sciences,Concept Net
16,a celebrity is a person who works hard all his life to become well known then wears dark glasses to avoid being recognized,1,0,0,1,1,0,Human activities,aphorism
17,a child does not laugh at the ugliness of its mother,1,1,0,1,1,0,People and self,aphorism
18,a circle is round,0,1,0,0,0,0,General reference,Concept Net
19,a computer can be turned on by pressing its power button,0,1,0,0,0,0,Technology and applied sciences,category response
20,a computer virus is not living,0,1,0,0,0,0,Technology and applied sciences,Concept Net
21,a couch potato needs to establish a program to promote good health and fitness,1,0,0,0,0,1,Health and fitness,category response
22,a crime would make you want to conduct a trial,1,1,1,0,1,0,Society and social sciences,Concept Net
23,a deaf husband and a blind wife are a happy couple,1,0,0,1,1,1,Society and social sciences,aphorism
24,a democracy is two wolves and a small lamb voting on what to have for dinner freedom under a constitutional republic is a well armed lamb contesting the vote,1,1,1,1,0,0,History and events,aphorism
25,a desire to share knowledge would make you want to teach other people,1,0,1,1,1,1,General reference,Concept Net
26,a different language is a different vision of life,1,0,1,1,1,0,Philosophy and thinking,aphorism
27,a doctor and a farmer know more than a doctor alone,0,0,0,0,0,1,History and events,aphorism
28,a dog doesn't want fleas,0,1,0,1,0,0,Natural and physical sciences,Concept Net
29,a fanatic is one who can`t change his mind and won`t change the subject,0,0,1,0,1,1,Culture and the arts,aphorism
30,a few people don t say what they think and some others don t think before they speak,1,1,1,1,1,0,People and self,aphorism
31,a few vices are sufficient to darken many virtues,1,0,1,1,1,0,Philosophy and thinking,aphorism
32,a fool is busy with anyone s business but his own,1,0,1,1,1,0,People and self,aphorism
33,a fracking ban should not be implemented,0,1,1,0,0,1,Health and fitness,news media
34,a freshman in college would drop out,1,0,0,0,1,0,Culture and the arts,category response
35,a full bladder would make you want to urinate,0,1,0,0,0,0,Health and fitness,Concept Net
36,a gardener s dog neither eats cabbage nor lets anybody else,1,1,1,1,1,0,People and self,aphorism
37,a gay person doesn't want homophobia,1,1,0,1,1,1,People and self,Concept Net
38,a generally accepted opinion is not on that basis guaranteed valid or a proof of its accuracy equally it is not proof of its falsity,1,0,1,1,0,1,Philosophy and thinking,aphorism
39,a goal should scare you a little and excite you a lot,1,0,0,1,1,1,General reference,aphorism
40,a good laugh and a long sleep are the best cures in the doctor s book,1,1,1,0,0,0,People and self,aphorism
41,a good logistics corridor will have great access to water rail highway and a large market for service,1,1,1,1,1,1,General reference,news media
42,a good marriage would be between a blind wife and a deaf husband,1,1,1,1,1,0,General reference,aphorism
43,a good nights sleep is often over looked by health nuts and fitness fanatics',1,1,0,1,1,0,Health and fitness,category response
44,a good way to be healthy is to exercise,0,0,0,0,0,1,Health and fitness,category response
45,a grain of sand is very small,1,0,0,0,0,0,Natural and physical sciences,Concept Net
46,a great boss would not make employees work overtime without compensation,0,1,0,1,0,1,Human activities,category response
47,a gregarious person doesn't want to be alone,1,0,0,1,0,1,People and self,Concept Net
48,a happy marriage is a long conversation which always seems too short,1,0,1,1,1,1,People and self,aphorism
49,a heart can no more be forced to love than a stomach can be forced to digest food by persuasion,1,0,1,1,1,1,Philosophy and thinking,aphorism
50,a hexagon will always have six sides,0,1,0,0,0,0,Mathematics and logic,category response
51,a hidden connection is stronger than an obvious one,0,0,1,0,0,0,Culture and the arts,aphorism
52,a human must turn information into intelligence or knowledge we've tended to forget that no computer will ever ask a new question,0,0,0,1,0,1,Technology and applied sciences,aphorism
53,a husband is a guy who tells you when you`ve got on too much lipstick,1,1,0,1,1,0,People and self,aphorism
54,a lawyer s opinion is worth nothing until paid for,1,1,1,1,1,0,Philosophy and thinking,aphorism
55,a life of leisure is a kingdom with less care than a kingdom requires,1,0,1,1,1,0,People and self,aphorism
56,a loving heart maintains a family a hateful heart destroys it,1,1,0,1,1,0,Human activities,aphorism
57,a low covid positivity rate should allow for restrictions to be loosened,0,0,0,0,0,1,History and events,news media
58,a man finds himself seven years older the day after his marriage,1,1,1,1,1,1,People and self,aphorism
59,a man has one hundred dollars and you leave him with two dollars that`s subtraction,0,0,1,1,0,1,General reference,aphorism
60,a man in love is not complete until he is married then he is finished,1,0,1,1,1,1,Society and social sciences,aphorism
61,a man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do,1,1,0,1,1,0,People and self,aphorism
62,a man is not old as long as he is seeking something,1,0,1,0,1,1,Human activities,aphorism
63,a man loves his sweetheart the most his wife the best but his mother the longest,1,0,0,1,1,1,Religion and belief systems,aphorism
64,a man should be taller older heavier uglier and hoarser than his wife,1,1,0,1,1,0,Philosophy and thinking,aphorism
65,a man who pays respect to the great paves the way for his own greatness,1,0,1,1,1,0,Culture and the arts,aphorism
66,a man with no legs cannot run,0,1,0,0,0,1,General reference,category response
67,a man without a trade is like a tree without fruit,1,0,1,1,1,0,People and self,aphorism
68,a man`s true character comes out when he`s drunk,1,1,0,1,1,1,People and self,aphorism
69,a man`s true secrets are more secret to himself than they are to others,1,0,1,0,1,0,Health and fitness,aphorism
70,a nation may lose its liberties in a day and not miss them in a century,0,1,0,0,0,0,Philosophy and thinking,aphorism
71,a need for information would make you want to go on the internet,1,1,1,1,0,1,People and self,Concept Net
72,a need for money would make you want to earn a living,1,1,0,1,1,1,Philosophy and thinking,Concept Net
73,a needle is sharp,0,1,0,0,0,0,Natural and physical sciences,Concept Net
74,a nickname is the hardest stone that the devil can throw at a man,1,0,1,1,1,0,History and events,aphorism
75,a number raised to another number is generally higher than the addition of those two numbers,1,1,1,0,1,0,Mathematics and logic,category response
76,a one and a one make an eleven,1,1,0,0,0,0,Mathematics and logic,category response
77,a part of kindness consists in loving people more than they deserve,1,1,0,1,1,1,People and self,aphorism
78,a person does not want be restricted,1,0,1,1,1,1,General reference,Concept Net
79,a person doesn't want a boring job,1,1,0,0,0,1,People and self,Concept Net
80,a person doesn't want a brain tumor,1,1,0,1,1,1,Health and fitness,Concept Net
81,a person doesn't want a broken finger,0,1,0,1,1,1,Health and fitness,Concept Net
82,a person doesn't want a broken heart,1,0,1,1,1,0,People and self,Concept Net
