statement,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,statement_id,i_agree,i_agree_probability,others_agree,others_agree_probability,statement_r,awareness,consensus,commonsensicality,nlp_score
A rising tide lifts all boats.,f7d16a69eb,False,False,False,True,True,False,942,yes,0.7057849766216521,yes,0.9989677662658608,A rising tide lifts all boats.,0.7068172103557913,0.1693898264126955,0.346016827000759,A rising tide lifts all boats.
It's always darkest before the dawn.,cbaa77873a,False,False,False,True,True,False,261,no,0.8933093273661606,yes,0.9947798839025516,It's always darkest before the dawn.,0.8985294434636091,0.6187689079728869,0.7456420605850123,It's always darkest before the dawn.
Speak softly and carry a big stick.,a57ffa00e1,False,False,False,True,True,False,752,yes,0.9984988176821455,yes,0.835483535963456,Speak softly and carry a big stick.,0.8369847182813105,0.9940042849219879,0.9121219196937685,Speak softly and carry a big stick.
An apple a day keeps the doctor away,2339658d13,False,False,False,True,True,False,1246,no,0.9933071519876201,yes,0.9999785550846019,An apple a day keeps the doctor away,0.9933285969030182,0.9734077848085476,0.9833177457456718,An apple a day keeps the doctor away
Through thick and thin.,cc86d19c2c,False,False,False,True,True,False,1002,yes,0.9971985739642171,yes,0.9995121408125777,Through thick and thin.,0.9976864331516394,0.9888256878082041,0.9932461796946837,Through thick and thin.
Every rose has its thorn,688edb9f57,False,False,False,True,True,False,1252,yes,0.9997388098601713,yes,0.9999339479142451,Every rose has its thorn,0.9998048619459262,0.9989555123218417,0.999380096903606,Every rose has its thorn
Time is a healer.,e27a8566e8,False,False,False,True,True,False,1515,yes,0.9999546021931723,yes,0.999986992883646,Time is a healer.,0.9999676093095263,0.9998184170165328,0.9998930103804393,Time is a healer.
All roads lead to Rome.,fdc55e027e,False,False,False,True,True,False,430,no,0.9999810748521201,no,0.9999417087705273,All roads lead to Rome.,0.9999606339184073,0.9999243008411252,0.9999424672147451,All roads lead to Rome.
Make hay while the sun shines.,12b8b619cc,False,False,False,True,True,False,402,yes,0.9999997300423857,yes,0.9999810748516001,Make hay while the sun shines.,0.9999813448092144,0.9999989201698345,0.9999901324509124,Make hay while the sun shines.
The squeaky wheel gets the grease,a6e241ed00,False,False,False,True,True,False,1297,yes,0.9999995549151447,yes,0.9999997617632441,The squeaky wheel gets the grease,0.9999997931519006,0.9999982196613711,0.9999990064063263,The squeaky wheel gets the grease
Traveling broadens perspectives.,19edf93790,False,False,False,True,True,False,1944,yes,0.999999814461039,yes,0.999999963465176,Traveling broadens perspectives.,0.9999998509958631,0.9999992578442938,0.9999995544200344,Traveling broadens perspectives.
People in glass houses shouldn't throw stones.,dc6c048f3a,False,False,False,True,True,False,161,yes,0.9999998555019709,yes,0.9999999226557759,People in glass houses shouldn't throw stones.,0.999999932846195,0.9999994220079671,0.9999996774270484,People in glass houses shouldn't throw stones.
Half a loaf is better than none.,ac9f4bc101,False,False,False,True,True,False,362,yes,0.9999999397642606,yes,0.9999999468421461,Half a loaf is better than none.,0.9999999929221145,0.999999759057057,0.9999998759895788,Half a loaf is better than none.
Learn to walk before you run.,ceb378cb3d,False,False,False,True,True,False,630,yes,0.99999996775813,yes,0.9999999804443174,Learn to walk before you run.,0.9999999873138127,0.9999998710325243,0.9999999291731668,Learn to walk before you run.
Don't run with scissors.,eac464863e,False,False,False,True,True,False,970,yes,0.9999999936511996,yes,0.9999999895325977,Don't run with scissors.,0.9999999958813981,0.9999999746047986,0.9999999852430983,Don't run with scissors.
Fish rots from the head down.,5a73d90137,False,True,False,False,False,False,763,yes,0.5000000539594854,no,0.9953904313920879,Fish rots from the head down.,0.5046096225673975,1.1657341758564144e-14,7.669685016301656e-08,Fish rots from the head down.
Bread always falls butter side down.,8e9ee32403,False,True,False,False,False,False,437,no,0.9998911031792127,no,0.9465966420524139,Bread always falls butter side down.,0.9467055388732012,0.9995644601509212,0.9727760332603175,Bread always falls butter side down.
Strawberries are sweet.,c545cbdca8,False,True,False,False,False,False,1491,yes,0.9995694432220401,yes,0.9999646437696014,Strawberries are sweet.,0.9996047994524387,0.9982785144047166,0.998941436816596,Strawberries are sweet.
Birds fly south for the winter.,678938f433,False,True,False,False,False,False,1717,yes,0.9999921107451646,yes,0.9999910603125767,Birds fly south for the winter.,0.9999989495674121,0.9999684432296198,0.9999836962821844,Birds fly south for the winter.
"When you viral, you yourself viral multiply.",68cef09777,False,True,False,False,False,False,405,no,0.9999977396773927,no,0.9999945777888402,"When you viral, you yourself viral multiply.",0.9999968381114475,0.999990958730007,0.9999938984164063,"When you viral, you yourself viral multiply."
Mountains are larger than hills.,57f339dc78,False,True,False,False,False,False,1923,yes,0.9999994956527968,yes,0.9999999397642596,Mountains are larger than hills.,0.9999995558885372,0.9999979826122046,0.9999987692500615,Mountains are larger than hills.
Planes fly in the sky.,adfc796681,False,True,False,False,False,False,1927,yes,0.9999997617632164,yes,0.9999999881388784,Planes fly in the sky.,0.999999773624338,0.9999990470530925,0.9999994103386493,Planes fly in the sky.
The heart pumps blood through the body.,e8d72cc870,False,True,False,False,False,False,1600,yes,0.9999998555019707,yes,0.9999999778405079,The heart pumps blood through the body.,0.9999998776614628,0.9999994220079662,0.9999996498346886,The heart pumps blood through the body.
Storms bring rain.,6312bba708,False,True,False,False,False,False,2071,yes,0.9999999006880488,yes,0.999999872480926,Storms bring rain.,0.9999999717928773,0.9999996027522345,0.9999997872725389,Storms bring rain.
Light travels faster than sound.,d5fc49d41d,False,True,False,False,False,False,1498,yes,0.9999999530883594,yes,0.9999999006880501,Light travels faster than sound.,0.9999999475996907,0.9999998123534465,0.9999998799765664,Light travels faster than sound.
Babies cry when they are hungry.,d368902f42,False,True,False,False,False,False,1877,yes,0.999999977840508,yes,0.9999999468421441,Babies cry when they are hungry.,0.9999999690016361,0.9999999113620339,0.9999999401818346,Babies cry when they are hungry.
Plants need water.,217b2cda33,False,True,False,False,False,False,1527,yes,0.9999999881388787,yes,0.9999999847700183,Plants need water.,0.9999999966311396,0.9999999525555153,0.9999999745933272,Plants need water.
Fire burns.,dc9f8a40ef,False,True,False,False,False,False,1380,yes,0.999999996601732,yes,0.9999999804443171,Fire burns.,0.9999999838425851,0.999999986406928,0.9999999851247566,Fire burns.
Electricity can be dangerous.,ba489c9575,False,True,False,False,False,False,1416,yes,0.9999999970010389,yes,0.9999999936511995,Electricity can be dangerous.,0.9999999966501606,0.9999999880041557,0.9999999923271581,Electricity can be dangerous.
Humans need water to survive.,6477bc9ff1,False,True,False,False,False,False,1872,yes,1.0,yes,0.9999999961492576,Humans need water to survive.,0.9999999961492576,1.0,0.9999999980746288,Humans need water to survive.
Cats can see in the dark.,c798cfa0dc,False,True,False,True,False,False,1407,no,0.5621762546373933,yes,0.984093617298548,Cats can see in the dark.,0.5780826373388452,0.015463546562935915,0.0945473837803777,Cats can see in the dark.
Bite the bullet.,c407725bc3,False,True,False,True,False,False,635,no,0.8933097810474271,no,0.9859363668024574,Bite the bullet.,0.9073734142449696,0.6187703354703001,0.7493035112217155,Bite the bullet.
Apple pie is tasty.,a60b4eb8d3,False,True,False,True,False,False,1506,yes,0.9988304901074487,yes,0.9999980052722512,Apple pie is tasty.,0.9988324848351975,0.99532743144335,0.9970784179658068,Apple pie is tasty.
