statement,drop,length,statement_r,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,awareness,consensus,commonsensicality
2 + 2 = 4.,,10,2 + 2 = 4.,4eeeaa2b74,0,1,0,0,0,0,0.999999993,0.999999995,0.999999994
Safety first.,,13,Safety first.,1357ff9751,1,1,0,1,1,0,0.999999734,0.999998776,0.999999255
Time is money.,,14,Time is money.,610a881a6f,1,1,0,1,1,0,0.999952689,0.999700638,0.999826656
Lift others up.,,15,Lift others up.,ae3c65d797,1,1,0,1,1,0,0.999999497,0.99999741,0.999998453
Manners matter.,,15,Manners matter.,977788c101,1,1,0,1,1,0,0.999999807,0.99999892,0.999999364
Facts don't lie.,,16,Facts don't lie.,956f074c89,1,1,0,1,1,0,0.998443619,0.9912882,0.994859476
Lead by example.,,16,Lead by example.,90268de2ab,1,1,0,1,1,0,0.999999978,0.999999345,0.999999662
Deserts are arid.,,17,Deserts are arid.,44f66d0f5c,0,1,0,0,0,0,0.999999964,0.999999787,0.999999876
Justice is blind.,,17,Justice is blind.,9e7d2320d0,1,0,0,1,1,0,0.662341702,0.956535118,0.795960488
"No pain, no gain.",,17,"No pain, no gain.",038ba609c5,1,0,0,1,1,1,0.999984699,0.999914222,0.99994946
Words have power.,,17,Words have power.,d7915a7245,1,1,0,1,1,0,0.99999999,0.999999871,0.99999993
Crime doesn’t pay.,,18,Crime doesn’t pay.,117260d452,1,0,0,1,1,0,0.999966904,0.99985858,0.999912741
Don’t cut corners.,,18,Don’t cut corners.,0ebab5b676,1,1,0,1,1,0,0.999999022,0.999998429,0.999998725
Haste makes waste.,,18,Haste makes waste.,e4698b7534,0,1,0,0,0,0,0.999999968,0.999999047,0.999999508
Love conquers all.,,18,Love conquers all.,1f2f88eb54,1,0,0,1,1,0,0.932788625,0.998659051,0.96516206
Patience pays off.,,18,Patience pays off.,73b4a0a933,1,1,0,1,1,0,0.999999334,0.999997065,0.9999982
Sharing is caring.,,18,Sharing is caring.,596f33db6e,1,1,0,1,1,0,0.999999793,0.999992959,0.999996376
Silence is golden.,,18,Silence is golden.,20cc041331,1,0,0,1,1,0,0.998334457,0.998955512,0.998644936
The moon explodes.,,18,The moon explodes.,f5f7ed34f6,0,1,0,0,0,0,0.999999888,0.999998429,0.999999159
To each their own.,,18,To each their own.,1c05961dad,1,1,0,1,1,0,0.999999797,0.99999741,0.999998604
