Email,Extracted_Statements,Prompt_Tokens,Completion_Tokens,Cost_of_Prompt,Cost_of_Completion,Total_Cost
"When Democrats Turn Out Alex, Has Mitch McConnell been living under a rock? The House Majority Leader has refused to support more emergency relief for Americans, saying he hasn’t “felt the urgency” to take action. Luckily, America has a progressive champion who’ll help him feel it. A May 11 tweet from @ewarren reads, ""More than 80,000 people are dead, Senator. Is there a number that would make this more urgent for you?"" Warren's tweet is in response to an article tweeted from @thehill, also on May 11, with the headline: ""McConnell said there isn't need yet for fifth coronavirus relief bill: 'I don't think we have felt the urgency of acting immediately'"" [[URL REDACTED]] Source: Twitter Warren’s spirited defense of common sense and common decency drew one Twitter user to declare, “We need Elizabeth Warren as vice president. Now more than ever. #WarrenforVP.” While the decision over who the VP candidate will be is still being made, we want to know what you think now: Do you stand with Elizabeth Warren? YES NO Thank you for answering our survey, The WDTO Team TAKE THE SURVEY Paid for by When Democrats Turn Out PAC PO Box 15320 Washington, DC 20003 Unsubscribe",[],353,1,0.0035299999999999997,3e-05,0.00356
"When Democrats Turn Out Alex, In a dangerous polling shift, Democratic Representative Xochitl Torres Small \-- one of our endorsed candidates \-- has just had her race in New Mexico’s 2nd congressional district moved from “tilt Democrat” to “toss-up,” according to Inside Elections. In 2016, Representative Torres Small flipped the historically red district by fewer than 4,000 votes \-- making history while helping Democrats take back the House. Since then, she has led with the mantra that “common sense solutions don’t come with a party label” \-- and she’s now working to protect her seat and block the GOP’s full-fledged efforts to flip New Mexico red. But AP News has reported that Rep. Torres Small’s Trump-endorsed opponent, Yvette Herrell, had “one of the biggest fundraising quarters for a Republican congressional candidate in state history” after calling on Donald Trump and his Republican loyalists to campaign for her \-- and state numbers show that Republican voter registration is outpacing Democrats in the district by more than twice the margin of victory in 2018. Democrats have warned us that this presidential election could be decided in the House if Donald Trump decides to contest election results and if voter turnout is low. Despite our Democratic House majority, Republicans hold a majority of state delegations in the House. We cannot afford to lose any Democratic seats \-- that’s why we’re mobilizing to provide crucial support to Rep. Xochitl Torres Small’s campaign in the last stretch of the election. We’re aiming to raise $5,000 by TONIGHT to help Rep. Xochitl Torres Small overcome the GOP’s targeted smear ads against her, reach the voters she needs to win, and protect the Democratic House majority. You more than anyone know that the fight against Republican tyranny must be a collective effort. Small-dollar donations are known to be the driving force in tight race victories; will you pitch in $10, $25, $50, or anything you can today to help us reach our goal and protect Rep. Torres Small’s crucial Democratic seat? With your help, we’ll protect and expand our House majority and exile Trump’s far-right agenda from power. We can’t thank you enough for all you’re doing to move our country forward. When Democrats Turn Out DONATE Paid for by When Democrats Turn Out PAC PO Box 15320 Washington, DC 20003 Unsubscribe",[],583,1,0.00583,3e-05,0.00586
"We've done a lot here -- and we can do more together. Inslee Friend, Too many days mark tragic anniversaries. Today is one. Two years ago today, a gunman walked into Marjory Stoneman Douglas High School in Parkland, Florida and used a semi-automatic rifle to murder 17 people and wound 17 others. It remains one of the deadliest school shootings in the history of this country. And since then, Republicans in the Senate and President Donald Trump have done NOTHING to prevent more tragedies like it. But here in Washington state we are doing all we can to put an end to gun violence. This year I'm joining with Washington state's Attorney General Bob Ferguson to push for legislation that limits magazine capacity and bans the sale of assault weapons. Weapons of war do not belong on our streets and in our schools. We've made huge progress in the last few years to prevent gun violence -- but there's more we can do here. That's why I'm asking you to join me and the Washington Alliance for Gun Responsibility in calling on Washington state lawmakers to pass HB 2240/SB 6077, which limits high capacity magazines: Contact your legislator today and tell them to vote yes on these important bills to keep Washingtonians safe from gun violence today. CONTACT YOUR LEGISLATORS I'm proud of the work we've done in Washington state to reduce gun violence. Last year, we put a ban on ghost guns -- which are especially dangerous because they are made with 3-D printers and can go undetected by scanners. And in October, Seattle investigators removed a cache of firearms from a man believed to be a leader of the most violent extremist group in the country. They were able to do so thanks to the state's red flag law, passed by ballot initiative in 2016. But that's not enough: We need to pass HB 2240/SB 6077 and prohibit magazines that can carry more than 10 rounds of ammunition. This is a common sense measure that will save lives. We should be making it harder for those who want to inflict mass violence and destruction upon innocent people. And by limiting magazine capacity and banning assault weapons, we can work toward a day where no one in Washington state loses friends or family members to senseless gun violence. If you agree: Join me and the Washington Alliance for Gun Responsibility to tell Washington state lawmakers to pass HB 2240/SB 6077 and limit high capacity magazines on guns here to save lives. Very truly yours, Jay CONTACT YOUR LEGISLATORS This email was sent to [[EMAIL_REDACTED]]. Click here to unsubscribe. Contributions or gifts to JAY INSLEE FOR WASHINGTON (D) are not tax deductible. PAID FOR BY JAY INSLEE FOR WASHINGTON (D) PO BOX 21067 SEATTLE, WA 98111 All content © 2020 JAY INSLEE FOR WASHINGTON (D), All Rights Reserved Privacy Policy","[""Weapons of war do not belong on our streets and in our schools."", ""Ghost guns are especially dangerous because they can go undetected by scanners."", ""Limiting magazine capacity can save lives.""]",689,45,0.006889999999999999,0.0013499999999999999,0.008239999999999999
"Susan Wagle for Senate Alex -- We are in tough times. I hope you and your family are staying safe. All of us have a role to play right now by staying home as much as possible, practicing social distancing and taking care of each other. Because of this, I have paused my in person campaign activity. My campaign is focusing on online events and tele town halls to reach out to voters. Tough times call for tough leadership. Despite pressure, I kept the Kansas legislature open so that we could finish our work safely. Kansans need certainty, and we could not leave town without first passing a budget. My opponent, state Senator Barbara Bollier, criticized me for my actions and actually advocated on the Senate floor for us to end session and allow unelected administrative staff to make decisions. The recent actions of congressional Democrats shows why it is so important to keep this seat Republican and with it the Senate majority in GOP hands. Senate Majority Leader Mitch McConnell put forth a stimulus plan that our workers, small businesses and farmers desperately need. But Speaker Pelosi and Minority Leader Chuck Schumer delayed and distracted to advance their radical agenda like implementing their Green New Deal, rigging elections to benefit them and giving more money to Planned Parenthood. Thankfully, President Trump and Senator McConnell hung tough and won the day. Imagine how bad the outcome would have been if the Republicans didn’t have the Senate majority. We need to protect the Senate majority in November. In order to do this, Republicans in Kansas need to make the tough choice of who best to beat Barbara Bollier. I serve with Barbara in the Kansas Senate. I have a record taking her on, debating her and winning. I will do it again in November. While campaigning is now different, it does not end. Now is not the time to hold fundraising events. As a result, we are short of our fundraising goal for the quarter. I’m asking you to help out by making a donation in the safest manner possible today. Please click on the donate button below and make a small donation to help us stay one track through these tough times. DONATE We will get through this together. Please join me in praying for those afflicted, the healthcare workers on the frontlines taking care of people and for our leaders to act with wisdom and common sense to protect us. Susan Wagle Kansas Senate President This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here. You can also keep up with Susan Wagle on Twitter or Facebook. PAID FOR BY WAGLE FOR KANSAS",[],602,1,0.00602,3e-05,0.00605
"Susan Wagle for Senate Alex -- Kansas now has four confirmed cases of the Coronavirus in the Kansas City area. Sadly, one other person has died as a result of the virus. Please keep the family of the person who died, those suffering and the medical professionals treating them in your prayers. Governor Laura Kelly has declared a state of emergency which will allow the state to access more resources and better respond to the spread of the coronavirus. Below is a link to the CDC’s coronavirus page that provides you more information on how to deal with this growing crisis. The Kansas Department of Health and Environment hotline (866-534-3463) is open Monday to Friday from 8 AM to 5 PM to answer questions. ## CDC Coronavirus Site Symptoms may appear between 2 and 14 days from exposure. They include a fever, cough and shortness of breath. All of us play a key role in preventing the spread of this disease. We need to continue to use good judgment and common sense going forward. Now is a good time to travel less and stay home with loved ones. Also, please wash your hands, cough into your elbow, avoid touching your face and replace conventional greetings like handshakes by looking people in the eye when greeting them. If you think you have been exposed, please self-quarantine and contact you doctor. Kansans are resilient. We take care of each other. Now is not the time for panic. It is a time to come together with love and prayer. This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here. You can also keep up with Susan Wagle on Twitter or Facebook. PAID FOR BY WAGLE FOR KANSAS","[""Symptoms of the coronavirus may appear between 2 and 14 days after exposure."", ""Symptoms include a fever, cough, and shortness of breath."", ""Washing your hands can help prevent the spread of disease."", ""Coughing into your elbow is a way to prevent spreading germs."", ""Avoiding touching your face can help reduce the risk of infection."", ""Replacing handshakes with other non-contact forms of greeting can reduce the spread of germs.""]",435,104,0.00435,0.00312,0.007469999999999999
"Susan Wagle for Senate Alex -- It was announced over the weekend that Kansas has its first confirmed case of Coronavirus. Now is not a time for panic. It is a time for caution and common sense. We need to be vigilant in avoiding direct human contact as those with symptoms may not know they are infected. We need to make sure we wash our hands and avoid contact with our face. Here is a link to the CDC’s prevention recommendations. Symptoms include fever, cough and shortness of breath. If you think you have the virus, please self-quarantine and follow the CDC recommendations found here. Governor Kelly’s administration is doing a good job keeping the legislature briefed and managing this potential crisis. We stand ready to work with her to make sure the state’s response meets the demands needed. At the federal level, Vice President Mike Pence is doing an outstanding job managing the federal response and Congress acted quickly to provide the administration the resources they need. As former Chair of the Senate Public Health and Welfare Committee, I have confidence in our ability to deal with this virus and manage the challenges ahead. This is an issue, that despite political differences on other important issues, everyone in Kansas government stands united to work together on. Please join me in praying for the person in Johnson County afflicted along with those around the world. Also, keep the leaders managing this virus in your prayers. This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here. You can also keep up with Susan Wagle on Twitter or Facebook. PAID FOR BY WAGLE FOR KANSAS","[""Now is not a time for panic. It is a time for caution and common sense."", ""We need to be vigilant in avoiding direct human contact as those with symptoms may not know they are infected."", ""We need to make sure we wash our hands and avoid contact with our face."", ""Symptoms include fever, cough and shortness of breath."", ""If you think you have the virus, please self-quarantine.""]",409,93,0.00409,0.00279,0.00688
"Alex -- The fight against socialism in Washington rages on. Instead of advancing conservative, common sense legislation that will secure our borders, spur economic growth and improve our access to quality healthcare, the Democrats in Congress are focused on investigating President Trump and passing legislation that will have the government take over more and more of your life. Their tab is over $66 trillion – that’s $200,000 for every citizen in this country. I’m running for the Senate to support President Trump’s agenda and put a stop to the socialist spending spree. But I need your help. Will you make a contribution in one of the amounts below to the Keep the Senate Red Fund? ## GIVE $100 ## GIVE $75 ## GIVE $50 ## GIVE $25 ## GIVE $10 With your help, I will become Kansas’ next U.S. Senator. I promise you I will do what I have always done. I will stand up and fight for our conservative Kansas values. Sincerely, Susan Wagle [[URL REDACTED]] -=-=- This email was sent to [[EMAIL_REDACTED]]. To stop receiving updates on this page, unfollow here. Susan Wagle for Senate · United States Created with NationBuilder, software for leaders.",[],341,1,0.0034100000000000003,3e-05,0.0034400000000000003
"Alex -- Like you I am concerned about the wave of socialism that is sweeping our nation. The policies and agenda coming out of Washington DC with a Congress more interested in investigating and tearing down President Trump than passing conservative, common sense policies must stop. That’s why I decided to run for Senate in 2020. I have been fighting for our Kansas values in the state legislature – standing up for the unborn, fighting to return more of your hard-earned tax dollars to you and ridding our state government of corruption. You can read more about my fights here. I’m ready to go to Washington and help President Trump advance his agenda that has led to record job growth and reasserted America’s place in the world. I’m honored that you have decided to join my campaign. There is a lot of work ahead of us in the coming weeks and months. Please go to my website and look for ways to help. I would also appreciate if you would make a small donation to my campaign to help us get up and running. Thank you for all you do fighting for our conservative values. I promise you that I will fight every day to not only win this race but represent you with honor in Washington. Sincerely, Susan Wagle [[URL REDACTED]] -=-=- This email was sent to [[EMAIL_REDACTED]]. To stop receiving updates on this page, unfollow here. Susan Wagle for Senate · United States Created with NationBuilder, software for leaders.",[],387,1,0.00387,3e-05,0.0039000000000000003
"Susan Wagle for Senate Alex -- America is in crisis as we combat a global public health pandemic. We are now being required to stay home to slow the spread of the coronavirus. As a result, our workers are being laid off and our small businesses are literally being forced to close their doors. Through very difficult times, I led the Kansas legislature to stay open and quickly do the people’s business by passing a budget before adjourning early so our leaders were able to go home and stay safe. This is exactly the type of leadership needed in Washington to put an end to the insanity going on in Congress today. Our workers and small businesses need help now. If ever there was a time for Congress to drop the partisanship and act in the interest of the American people, this is it. The Senate Republicans put forth a plan that would provide immediate financial support to laid off workers, help small businesses stay open and keep people employed. It will also provide support for devastated industries we will need to get our economy back on track when this is over. The plan provides resources and support for hospitals and medical professionals who are the front lines combating this pandemic. What are the Democrats doing? Slowing down progress to force upon us parts of their radical Green New Deal. A Democratic operative once remarked, “Never let a good crisis go to waste.” Speaker Pelosi and Senator Chuck Schumer are taking this to a disgraceful ending by blocking the much-needed stimulus package.  We can’t let that happen. I’m deeply concerned about the massive debt we are saddling with our children. But in the short term, I’m more interested in slowing the spread of the coronavirus and getting our economy jump started. I also want to quickly reach a point where people can return to work while we protect those most vulnerable. In order to do this, we all need to do our part in this 15-day period. The least the Democrats in Congress can do is put aside their own self-interests and vote for American workers and small businesses. Join me in praying for our medical professionals and that wisdom and common sense will be restored to Congress. P.S. For up to date information on the Coronavirus go to [[URL REDACTED]] to link to trusted sites. This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here. You can also keep up with Susan Wagle on Twitter or Facebook. PAID FOR BY WAGLE FOR KANSAS","[""People are required to stay home to slow the spread of the coronavirus."", ""Our workers are being laid off and our small businesses are closing due to the pandemic."", ""Medical professionals are on the front lines combating the pandemic."", ""Slowing the spread of the coronavirus is a priority."", ""People need to do their part to help during the pandemic.""]",584,69,0.00584,0.0020700000000000002,0.00791
"We are out speaking with voters at the doors and on the phones every day. Hey! We are out every single day speaking with voters at the doors and on the phones. We are working hard to gain the support of Kansans because we know that Jake LaTurner is the perfect person for the job. Check out an excerpt from a recent article below. Democrats think they can buy this seat, but they can't outwork us. Rush in $100 = 1000 Calls to Voters The finance team tells us that we are being outspent on TV, thanks to our opponent's coastal donations, but we will never be outworked. We need to be able to reach every voter possible to counter her outside money. We only have 13 days to reach every voter possible before the election. We are reaching out to build support for our grassroots organization. Will you consider donating now to help us fight back against the outside spending and make sure the Second District stays red? $250 = 250 Doors Knocked $50 = 50 Doors Knocked $25 = 250 Calls to Voters We work so hard because we believe in Jake and common sense conservative values he carries with him. We know that Mayor De La Isla does not represent Kansas, and is just too far left for Kansans. Our team is working hard every day, but we need your support to get us to the finish line and send the Nancy Pelosi-backed Liberal Michelle De La Isla packing. Let's go! Students for LaTurner Help send a Trusted Conservative to Congress Paid for by Kansans for LaTurner Copyright © *|2019|* *|LaTurner for Congress|*, All rights reserved. You are receiving this email because you opted in via our website. Our mailing address is: Kansans for LaTurner PO Box 67237 Topeka, KS 66667-0237 Add us to your address book Want to change how you receive these emails? You can update your preferences or unsubscribe from this list. Email Marketing Powered by Mailchimp Facebook Twitter Link Website","[""People communicate with voters through door-to-door conversations and phone calls."", ""Political campaigns solicit donations to fund their activities."", ""Political campaigns use donations to make phone calls and knock on doors to reach voters."", ""Political campaigns believe that reaching out to voters can help gain their support."", ""Political campaigns have a limited time to reach voters before an election.""]",510,71,0.0051,0.0021299999999999995,0.00723
