Pair ID,File 1,Statement 1,File 2,Statement 2,Cosine Similarity
82,embeddings/email_statements_embedding.csv,Vote by Mail allows voters to receive and cast their ballots without going to a polling place.,embeddings/email_statements_embedding.csv,Vote by Mail allows voters to receive and cast ballots without going to a polling place.,0.998724929347743
225,embeddings/email_statements_embedding.csv,Emails can be used to communicate with supporters and inform them about campaign events and issues.,embeddings/email_statements_embedding.csv,Emails can be used to communicate with supporters and inform them about campaign issues and events.,0.998014257729066
90,embeddings/email_statements_embedding.csv,Refusing to debate robs voters of the chance to learn about the candidates.,embeddings/email_statements_embedding.csv,Refusing to debate robs voters of the chance to learn about candidates.,0.9978253267684625
362,embeddings/email_statements_embedding.csv,"Members of Congress address issues such as climate change, infrastructure, homelessness, and the protection of Social Security and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress address issues such as climate change, infrastructure, homelessness, and protecting Social Security and Medicare.",0.9977825280194998
147,embeddings/observable_gpt4o_embedding.csv,"Let your conscience be your guide, emphasizing the role of inner moral compass in decision-making.",embeddings/observable_gpt4o_embedding.csv,"Let your conscience be your guide, emphasizing the role of the inner moral compass in decision-making.",0.9976526691916778
397,embeddings/email_statements_embedding.csv,"Members of Congress address issues such as climate change, infrastructure, homelessness, and the protection of Social Security and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress address issues such as climate change, infrastructure, homelessness, and the protection of social security and Medicare.",0.9976222773924401
49,embeddings/email_statements_embedding.csv,Email is used to inform supporters about campaign issues and to solicit donations.,embeddings/email_statements_embedding.csv,Email is used to inform supporters about campaign issues and solicit donations.,0.9975039685457713
273,embeddings/email_statements_embedding.csv,"Members of Congress are elected to address issues such as climate change, infrastructure, homelessness, and the protection of social security and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress are elected to address issues such as climate change, infrastructure, homelessness, and the protection of Social Security and Medicare.",0.9972484976380479
93,embeddings/email_statements_embedding.csv,Emails are a way for politicians to communicate with their supporters.,embeddings/email_statements_embedding.csv,Emails are a way for politicians to communicate with supporters.,0.997130961826763
162,embeddings/email_statements_embedding.csv,"Elected officials are expected to address issues such as climate change, infrastructure, homelessness, and the protection of social security and Medicare.",embeddings/email_statements_embedding.csv,"Elected officials are expected to address issues such as climate change, infrastructure, homelessness, and the protection of Social Security and Medicare.",0.9969263489553251
167,embeddings/email_statements_embedding.csv,"Margaret is a strong voice for our values⁠—she brings an incredible work ethic and common sense to her fight for working families, to protect Florida’s fragile environment, for accessible and affordable healthcare, and against the special interests that have hijacked our political process.",embeddings/email_statements_embedding.csv,"Margaret is a strong voice for our values—she brings an incredible work ethic and common sense to her fight for working families, to protect Florida’s fragile environment, for accessible and affordable healthcare, and against the special interests that have hijacked our political process.",0.9968769928700911
32,embeddings/email_statements_embedding.csv,"Members of Congress work on issues such as climate change, infrastructure, homelessness, and protecting Social Security and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress work on issues such as climate change, infrastructure, homelessness, and protecting social security and Medicare.",0.996823291347011
341,embeddings/email_statements_embedding.csv,"Politicians work on issues such as climate change, infrastructure, homelessness, and the protection of Social Security and Medicare.",embeddings/email_statements_embedding.csv,"Politicians work on issues such as climate change, infrastructure, homelessness, and protecting Social Security and Medicare.",0.9967725061159278
228,embeddings/email_statements_embedding.csv,Email is a way for politicians to communicate with supporters and inform them about critical issues.,embeddings/email_statements_embedding.csv,Email is a way for politicians to communicate with their supporters and inform them about critical issues.,0.996453861249712
247,embeddings/email_statements_embedding.csv,"Members of Congress work on issues such as climate change, infrastructure, homelessness, and protecting Social Security and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress work on issues such as climate change, infrastructure, homelessness, and the protection of Social Security and Medicare.",0.9964436320794907
309,embeddings/email_statements_embedding.csv,"Members of Congress can work on issues like climate change, infrastructure, homelessness, and protecting Social Security and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress can work on issues such as climate change, infrastructure, homelessness, and protecting Social Security and Medicare.",0.9963106839835953
343,embeddings/email_statements_embedding.csv,Politicians may face re-election challenges and seek support from constituents.,embeddings/email_statements_embedding.csv,Politicians may face re-election challenges and seek support from their constituents.,0.9962449435711214
332,embeddings/email_statements_embedding.csv,Campaigns often communicate with supporters via email.,embeddings/email_statements_embedding.csv,Campaigns often communicate with supporters through email.,0.9961397402001045
62,embeddings/email_statements_embedding.csv,Email is a communication tool used to inform and engage supporters.,embeddings/email_statements_embedding.csv,Email is a communication tool used to inform and engage with supporters.,0.9961347105797642
128,embeddings/email_statements_embedding.csv,Political campaigns often communicate with supporters via email.,embeddings/email_statements_embedding.csv,Political campaigns often communicate with supporters through email.,0.9961047290131588
210,embeddings/email_statements_embedding.csv,Leaders should be knowledgeable about the issues affecting their districts.,embeddings/email_statements_embedding.csv,Leaders should be knowledgeable about issues affecting their districts.,0.9960401528329546
40,embeddings/observable_gpt4o_embedding.csv,"You can't judge a place by its weather alone, as many factors contribute to its overall experience.",embeddings/observable_gpt4o_embedding.csv,"You can't judge a place by its weather alone, as there are many factors that contribute to its overall experience.",0.9960317384469027
263,embeddings/email_statements_embedding.csv,"Politicians work on issues such as climate change, infrastructure, homelessness, and protecting social security and Medicare.",embeddings/email_statements_embedding.csv,"Politicians work on issues such as climate change, infrastructure, homelessness, and protecting Social Security and Medicare.",0.9959967268578547
84,embeddings/email_statements_embedding.csv,"Members of Congress can work on issues such as climate change, infrastructure, homelessness, and protecting Social Security and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress can work on issues such as climate change, infrastructure, homelessness, and protecting social security and Medicare.",0.9959730027560605
348,embeddings/email_statements_embedding.csv,Elections provide an opportunity to change political representatives.,embeddings/email_statements_embedding.csv,Elections provide the opportunity to change political representatives.,0.9959617865116293
133,embeddings/email_statements_embedding.csv,Grassroots support is considered valuable in political campaigns.,embeddings/email_statements_embedding.csv,Grassroots support is considered valuable for political campaigns.,0.9958643857289116
278,embeddings/email_statements_embedding.csv,Political campaigns use email to communicate with and inform their supporters.,embeddings/email_statements_embedding.csv,Political campaigns use email to communicate with and inform supporters.,0.9958450381534686
298,embeddings/email_statements_embedding.csv,Campaigns use email to communicate with and inform supporters.,embeddings/email_statements_embedding.csv,Campaigns use email to communicate with and inform their supporters.,0.9958026444878327
398,embeddings/email_statements_embedding.csv,"Members of Congress address issues such as climate change, infrastructure, homelessness, and protecting Social Security and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress address issues such as climate change, infrastructure, homelessness, and the protection of social security and Medicare.",0.9955277820890194
27,embeddings/email_statements_embedding.csv,Emails are a common method for politicians to communicate with supporters and request donations.,embeddings/email_statements_embedding.csv,Emails are a common method for politicians to communicate with supporters and ask for donations.,0.9954285208068618
265,embeddings/email_statements_embedding.csv,"Congress members can work on issues such as climate change, infrastructure, homelessness, and protecting Social Security and Medicare.",embeddings/email_statements_embedding.csv,"Congress members can work on issues like climate change, infrastructure, homelessness, and protecting social security and Medicare.",0.995426008320455
88,embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, typically in retirement or with specific needs.",embeddings/email_statements_embedding.csv,"Social Security and Medicare are programs intended to support individuals, often in retirement or with specific needs.",0.9953364859717699
253,embeddings/email_statements_embedding.csv,Voters are contacted during campaigns to share messages and gain support.,embeddings/email_statements_embedding.csv,Voters are contacted during campaigns to share messages and garner support.,0.9949723639900478
74,embeddings/observable_gpt4o_embedding.csv,"Better safe than sorry, advocating caution to prevent future regret.",embeddings/observable_gpt4o_embedding.csv,"Better safe than sorry, advocating for caution to prevent future regret.",0.9948287335771164
359,embeddings/email_statements_embedding.csv,Campaigns may communicate with supporters through email.,embeddings/email_statements_embedding.csv,Campaigns may communicate with supporters via email.,0.9948071203713397
11,embeddings/email_statements_embedding.csv,"Congress has a role in addressing issues like climate change, infrastructure, homelessness, and the protection of Social Security and Medicare.",embeddings/email_statements_embedding.csv,"Congress has a role in addressing issues such as climate change, infrastructure, homelessness, and the protection of Social Security and Medicare.",0.9947359654307385
98,embeddings/email_statements_embedding.csv,Enormous financial and personal stress has been put on countless families during the COVID-19 pandemic.,embeddings/email_statements_embedding.csv,Enormous financial and personal stress has been put on countless families during COVID-19.,0.9944713738516351
308,embeddings/observable_gpt4o_embedding.csv,"The whole is greater than the sum of its parts, illustrating synergy in systems theory.",embeddings/observable_gpt4o_embedding.csv,"The whole is greater than the sum of its parts, illustrating the synergy in systems theory.",0.9943591387210693
257,embeddings/email_statements_embedding.csv,Political campaigns sometimes offer merchandise in return for donations.,embeddings/email_statements_embedding.csv,Political campaigns sometimes offer merchandise in exchange for donations.,0.9941435068209348
396,embeddings/email_statements_embedding.csv,Political campaigns can communicate with supporters through email.,embeddings/email_statements_embedding.csv,Political campaigns can communicate with supporters via email.,0.9940335715310874
44,embeddings/email_statements_embedding.csv,"Politicians work on issues such as climate change, infrastructure, homelessness, and protecting social security and Medicare.",embeddings/email_statements_embedding.csv,"Politicians work on issues such as climate change, infrastructure, homelessness, and the protection of Social Security and Medicare.",0.9940269482847404
268,embeddings/email_statements_embedding.csv,"Members of Congress work on issues such as climate change, infrastructure, homelessness, and protecting social security and Medicare.",embeddings/email_statements_embedding.csv,"Members of Congress work on issues such as climate change, infrastructure, homelessness, and the protection of Social Security and Medicare.",0.9939874241315604
41,embeddings/email_statements_embedding.csv,Email is a way for politicians to communicate with their supporters.,embeddings/email_statements_embedding.csv,Email is a way for politicians to communicate with supporters.,0.993789320198288
160,embeddings/email_statements_embedding.csv,Elections are competitive events where candidates may receive endorsements and grades from organizations.,embeddings/email_statements_embedding.csv,Elections are competitive events where candidates may receive endorsements and grades from various organizations.,0.9935956124863935
155,embeddings/observable_gpt4o_embedding.csv,"Great events cast their shadows before them, indicating signs of significant changes ahead.",embeddings/observable_gpt4o_embedding.csv,"Great events cast their shadows before them, indicating the signs of significant changes ahead.",0.993416348618205
15,embeddings/observable_gpt4o_embedding.csv,"With great power comes great responsibility, emphasizing ethical considerations in technological advancement.",embeddings/observable_gpt4o_embedding.csv,"With great power comes great responsibility, emphasizing the ethical considerations in technological advancement.",0.9932463605301354
13,embeddings/email_statements_embedding.csv,Grassroots support can be crucial for a political campaign.,embeddings/email_statements_embedding.csv,Grassroots support can be crucial for political campaigns.,0.9927352635656103
163,embeddings/email_statements_embedding.csv,Election Day is a specific day when voting occurs.,embeddings/email_statements_embedding.csv,Election Day is a specific date when voting occurs.,0.9924927294146816
